R=0.060000,L=0.100000,betai=0.700000,betag=0.150000,omega=85199992.765355,Nw=5.000000,Rcoil=2.000000,VGitter=1000.000000,sGitter=0.001500,Eexc=5.000000
n,nIm,nI2,nI,nIp,nI2p,te,tg,PRF,Q0,Jcl,IStrahl,Schub,Schubleistung,Schubneutral,Schubleistungneutral,ISpule,xi,zeta,gamma,eta
m^-3,m^-3,m^-3,m^-3,m^-3,m^-3,K,K,W,mg*s^-1,A*m^-2,mA,mN,W,mN,W,A,mN*kW^-1,,,
71027375179447832.000000,1791237897482222.750000,836076863684638208.000000,1914814064277081344.000000,36576958161188448.000000,36241654197473832.000000,66617.815931,293.948731,83.320312,0.210000,68.175363,80.000189,4.805112,80.000189,0.000012,0.001216,7.528344,57670.503643,0.319782,0.489839,0.707992
73176286620086896.000000,2218443661429939.000000,959738229056631808.000000,2292115300801519872.000000,38572060211446696.000000,36822670156979744.000000,62238.970778,294.081905,73.125000,0.220000,68.175363,79.998430,4.789735,79.998430,0.000014,0.001442,6.863573,65500.841270,0.355779,0.522449,0.671497
76208417783247520.000000,3118943292031688.500000,1172143672237906944.000000,3078796310215069696.000000,41828140554225232.000000,37499220045249712.000000,56510.743806,294.344683,61.542969,0.240000,68.175363,80.004877,4.764581,80.004877,0.000019,0.001900,6.000988,77419.066570,0.414850,0.565220,0.608998
78601492332442992.000000,3922797750932272.000000,1378094954159853056.000000,3880344136974382592.000000,44910938137353120.000000,37613352090363648.000000,52422.617529,294.594290,55.097656,0.260000,68.175363,79.998692,4.736949,79.998692,0.000023,0.002363,5.449161,85974.112099,0.461078,0.592167,0.555614
80312265070373264.000000,4795483545597146.000000,1576180267032577792.000000,4657791615613799424.000000,47204634237643840.000000,37903114448588368.000000,49683.634128,294.832111,51.347656,0.280000,68.175363,80.006264,4.720753,80.006264,0.000027,0.002813,5.076315,91937.602716,0.498147,0.609098,0.512295
81649669247916064.000000,5729923347683241.000000,1766050311824325888.000000,5452441139816692736.000000,49468324041272832.000000,37911268547879488.000000,47455.084269,295.065372,48.808594,0.300000,68.175363,79.996789,4.702003,79.996789,0.000032,0.003270,4.774710,96336.207709,0.532913,0.621077,0.474330
82869337389791136.000000,6599094965099500.000000,1957349321586147584.000000,6210180532678882304.000000,51076134005960392.000000,38392298353227056.000000,45757.501925,295.287673,47.392578,0.320000,68.175363,79.996284,4.694487,79.996284,0.000036,0.003709,4.574936,99056.070031,0.558369,0.627980,0.443232
84880676897133344.000000,8245830184622988.000000,2310350307321648128.000000,7779275778168080384.000000,54333350134162784.000000,38793156135734128.000000,43067.691986,295.727468,45.449219,0.360000,68.175363,80.002233,4.675178,80.002233,0.000044,0.004608,4.251206,102866.946254,0.602353,0.637728,0.390632
86432113063993552.000000,9935573594364512.000000,2664437584572657664.000000,9346994641463080960.000000,57479533714487496.000000,38888152350584264.000000,40959.531844,296.148098,44.570312,0.400000,68.175363,79.996500,4.654619,79.996500,0.000053,0.005510,4.015900,104434.349857,0.638157,0.642213,0.348412
87833775930815632.000000,11484228976072012.000000,3015287981318364672.000000,10878105077474969600.000000,59759232946812040.000000,39558772086618176.000000,39433.285311,296.564084,44.404297,0.440000,68.175363,79.997052,4.646571,79.997052,0.000061,0.006396,3.849346,104643.752986,0.666306,0.643074,0.315603
88845587529944656.000000,13099064388031716.000000,3351129423670229504.000000,12429389106742106112.000000,61919100024245312.000000,40025551885676232.000000,38244.586081,296.973672,44.765625,0.480000,68.175363,80.002886,4.638169,80.002886,0.000070,0.007291,3.725818,103611.612601,0.689902,0.641232,0.288196
89432061009520384.000000,14878600448049092.000000,3711411804040772608.000000,13945298484550223872.000000,63957966737968264.000000,40352694758009832.000000,37285.001911,297.365021,44.853516,0.520000,68.175363,79.996269,4.628947,79.996269,0.000078,0.008179,3.599329,103203.171876,0.711167,0.640764,0.264953
90407832184989840.000000,16487975616755522.000000,4043356021440696320.000000,15494776135535642624.000000,66083477869661160.000000,40812330182054664.000000,36243.118625,297.748749,45.214844,0.560000,68.175363,79.997031,4.621273,79.997031,0.000087,0.009077,3.503165,102208.914804,0.728581,0.638920,0.245176
90974737034265008.000000,18101801595228108.000000,4392460079682566144.000000,17016452476678297600.000000,67972543469751968.000000,41103995206224528.000000,35515.691086,298.132694,45.898438,0.600000,68.175363,80.002447,4.614041,80.002447,0.000095,0.009971,3.427414,100529.254447,0.744062,0.635469,0.228068
91614849245141088.000000,20060029657014508.000000,4821757589511406592.000000,18918709109968211968.000000,70122898160674408.000000,41551980669448368.000000,34745.202924,298.607386,46.894531,0.650000,68.175363,80.004154,4.606925,80.004154,0.000106,0.011091,3.357371,98242.383873,0.759632,0.630489,0.209841
92237489673723088.000000,21968375675628312.000000,5248514345007371264.000000,20816093723420868608.000000,72127147785645184.000000,42078716004660000.000000,34059.176852,299.075396,47.929688,0.700000,68.175363,79.999805,4.601178,79.999805,0.000116,0.012212,3.297017,96000.932506,0.773203,0.625379,0.194356
92861375260993984.000000,23799944213737380.000000,5661495112190185472.000000,22724091360393601024.000000,73983198596480688.000000,42678122338967656.000000,33460.392160,299.545440,49.101562,0.750000,68.175363,79.996396,4.597033,79.996396,0.000127,0.013339,3.246591,93625.520031,0.785336,0.619696,0.181065
93374921977592112.000000,25707083440302128.000000,6088451397204699136.000000,24611518897618374656.000000,75899416282677424.000000,43182589110377088.000000,32889.239795,299.996665,50.312500,0.800000,68.175363,80.000724,4.592460,80.000724,0.000137,0.014464,3.203720,91281.437909,0.795999,0.613954,0.169384
94228829328588320.000000,27340220723060276.000000,6486110543864128512.000000,26523113453640523776.000000,77553041031740880.000000,44016008852990752.000000,32349.912463,300.473123,51.640625,0.850000,68.175363,80.002052,4.591689,80.002052,0.000148,0.015598,3.163755,88919.080669,0.806173,0.607768,0.159361
94924470356033536.000000,29025832071847000.000000,6888551216930528256.000000,28430145322396151808.000000,79283551571018896.000000,44666750832989800.000000,31856.253674,300.938453,52.939453,0.900000,68.175363,80.002416,4.589145,80.002416,0.000158,0.016735,3.124946,86689.668061,0.815539,0.601835,0.150332
95872706737064864.000000,32441625603394372.000000,7710679759615431680.000000,32215514622976872448.000000,82669291295823968.000000,45645039685022320.000000,31068.731824,301.849481,55.537109,1.000000,68.175363,80.002336,4.582191,80.002336,0.000180,0.019016,3.061790,82510.061748,0.831202,0.590309,0.134868
96157401226367504.000000,36067855828501528.000000,8563850886805445632.000000,35959120277824036864.000000,86162553555902832.000000,46062703632490928.000000,30456.569923,302.705011,58.076172,1.100000,68.175363,80.001607,4.571144,80.001607,0.000201,0.021301,3.014992,78712.925131,0.843478,0.579460,0.121987
