# Anregung Ar(2P4), Schwelle 13.283 eV, biagi
Te_eV,K_m3s
0.500,5.488245e-28
0.550,6.573204e-27
0.600,5.234781e-26
0.650,3.044014e-25
0.700,1.381941e-24
0.750,5.144798e-24
0.800,1.629695e-23
0.850,4.518261e-23
0.900,1.120766e-22
0.950,2.530973e-22
1.000,5.276375e-22
1.050,1.026977e-21
1.100,1.883555e-21
1.150,3.280266e-21
1.200,5.459146e-21
1.250,8.728841e-21
1.300,1.347039e-20
1.350,2.014097e-20
1.400,2.927551e-20
1.450,4.148596e-20
1.500,5.745856e-20
1.550,7.794909e-20
1.600,1.037765e-19
1.650,1.358152e-19
1.700,1.749861e-19
1.750,2.222475e-19
1.800,2.785848e-19
1.850,3.450009e-19
1.900,4.225061e-19
1.950,5.121085e-19
2.000,6.148055e-19
2.050,7.315747e-19
2.100,8.633668e-19
2.150,1.011098e-18
2.200,1.175646e-18
2.250,1.357841e-18
2.300,1.558465e-18
2.350,1.778247e-18
2.400,2.017860e-18
2.450,2.277917e-18
2.500,2.558973e-18
2.550,2.861524e-18
2.600,3.186003e-18
2.650,3.532783e-18
2.700,3.902179e-18
2.750,4.294445e-18
2.800,4.709780e-18
2.850,5.148327e-18
2.900,5.610173e-18
2.950,6.095356e-18
3.000,6.603865e-18
3.050,7.135640e-18
3.100,7.690578e-18
3.150,8.268534e-18
3.200,8.869323e-18
3.250,9.492724e-18
3.300,1.013848e-17
3.350,1.080631e-17
3.400,1.149588e-17
3.450,1.220686e-17
3.500,1.293889e-17
3.550,1.369155e-17
3.600,1.446446e-17
3.650,1.525717e-17
3.700,1.606924e-17
3.750,1.690021e-17
3.800,1.774961e-17
3.850,1.861696e-17
3.900,1.950176e-17
3.950,2.040352e-17
4.000,2.132173e-17
4.050,2.225588e-17
4.100,2.320546e-17
4.150,2.416995e-17
4.200,2.514883e-17
4.250,2.614159e-17
4.300,2.714772e-17
4.350,2.816670e-17
4.400,2.919802e-17
4.450,3.024116e-17
4.500,3.129564e-17
4.550,3.236095e-17
4.600,3.343659e-17
4.650,3.452208e-17
4.700,3.561693e-17
4.750,3.672068e-17
4.800,3.783285e-17
4.850,3.895299e-17
4.900,4.008064e-17
4.950,4.121535e-17
