# Anregung Ar(2S4), Schwelle 14.09 eV, biagi
Te_eV,K_m3s
0.500,1.410632e-29
0.550,2.081072e-28
0.600,1.978778e-27
0.650,1.340913e-26
0.700,6.958824e-26
0.750,2.915747e-25
0.800,1.026319e-24
0.850,3.128523e-24
0.900,8.456868e-24
0.950,2.065520e-23
1.000,4.627206e-23
1.050,9.624205e-23
1.100,1.877156e-22
1.150,3.461869e-22
1.200,6.078385e-22
1.250,1.022000e-21
1.300,1.653611e-21
1.350,2.585567e-21
1.400,3.920863e-21
1.450,5.784432e-21
1.500,8.324624e-21
1.550,1.171428e-20
1.600,1.615136e-20
1.650,2.185918e-20
1.700,2.908617e-20
1.750,3.810528e-20
1.800,4.921302e-20
1.850,6.272817e-20
1.900,7.899022e-20
1.950,9.835766e-20
2.000,1.212059e-19
2.050,1.479255e-19
2.100,1.789196e-19
2.150,2.146020e-19
2.200,2.553950e-19
2.250,3.017271e-19
2.300,3.540309e-19
2.350,4.127411e-19
2.400,4.782925e-19
2.450,5.511182e-19
2.500,6.316478e-19
2.550,7.203058e-19
2.600,8.175102e-19
2.650,9.236710e-19
2.700,1.039189e-18
2.750,1.164455e-18
2.800,1.299849e-18
2.850,1.445738e-18
2.900,1.602477e-18
2.950,1.770408e-18
3.000,1.949857e-18
3.050,2.141138e-18
3.100,2.344551e-18
3.150,2.560379e-18
3.200,2.788891e-18
3.250,3.030342e-18
3.300,3.284970e-18
3.350,3.553000e-18
3.400,3.834642e-18
3.450,4.130089e-18
3.500,4.439523e-18
3.550,4.763109e-18
3.600,5.101000e-18
3.650,5.453333e-18
3.700,5.820233e-18
3.750,6.201814e-18
3.800,6.598173e-18
3.850,7.009397e-18
3.900,7.435563e-18
3.950,7.876732e-18
4.000,8.332956e-18
4.050,8.804278e-18
4.100,9.290728e-18
4.150,9.792325e-18
4.200,1.030908e-17
4.250,1.084100e-17
4.300,1.138807e-17
4.350,1.195028e-17
4.400,1.252759e-17
4.450,1.311999e-17
4.500,1.372743e-17
4.550,1.434986e-17
4.600,1.498723e-17
4.650,1.563948e-17
4.700,1.630653e-17
4.750,1.698832e-17
4.800,1.768476e-17
4.850,1.839578e-17
4.900,1.912128e-17
4.950,1.986116e-17
5.000,2.061533e-17
5.050,2.138368e-17
5.100,2.216610e-17
5.150,2.296249e-17
5.200,2.377271e-17
5.250,2.459666e-17
5.300,2.543420e-17
5.350,2.628522e-17
5.400,2.714958e-17
5.450,2.802714e-17
5.500,2.891778e-17
5.550,2.982135e-17
5.600,3.073771e-17
5.650,3.166672e-17
5.700,3.260824e-17
5.750,3.356212e-17
5.800,3.452820e-17
5.850,3.550634e-17
5.900,3.649640e-17
5.950,3.749820e-17
6.000,3.851161e-17
6.050,3.953646e-17
6.100,4.057260e-17
6.150,4.161987e-17
6.200,4.267811e-17
6.250,4.374717e-17
6.300,4.482688e-17
6.350,4.591709e-17
6.400,4.701763e-17
6.450,4.812834e-17
6.500,4.924907e-17
6.550,5.037966e-17
6.600,5.151994e-17
6.650,5.266975e-17
6.700,5.382893e-17
6.750,5.499733e-17
6.800,5.617477e-17
6.850,5.736112e-17
6.900,5.855619e-17
6.950,5.975984e-17
7.000,6.097191e-17
7.050,6.219224e-17
7.100,6.342068e-17
7.150,6.465706e-17
7.200,6.590124e-17
7.250,6.715305e-17
7.300,6.841235e-17
7.350,6.967899e-17
7.400,7.095281e-17
7.450,7.223366e-17
7.500,7.352139e-17
7.550,7.481586e-17
7.600,7.611692e-17
7.650,7.742441e-17
7.700,7.873821e-17
7.750,8.005816e-17
7.800,8.138412e-17
7.850,8.271595e-17
7.900,8.405351e-17
7.950,8.539667e-17
8.000,8.674528e-17
8.050,8.809921e-17
8.100,8.945833e-17
8.150,9.082250e-17
8.200,9.219159e-17
8.250,9.356548e-17
8.300,9.494403e-17
8.350,9.632712e-17
8.400,9.771462e-17
8.450,9.910640e-17
8.500,1.005024e-16
8.550,1.019023e-16
8.600,1.033063e-16
8.650,1.047140e-16
8.700,1.061254e-16
8.750,1.075404e-16
8.800,1.089588e-16
8.850,1.103806e-16
8.900,1.118057e-16
8.950,1.132338e-16
9.000,1.146650e-16
9.050,1.160991e-16
9.100,1.175360e-16
9.150,1.189757e-16
9.200,1.204179e-16
9.250,1.218626e-16
9.300,1.233098e-16
9.350,1.247592e-16
9.400,1.262109e-16
9.450,1.276647e-16
9.500,1.291205e-16
9.550,1.305782e-16
9.600,1.320378e-16
9.650,1.334992e-16
9.700,1.349622e-16
9.750,1.364268e-16
9.800,1.378929e-16
9.850,1.393605e-16
9.900,1.408293e-16
9.950,1.422994e-16
10.000,1.437707e-16
10.050,1.452431e-16
10.100,1.467165e-16
10.150,1.481909e-16
10.200,1.496661e-16
10.250,1.511421e-16
10.300,1.526189e-16
10.350,1.540963e-16
10.400,1.555743e-16
10.450,1.570529e-16
10.500,1.585319e-16
10.550,1.600113e-16
10.600,1.614910e-16
10.650,1.629710e-16
10.700,1.644511e-16
10.750,1.659315e-16
10.800,1.674119e-16
10.850,1.688923e-16
10.900,1.703727e-16
10.950,1.718530e-16
11.000,1.733332e-16
11.050,1.748132e-16
11.100,1.762929e-16
11.150,1.777723e-16
11.200,1.792514e-16
11.250,1.807301e-16
11.300,1.822083e-16
11.350,1.836860e-16
11.400,1.851631e-16
11.450,1.866397e-16
11.500,1.881157e-16
11.550,1.895909e-16
11.600,1.910654e-16
11.650,1.925392e-16
11.700,1.940121e-16
11.750,1.954842e-16
11.800,1.969554e-16
11.850,1.984257e-16
11.900,1.998950e-16
11.950,2.013633e-16
12.000,2.028306e-16
12.050,2.042967e-16
12.100,2.057618e-16
12.150,2.072257e-16
12.200,2.086884e-16
12.250,2.101500e-16
12.300,2.116102e-16
12.350,2.130692e-16
12.400,2.145269e-16
12.450,2.159832e-16
12.500,2.174382e-16
12.550,2.188918e-16
12.600,2.203439e-16
12.650,2.217946e-16
12.700,2.232438e-16
12.750,2.246915e-16
12.800,2.261377e-16
12.850,2.275823e-16
12.900,2.290253e-16
12.950,2.304668e-16
13.000,2.319065e-16
13.050,2.333447e-16
13.100,2.347812e-16
13.150,2.362159e-16
13.200,2.376490e-16
13.250,2.390803e-16
13.300,2.405098e-16
13.350,2.419376e-16
13.400,2.433636e-16
13.450,2.447878e-16
13.500,2.462101e-16
13.550,2.476306e-16
13.600,2.490492e-16
13.650,2.504659e-16
13.700,2.518807e-16
13.750,2.532936e-16
13.800,2.547045e-16
13.850,2.561136e-16
13.900,2.575206e-16
13.950,2.589257e-16
14.000,2.603287e-16
14.050,2.617298e-16
14.100,2.631288e-16
14.150,2.645259e-16
14.200,2.659208e-16
14.250,2.673137e-16
14.300,2.687046e-16
14.350,2.700933e-16
14.400,2.714800e-16
14.450,2.728646e-16
14.500,2.742470e-16
14.550,2.756274e-16
14.600,2.770056e-16
14.650,2.783816e-16
14.700,2.797555e-16
14.750,2.811273e-16
14.800,2.824968e-16
14.850,2.838642e-16
14.900,2.852294e-16
14.950,2.865924e-16
15.000,2.879533e-16
15.050,2.893119e-16
15.100,2.906683e-16
15.150,2.920224e-16
15.200,2.933744e-16
15.250,2.947241e-16
15.300,2.960715e-16
15.350,2.974167e-16
15.400,2.987597e-16
15.450,3.001004e-16
15.500,3.014388e-16
15.550,3.027750e-16
15.600,3.041089e-16
15.650,3.054405e-16
15.700,3.067699e-16
15.750,3.080969e-16
15.800,3.094217e-16
15.850,3.107442e-16
15.900,3.120644e-16
15.950,3.133822e-16
16.000,3.146978e-16
16.050,3.160111e-16
16.100,3.173220e-16
16.150,3.186307e-16
16.200,3.199370e-16
16.250,3.212410e-16
16.300,3.225427e-16
16.350,3.238421e-16
16.400,3.251391e-16
16.450,3.264338e-16
16.500,3.277262e-16
16.550,3.290163e-16
16.600,3.303040e-16
16.650,3.315894e-16
16.700,3.328725e-16
16.750,3.341533e-16
16.800,3.354317e-16
16.850,3.367077e-16
16.900,3.379815e-16
16.950,3.392529e-16
17.000,3.405219e-16
17.050,3.417887e-16
17.100,3.430531e-16
17.150,3.443151e-16
17.200,3.455749e-16
17.250,3.468322e-16
17.300,3.480873e-16
17.350,3.493400e-16
17.400,3.505904e-16
17.450,3.518384e-16
17.500,3.530842e-16
17.550,3.543275e-16
17.600,3.555686e-16
17.650,3.568073e-16
17.700,3.580437e-16
17.750,3.592778e-16
17.800,3.605095e-16
17.850,3.617389e-16
17.900,3.629660e-16
17.950,3.641908e-16
18.000,3.654132e-16
18.050,3.666333e-16
18.100,3.678511e-16
18.150,3.690666e-16
18.200,3.702798e-16
18.250,3.714906e-16
18.300,3.726992e-16
18.350,3.739054e-16
18.400,3.751093e-16
18.450,3.763110e-16
18.500,3.775103e-16
18.550,3.787073e-16
18.600,3.799020e-16
18.650,3.810945e-16
18.700,3.822846e-16
18.750,3.834724e-16
18.800,3.846580e-16
18.850,3.858413e-16
18.900,3.870223e-16
18.950,3.882010e-16
19.000,3.893774e-16
19.050,3.905516e-16
19.100,3.917234e-16
19.150,3.928931e-16
19.200,3.940604e-16
19.250,3.952255e-16
19.300,3.963883e-16
19.350,3.975489e-16
19.400,3.987072e-16
19.450,3.998633e-16
19.500,4.010171e-16
19.550,4.021686e-16
19.600,4.033180e-16
19.650,4.044651e-16
19.700,4.056099e-16
19.750,4.067525e-16
19.800,4.078929e-16
19.850,4.090311e-16
19.900,4.101670e-16
19.950,4.113008e-16
20.000,4.124323e-16
