# Anregung Ar(3D1!), Schwelle 14.099 eV, biagi
Te_eV,K_m3s
0.500,3.652479e-29
0.550,5.010189e-28
0.600,4.461697e-27
0.650,2.848697e-26
0.700,1.399971e-25
0.750,5.578834e-25
0.800,1.874570e-24
0.850,5.472562e-24
0.900,1.420781e-23
0.950,3.341214e-23
1.000,7.223057e-23
1.050,1.452654e-22
1.100,2.744559e-22
1.150,4.910914e-22
1.200,8.378348e-22
1.250,1.370635e-21
1.300,2.160410e-21
1.350,3.294417e-21
1.400,4.877230e-21
1.450,7.031295e-21
1.500,9.897043e-21
1.550,1.363258e-20
1.600,1.841298e-20
1.650,2.442920e-20
1.700,3.188674e-20
1.750,4.100399e-20
1.800,5.201046e-20
1.850,6.514483e-20
1.900,8.065293e-20
1.950,9.878576e-20
2.000,1.197974e-19
2.050,1.439431e-19
2.100,1.714773e-19
2.150,2.026522e-19
2.200,2.377154e-19
2.250,2.769093e-19
2.300,3.204689e-19
2.350,3.686212e-19
2.400,4.215837e-19
2.450,4.795640e-19
2.500,5.427584e-19
2.550,6.113517e-19
2.600,6.855166e-19
2.650,7.654134e-19
2.700,8.511896e-19
2.750,9.429798e-19
2.800,1.040906e-18
2.850,1.145076e-18
2.900,1.255588e-18
2.950,1.372523e-18
3.000,1.495953e-18
3.050,1.625938e-18
3.100,1.762524e-18
3.150,1.905747e-18
3.200,2.055631e-18
3.250,2.212192e-18
3.300,2.375434e-18
3.350,2.545350e-18
3.400,2.721926e-18
3.450,2.905139e-18
3.500,3.094956e-18
3.550,3.291338e-18
3.600,3.494238e-18
3.650,3.703603e-18
3.700,3.919371e-18
3.750,4.141477e-18
3.800,4.369849e-18
3.850,4.604409e-18
3.900,4.845076e-18
3.950,5.091764e-18
4.000,5.344383e-18
4.050,5.602838e-18
4.100,5.867033e-18
4.150,6.136867e-18
4.200,6.412239e-18
4.250,6.693043e-18
4.300,6.979172e-18
4.350,7.270517e-18
4.400,7.566968e-18
4.450,7.868414e-18
4.500,8.174741e-18
4.550,8.485837e-18
4.600,8.801586e-18
4.650,9.121876e-18
4.700,9.446590e-18
4.750,9.775614e-18
4.800,1.010883e-17
4.850,1.044613e-17
4.900,1.078740e-17
4.950,1.113252e-17
5.000,1.148138e-17
5.050,1.183386e-17
5.100,1.218986e-17
5.150,1.254926e-17
5.200,1.291196e-17
5.250,1.327784e-17
5.300,1.364680e-17
5.350,1.401873e-17
5.400,1.439353e-17
5.450,1.477109e-17
5.500,1.515131e-17
5.550,1.553408e-17
5.600,1.591931e-17
5.650,1.630691e-17
5.700,1.669676e-17
5.750,1.708878e-17
5.800,1.748288e-17
5.850,1.787895e-17
5.900,1.827692e-17
5.950,1.867669e-17
6.000,1.907816e-17
6.050,1.948127e-17
6.100,1.988592e-17
6.150,2.029202e-17
6.200,2.069950e-17
6.250,2.110828e-17
6.300,2.151828e-17
6.350,2.192942e-17
6.400,2.234163e-17
6.450,2.275484e-17
6.500,2.316896e-17
6.550,2.358394e-17
6.600,2.399969e-17
6.650,2.441617e-17
6.700,2.483329e-17
6.750,2.525099e-17
6.800,2.566921e-17
6.850,2.608789e-17
6.900,2.650697e-17
6.950,2.692639e-17
7.000,2.734610e-17
7.050,2.776602e-17
7.100,2.818612e-17
7.150,2.860633e-17
7.200,2.902661e-17
7.250,2.944691e-17
7.300,2.986716e-17
7.350,3.028734e-17
7.400,3.070738e-17
7.450,3.112724e-17
7.500,3.154688e-17
7.550,3.196626e-17
7.600,3.238533e-17
7.650,3.280404e-17
7.700,3.322237e-17
7.750,3.364026e-17
7.800,3.405769e-17
7.850,3.447461e-17
7.900,3.489099e-17
7.950,3.530680e-17
8.000,3.572199e-17
8.050,3.613654e-17
8.100,3.655041e-17
8.150,3.696357e-17
8.200,3.737600e-17
8.250,3.778766e-17
8.300,3.819852e-17
8.350,3.860856e-17
8.400,3.901774e-17
8.450,3.942605e-17
8.500,3.983346e-17
8.550,4.023994e-17
8.600,4.064546e-17
8.650,4.105002e-17
8.700,4.145357e-17
8.750,4.185611e-17
8.800,4.225761e-17
8.850,4.265804e-17
8.900,4.305740e-17
8.950,4.345566e-17
9.000,4.385280e-17
9.050,4.424881e-17
9.100,4.464367e-17
9.150,4.503736e-17
9.200,4.542986e-17
9.250,4.582117e-17
9.300,4.621126e-17
9.350,4.660013e-17
9.400,4.698775e-17
9.450,4.737412e-17
9.500,4.775922e-17
9.550,4.814304e-17
9.600,4.852557e-17
9.650,4.890680e-17
9.700,4.928671e-17
9.750,4.966530e-17
9.800,5.004256e-17
9.850,5.041847e-17
9.900,5.079304e-17
9.950,5.116624e-17
10.000,5.153807e-17
10.050,5.190853e-17
10.100,5.227761e-17
10.150,5.264529e-17
10.200,5.301157e-17
10.250,5.337646e-17
10.300,5.373993e-17
10.350,5.410199e-17
10.400,5.446262e-17
10.450,5.482184e-17
10.500,5.517962e-17
10.550,5.553596e-17
10.600,5.589087e-17
10.650,5.624434e-17
10.700,5.659636e-17
10.750,5.694693e-17
10.800,5.729605e-17
10.850,5.764371e-17
10.900,5.798991e-17
10.950,5.833466e-17
11.000,5.867795e-17
11.050,5.901977e-17
11.100,5.936012e-17
11.150,5.969901e-17
11.200,6.003644e-17
11.250,6.037239e-17
11.300,6.070688e-17
11.350,6.103990e-17
11.400,6.137145e-17
11.450,6.170153e-17
11.500,6.203013e-17
11.550,6.235727e-17
11.600,6.268295e-17
11.650,6.300715e-17
11.700,6.332989e-17
11.750,6.365116e-17
11.800,6.397096e-17
11.850,6.428930e-17
11.900,6.460618e-17
11.950,6.492160e-17
12.000,6.523556e-17
12.050,6.554806e-17
12.100,6.585910e-17
12.150,6.616869e-17
12.200,6.647683e-17
12.250,6.678352e-17
12.300,6.708876e-17
12.350,6.739256e-17
12.400,6.769492e-17
12.450,6.799584e-17
12.500,6.829532e-17
12.550,6.859337e-17
12.600,6.888999e-17
12.650,6.918519e-17
12.700,6.947896e-17
12.750,6.977131e-17
12.800,7.006224e-17
12.850,7.035176e-17
12.900,7.063987e-17
12.950,7.092657e-17
13.000,7.121187e-17
13.050,7.149577e-17
13.100,7.177827e-17
13.150,7.205939e-17
13.200,7.233911e-17
13.250,7.261746e-17
13.300,7.289442e-17
13.350,7.317001e-17
13.400,7.344423e-17
13.450,7.371708e-17
13.500,7.398857e-17
13.550,7.425870e-17
13.600,7.452747e-17
13.650,7.479490e-17
13.700,7.506099e-17
13.750,7.532573e-17
