# Anregung Ar(3D6), Schwelle 13.845 eV, biagi
Te_eV,K_m3s
0.500,3.624290e-28
0.550,4.645400e-27
0.600,3.897475e-26
0.650,2.359636e-25
0.700,1.105289e-24
0.750,4.215876e-24
0.800,1.360671e-23
0.850,3.826740e-23
0.900,9.595003e-23
0.950,2.183964e-22
1.000,4.578354e-22
1.050,8.943820e-22
1.100,1.643806e-21
1.150,2.865060e-21
1.200,4.766970e-21
1.250,7.613569e-21
1.300,1.172772e-20
1.350,1.749276e-20
1.400,2.535217e-20
1.450,3.580726e-20
1.500,4.941316e-20
1.550,6.677317e-20
1.600,8.853208e-20
1.650,1.153685e-19
1.700,1.479865e-19
1.750,1.871075e-19
1.800,2.334612e-19
1.850,2.877778e-19
1.900,3.507800e-19
1.950,4.231755e-19
2.000,5.056505e-19
2.050,5.988637e-19
2.100,7.034411e-19
2.150,8.199715e-19
2.200,9.490031e-19
2.250,1.091041e-18
2.300,1.246542e-18
2.350,1.415920e-18
2.400,1.599536e-18
2.450,1.797706e-18
2.500,2.010694e-18
2.550,2.238719e-18
2.600,2.481951e-18
2.650,2.740515e-18
2.700,3.014490e-18
2.750,3.303916e-18
2.800,3.608787e-18
2.850,3.929063e-18
2.900,4.264664e-18
2.950,4.615477e-18
3.000,4.981357e-18
3.050,5.362129e-18
3.100,5.757588e-18
3.150,6.167506e-18
3.200,6.591630e-18
3.250,7.029688e-18
3.300,7.481386e-18
3.350,7.946415e-18
3.400,8.424449e-18
3.450,8.915149e-18
3.500,9.418164e-18
3.550,9.933135e-18
3.600,1.045969e-17
3.650,1.099746e-17
3.700,1.154605e-17
3.750,1.210508e-17
3.800,1.267416e-17
3.850,1.325291e-17
3.900,1.384091e-17
3.950,1.443780e-17
4.000,1.504316e-17
4.050,1.565661e-17
4.100,1.627777e-17
4.150,1.690624e-17
4.200,1.754165e-17
4.250,1.818362e-17
4.300,1.883177e-17
4.350,1.948575e-17
4.400,2.014518e-17
4.450,2.080972e-17
4.500,2.147900e-17
4.550,2.215270e-17
4.600,2.283047e-17
4.650,2.351199e-17
4.700,2.419693e-17
4.750,2.488497e-17
4.800,2.557582e-17
4.850,2.626917e-17
4.900,2.696474e-17
4.950,2.766222e-17
5.000,2.836136e-17
5.050,2.906187e-17
5.100,2.976350e-17
5.150,3.046599e-17
5.200,3.116910e-17
5.250,3.187259e-17
5.300,3.257623e-17
5.350,3.327978e-17
5.400,3.398304e-17
5.450,3.468579e-17
5.500,3.538783e-17
5.550,3.608897e-17
5.600,3.678901e-17
5.650,3.748778e-17
5.700,3.818509e-17
5.750,3.888078e-17
5.800,3.957469e-17
5.850,4.026665e-17
5.900,4.095651e-17
5.950,4.164414e-17
6.000,4.232939e-17
6.050,4.301212e-17
6.100,4.369221e-17
6.150,4.436955e-17
6.200,4.504400e-17
6.250,4.571545e-17
6.300,4.638381e-17
6.350,4.704896e-17
6.400,4.771081e-17
6.450,4.836927e-17
6.500,4.902424e-17
6.550,4.967565e-17
6.600,5.032341e-17
6.650,5.096744e-17
6.700,5.160768e-17
6.750,5.224405e-17
6.800,5.287650e-17
6.850,5.350495e-17
6.900,5.412935e-17
6.950,5.474966e-17
7.000,5.536581e-17
7.050,5.597776e-17
7.100,5.658546e-17
7.150,5.718888e-17
7.200,5.778797e-17
7.250,5.838271e-17
7.300,5.897305e-17
7.350,5.955896e-17
7.400,6.014042e-17
7.450,6.071741e-17
7.500,6.128989e-17
7.550,6.185785e-17
7.600,6.242127e-17
7.650,6.298013e-17
7.700,6.353442e-17
7.750,6.408412e-17
7.800,6.462923e-17
7.850,6.516973e-17
7.900,6.570563e-17
7.950,6.623690e-17
8.000,6.676355e-17
8.050,6.728558e-17
8.100,6.780298e-17
8.150,6.831576e-17
8.200,6.882392e-17
8.250,6.932746e-17
8.300,6.982639e-17
8.350,7.032070e-17
8.400,7.081042e-17
8.450,7.129554e-17
8.500,7.177608e-17
8.550,7.225204e-17
8.600,7.272345e-17
8.650,7.319030e-17
8.700,7.365261e-17
8.750,7.411041e-17
8.800,7.456369e-17
8.850,7.501248e-17
8.900,7.545680e-17
8.950,7.589665e-17
9.000,7.633206e-17
9.050,7.676305e-17
9.100,7.718964e-17
9.150,7.761184e-17
9.200,7.802968e-17
9.250,7.844317e-17
9.300,7.885234e-17
9.350,7.925721e-17
9.400,7.965780e-17
9.450,8.005413e-17
9.500,8.044623e-17
9.550,8.083412e-17
9.600,8.121783e-17
9.650,8.159737e-17
9.700,8.197277e-17
9.750,8.234407e-17
9.800,8.271127e-17
9.850,8.307441e-17
9.900,8.343351e-17
9.950,8.378860e-17
10.000,8.413970e-17
10.050,8.448685e-17
10.100,8.483005e-17
10.150,8.516936e-17
10.200,8.550478e-17
10.250,8.583634e-17
10.300,8.616408e-17
10.350,8.648801e-17
10.400,8.680818e-17
10.450,8.712459e-17
10.500,8.743729e-17
10.550,8.774629e-17
10.600,8.805162e-17
10.650,8.835332e-17
10.700,8.865141e-17
10.750,8.894591e-17
10.800,8.923685e-17
10.850,8.952427e-17
10.900,8.980818e-17
10.950,9.008862e-17
11.000,9.036560e-17
11.050,9.063917e-17
