# Anregung Ar(exc_1), Schwelle 13.0 eV, biagi_v7_1
Te_eV,K_m3s
0.500,2.503027e-26
0.550,2.794654e-25
0.600,2.095523e-24
0.650,1.156544e-23
0.700,5.016211e-23
0.750,1.793883e-22
0.800,5.483626e-22
0.850,1.472886e-21
0.900,3.551511e-21
0.950,7.819107e-21
1.000,1.593269e-20
1.050,3.037927e-20
1.100,5.469223e-20
1.150,9.366126e-20
1.200,1.535219e-19
1.250,2.421126e-19
1.300,3.689906e-19
1.350,5.455015e-19
1.400,7.847993e-19
1.450,1.101821e-18
1.500,1.513213e-18
1.550,2.037225e-18
1.600,2.693564e-18
1.650,3.503226e-18
1.700,4.488309e-18
1.750,5.671812e-18
1.800,7.077426e-18
1.850,8.729329e-18
1.900,1.065198e-17
1.950,1.286991e-17
2.000,1.540757e-17
2.050,1.828912e-17
2.100,2.153826e-17
2.150,2.517814e-17
2.200,2.923118e-17
2.250,3.371899e-17
2.300,3.866224e-17
2.350,4.408062e-17
2.400,4.999274e-17
2.450,5.641608e-17
2.500,6.336698e-17
2.550,7.086057e-17
2.600,7.891081e-17
2.650,8.753041e-17
2.700,9.673088e-17
2.750,1.065226e-16
2.800,1.169145e-16
2.850,1.279148e-16
2.900,1.395302e-16
2.950,1.517664e-16
3.000,1.646281e-16
3.050,1.781189e-16
3.100,1.922415e-16
3.150,2.069974e-16
3.200,2.223875e-16
3.250,2.384117e-16
3.300,2.550690e-16
3.350,2.723576e-16
3.400,2.902753e-16
3.450,3.088188e-16
3.500,3.279843e-16
3.550,3.477674e-16
3.600,3.681632e-16
3.650,3.891661e-16
3.700,4.107702e-16
3.750,4.329690e-16
3.800,4.557556e-16
3.850,4.791228e-16
3.900,5.030630e-16
3.950,5.275683e-16
4.000,5.526304e-16
4.050,5.782409e-16
4.100,6.043910e-16
4.150,6.310719e-16
4.200,6.582744e-16
4.250,6.859893e-16
4.300,7.142072e-16
4.350,7.429185e-16
4.400,7.721137e-16
4.450,8.017830e-16
4.500,8.319167e-16
4.550,8.625050e-16
4.600,8.935380e-16
4.650,9.250059e-16
4.700,9.568989e-16
4.750,9.892070e-16
4.800,1.021920e-15
4.850,1.055030e-15
4.900,1.088524e-15
4.950,1.122395e-15
5.000,1.156633e-15
5.050,1.191227e-15
5.100,1.226169e-15
5.150,1.261448e-15
5.200,1.297057e-15
5.250,1.332984e-15
5.300,1.369222e-15
5.350,1.405761e-15
5.400,1.442592e-15
5.450,1.479706e-15
5.500,1.517095e-15
5.550,1.554750e-15
5.600,1.592663e-15
5.650,1.630824e-15
5.700,1.669227e-15
5.750,1.707862e-15
5.800,1.746722e-15
5.850,1.785799e-15
5.900,1.825085e-15
5.950,1.864572e-15
6.000,1.904253e-15
6.050,1.944121e-15
6.100,1.984168e-15
