# Anregung Ar(3d'[3/2]2), Schwelle 14.343 eV, bsr
Te_eV,K_m3s
0.500,5.679152e-29
0.550,7.800962e-28
0.600,6.934319e-27
0.650,4.410277e-26
0.700,2.156131e-25
0.750,8.540000e-25
0.800,2.850533e-24
0.850,8.263445e-24
0.900,2.129784e-23
0.950,4.971409e-23
1.000,1.066641e-22
1.050,2.128895e-22
1.100,3.991593e-22
1.150,7.087833e-22
1.200,1.200027e-21
1.250,1.948254e-21
1.300,3.047656e-21
1.350,4.612463e-21
1.400,6.777568e-21
1.450,9.698545e-21
1.500,1.355108e-20
1.550,1.852984e-20
1.600,2.484691e-20
1.650,3.272978e-20
1.700,4.241902e-20
1.750,5.416584e-20
1.800,6.822937e-20
1.850,8.487401e-20
1.900,1.043667e-19
1.950,1.269744e-19
2.000,1.529616e-19
2.050,1.825878e-19
2.100,2.161058e-19
2.150,2.537594e-19
2.200,2.957819e-19
2.250,3.423947e-19
2.300,3.938059e-19
2.350,4.502094e-19
2.400,5.117842e-19
2.450,5.786935e-19
2.500,6.510847e-19
2.550,7.290888e-19
2.600,8.128205e-19
2.650,9.023781e-19
2.700,9.978441e-19
2.750,1.099285e-18
2.800,1.206752e-18
2.850,1.320280e-18
2.900,1.439892e-18
2.950,1.565595e-18
3.000,1.697383e-18
3.050,1.835239e-18
3.100,1.979132e-18
3.150,2.129020e-18
3.200,2.284851e-18
3.250,2.446564e-18
3.300,2.614088e-18
3.350,2.787341e-18
3.400,2.966238e-18
3.450,3.150682e-18
3.500,3.340574e-18
3.550,3.535805e-18
3.600,3.736263e-18
3.650,3.941830e-18
3.700,4.152385e-18
3.750,4.367803e-18
3.800,4.587954e-18
3.850,4.812707e-18
3.900,5.041929e-18
3.950,5.275484e-18
4.000,5.513235e-18
4.050,5.755044e-18
4.100,6.000770e-18
4.150,6.250276e-18
4.200,6.503420e-18
4.250,6.760064e-18
4.300,7.020068e-18
4.350,7.283292e-18
4.400,7.549601e-18
4.450,7.818855e-18
4.500,8.090920e-18
4.550,8.365661e-18
4.600,8.642945e-18
4.650,8.922641e-18
4.700,9.204619e-18
4.750,9.488752e-18
4.800,9.774913e-18
4.850,1.006298e-17
4.900,1.035283e-17
4.950,1.064434e-17
5.000,1.093741e-17
5.050,1.123190e-17
5.100,1.152771e-17
5.150,1.182474e-17
5.200,1.212286e-17
5.250,1.242199e-17
5.300,1.272200e-17
5.350,1.302281e-17
5.400,1.332432e-17
5.450,1.362642e-17
5.500,1.392903e-17
5.550,1.423206e-17
5.600,1.453542e-17
5.650,1.483902e-17
5.700,1.514277e-17
5.750,1.544661e-17
5.800,1.575044e-17
5.850,1.605419e-17
5.900,1.635779e-17
5.950,1.666117e-17
6.000,1.696425e-17
6.050,1.726697e-17
6.100,1.756926e-17
6.150,1.787106e-17
6.200,1.817231e-17
6.250,1.847294e-17
6.300,1.877291e-17
6.350,1.907215e-17
6.400,1.937062e-17
6.450,1.966825e-17
6.500,1.996501e-17
6.550,2.026083e-17
6.600,2.055569e-17
6.650,2.084952e-17
6.700,2.114230e-17
6.750,2.143397e-17
6.800,2.172450e-17
6.850,2.201385e-17
6.900,2.230198e-17
6.950,2.258887e-17
7.000,2.287446e-17
7.050,2.315875e-17
7.100,2.344168e-17
7.150,2.372324e-17
7.200,2.400339e-17
7.250,2.428211e-17
7.300,2.455938e-17
7.350,2.483516e-17
7.400,2.510944e-17
7.450,2.538219e-17
7.500,2.565339e-17
7.550,2.592303e-17
7.600,2.619108e-17
7.650,2.645753e-17
7.700,2.672236e-17
7.750,2.698555e-17
7.800,2.724709e-17
7.850,2.750696e-17
7.900,2.776516e-17
7.950,2.802167e-17
8.000,2.827648e-17
8.050,2.852958e-17
8.100,2.878095e-17
8.150,2.903060e-17
8.200,2.927850e-17
8.250,2.952466e-17
8.300,2.976907e-17
8.350,3.001172e-17
8.400,3.025260e-17
8.450,3.049171e-17
8.500,3.072905e-17
8.550,3.096461e-17
8.600,3.119840e-17
8.650,3.143039e-17
8.700,3.166061e-17
8.750,3.188903e-17
8.800,3.211567e-17
8.850,3.234052e-17
8.900,3.256358e-17
8.950,3.278485e-17
9.000,3.300434e-17
9.050,3.322204e-17
9.100,3.343795e-17
9.150,3.365208e-17
9.200,3.386443e-17
9.250,3.407500e-17
9.300,3.428379e-17
9.350,3.449082e-17
9.400,3.469607e-17
9.450,3.489957e-17
9.500,3.510130e-17
9.550,3.530127e-17
9.600,3.549950e-17
9.650,3.569598e-17
9.700,3.589072e-17
9.750,3.608372e-17
9.800,3.627500e-17
9.850,3.646455e-17
9.900,3.665239e-17
9.950,3.683852e-17
10.000,3.702294e-17
10.050,3.720566e-17
10.100,3.738670e-17
10.150,3.756605e-17
10.200,3.774373e-17
10.250,3.791973e-17
10.300,3.809408e-17
10.350,3.826678e-17
10.400,3.843783e-17
10.450,3.860724e-17
10.500,3.877502e-17
10.550,3.894119e-17
10.600,3.910574e-17
10.650,3.926868e-17
10.700,3.943004e-17
10.750,3.958980e-17
10.800,3.974799e-17
10.850,3.990460e-17
10.900,4.005966e-17
10.950,4.021316e-17
11.000,4.036512e-17
11.050,4.051555e-17
11.100,4.066446e-17
11.150,4.081184e-17
11.200,4.095772e-17
11.250,4.110211e-17
11.300,4.124500e-17
11.350,4.138642e-17
11.400,4.152637e-17
11.450,4.166486e-17
11.500,4.180190e-17
11.550,4.193749e-17
11.600,4.207166e-17
11.650,4.220440e-17
11.700,4.233573e-17
11.750,4.246566e-17
11.800,4.259419e-17
11.850,4.272134e-17
11.900,4.284711e-17
11.950,4.297152e-17
12.000,4.309457e-17
12.050,4.321628e-17
12.100,4.333665e-17
12.150,4.345569e-17
12.200,4.357341e-17
12.250,4.368982e-17
12.300,4.380494e-17
12.350,4.391876e-17
12.400,4.403130e-17
12.450,4.414258e-17
12.500,4.425259e-17
12.550,4.436134e-17
12.600,4.446886e-17
12.650,4.457514e-17
12.700,4.468019e-17
12.750,4.478403e-17
12.800,4.488666e-17
12.850,4.498810e-17
12.900,4.508835e-17
12.950,4.518741e-17
13.000,4.528531e-17
13.050,4.538205e-17
13.100,4.547763e-17
13.150,4.557207e-17
13.200,4.566537e-17
13.250,4.575755e-17
13.300,4.584862e-17
13.350,4.593857e-17
13.400,4.602743e-17
13.450,4.611519e-17
13.500,4.620188e-17
13.550,4.628749e-17
13.600,4.637203e-17
13.650,4.645552e-17
13.700,4.653796e-17
13.750,4.661936e-17
13.800,4.669973e-17
13.850,4.677908e-17
13.900,4.685741e-17
13.950,4.693474e-17
14.000,4.701107e-17
14.050,4.708640e-17
14.100,4.716076e-17
14.150,4.723414e-17
14.200,4.730656e-17
14.250,4.737802e-17
14.300,4.744853e-17
14.350,4.751810e-17
14.400,4.758673e-17
14.450,4.765443e-17
14.500,4.772122e-17
14.550,4.778710e-17
14.600,4.785207e-17
14.650,4.791614e-17
14.700,4.797933e-17
14.750,4.804164e-17
14.800,4.810307e-17
14.850,4.816364e-17
14.900,4.822334e-17
14.950,4.828220e-17
15.000,4.834021e-17
15.050,4.839738e-17
15.100,4.845373e-17
15.150,4.850925e-17
15.200,4.856395e-17
15.250,4.861784e-17
15.300,4.867093e-17
15.350,4.872323e-17
15.400,4.877474e-17
15.450,4.882546e-17
15.500,4.887541e-17
15.550,4.892459e-17
15.600,4.897301e-17
15.650,4.902068e-17
15.700,4.906759e-17
15.750,4.911376e-17
15.800,4.915920e-17
15.850,4.920390e-17
15.900,4.924789e-17
15.950,4.929115e-17
16.000,4.933371e-17
16.050,4.937556e-17
16.100,4.941671e-17
16.150,4.945717e-17
16.200,4.949694e-17
16.250,4.953603e-17
16.300,4.957445e-17
16.350,4.961220e-17
16.400,4.964928e-17
16.450,4.968571e-17
16.500,4.972149e-17
16.550,4.975662e-17
16.600,4.979111e-17
16.650,4.982497e-17
16.700,4.985820e-17
16.750,4.989081e-17
16.800,4.992280e-17
16.850,4.995417e-17
16.900,4.998494e-17
16.950,5.001511e-17
17.000,5.004469e-17
17.050,5.007367e-17
17.100,5.010206e-17
17.150,5.012988e-17
17.200,5.015712e-17
17.250,5.018379e-17
17.300,5.020990e-17
17.350,5.023544e-17
17.400,5.026043e-17
17.450,5.028487e-17
17.500,5.030877e-17
17.550,5.033212e-17
17.600,5.035494e-17
17.650,5.037723e-17
17.700,5.039900e-17
17.750,5.042024e-17
17.800,5.044096e-17
17.850,5.046118e-17
17.900,5.048088e-17
17.950,5.050009e-17
18.000,5.051879e-17
18.050,5.053700e-17
18.100,5.055473e-17
18.150,5.057196e-17
18.200,5.058872e-17
18.250,5.060500e-17
18.300,5.062081e-17
18.350,5.063615e-17
18.400,5.065103e-17
18.450,5.066545e-17
18.500,5.067941e-17
18.550,5.069292e-17
18.600,5.070599e-17
18.650,5.071861e-17
18.700,5.073080e-17
18.750,5.074255e-17
18.800,5.075386e-17
18.850,5.076476e-17
18.900,5.077522e-17
18.950,5.078527e-17
19.000,5.079491e-17
19.050,5.080413e-17
19.100,5.081294e-17
19.150,5.082135e-17
19.200,5.082936e-17
19.250,5.083698e-17
19.300,5.084420e-17
19.350,5.085103e-17
19.400,5.085747e-17
19.450,5.086353e-17
19.500,5.086922e-17
19.550,5.087452e-17
19.600,5.087946e-17
19.650,5.088403e-17
19.700,5.088823e-17
19.750,5.089207e-17
19.800,5.089555e-17
19.850,5.089868e-17
19.900,5.090145e-17
19.950,5.090388e-17
20.000,5.090596e-17
