# Anregung Ar(4p[1/2]1), Schwelle 13.074 eV, bsr
Te_eV,K_m3s
0.500,3.953207e-27
0.550,3.995672e-26
0.600,2.736040e-25
0.650,1.389556e-24
0.700,5.583409e-24
0.750,1.860928e-23
0.800,5.330185e-23
0.850,1.347954e-22
0.900,3.073548e-22
0.950,6.424156e-22
1.000,1.247198e-21
1.050,2.273153e-21
1.100,3.923526e-21
1.150,6.459447e-21
1.200,1.020415e-20
1.250,1.554509e-20
1.300,2.293395e-20
1.350,3.288460e-20
1.400,4.596935e-20
1.450,6.281357e-20
1.500,8.408924e-20
1.550,1.105076e-19
1.600,1.428110e-19
1.650,1.817651e-19
1.700,2.281503e-19
1.750,2.827535e-19
1.800,3.463607e-19
1.850,4.197494e-19
1.900,5.036819e-19
1.950,5.988991e-19
2.000,7.061150e-19
2.050,8.260116e-19
2.100,9.592354e-19
2.150,1.106393e-18
2.200,1.268049e-18
2.250,1.444723e-18
2.300,1.636889e-18
2.350,1.844972e-18
2.400,2.069351e-18
2.450,2.310356e-18
2.500,2.568266e-18
2.550,2.843317e-18
2.600,3.135695e-18
2.650,3.445540e-18
2.700,3.772950e-18
2.750,4.117976e-18
2.800,4.480632e-18
2.850,4.860890e-18
2.900,5.258684e-18
2.950,5.673915e-18
3.000,6.106446e-18
3.050,6.556112e-18
3.100,7.022717e-18
3.150,7.506038e-18
3.200,8.005825e-18
3.250,8.521807e-18
3.300,9.053688e-18
3.350,9.601156e-18
3.400,1.016388e-17
3.450,1.074151e-17
3.500,1.133368e-17
3.550,1.194003e-17
3.600,1.256016e-17
3.650,1.319368e-17
3.700,1.384018e-17
3.750,1.449926e-17
3.800,1.517050e-17
3.850,1.585348e-17
3.900,1.654777e-17
3.950,1.725295e-17
4.000,1.796860e-17
4.050,1.869428e-17
4.100,1.942957e-17
4.150,2.017405e-17
4.200,2.092729e-17
4.250,2.168886e-17
4.300,2.245837e-17
4.350,2.323538e-17
4.400,2.401950e-17
4.450,2.481031e-17
4.500,2.560743e-17
4.550,2.641046e-17
4.600,2.721902e-17
4.650,2.803271e-17
4.700,2.885118e-17
4.750,2.967406e-17
4.800,3.050098e-17
4.850,3.133160e-17
4.900,3.216557e-17
4.950,3.300255e-17
