# Anregung Ar(exc_14), Schwelle 13.9 eV, hayashi
Te_eV,K_m3s
0.500,7.552518e-28
0.550,1.019813e-26
0.600,8.947958e-26
0.650,5.629732e-25
0.700,2.726192e-24
0.750,1.070471e-23
0.800,3.544685e-23
0.850,1.020035e-22
0.900,2.611255e-22
0.950,6.057654e-22
1.000,1.292411e-21
1.050,2.566448e-21
1.100,4.790135e-21
1.150,8.471361e-21
1.200,1.429121e-20
1.250,2.312847e-20
1.300,3.607945e-20
1.350,5.447195e-20
1.400,7.987274e-20
1.450,1.140881e-19
1.500,1.591578e-19
1.550,2.173426e-19
1.600,2.911067e-19
1.650,3.830954e-19
1.700,4.961087e-19
1.750,6.330732e-19
1.800,7.970114e-19
1.850,9.910110e-19
1.900,1.218194e-18
1.950,1.481686e-18
2.000,1.784588e-18
2.050,2.129948e-18
2.100,2.520738e-18
2.150,2.959831e-18
2.200,3.449978e-18
2.250,3.993795e-18
2.300,4.593744e-18
2.350,5.252124e-18
2.400,5.971059e-18
2.450,6.752491e-18
2.500,7.598175e-18
2.550,8.509675e-18
2.600,9.488364e-18
2.650,1.053542e-17
2.700,1.165184e-17
2.750,1.283842e-17
2.800,1.409578e-17
2.850,1.542437e-17
2.900,1.682445e-17
2.950,1.829613e-17
3.000,1.983935e-17
3.050,2.145391e-17
3.100,2.313945e-17
3.150,2.489550e-17
3.200,2.672144e-17
3.250,2.861654e-17
3.300,3.057995e-17
3.350,3.261074e-17
3.400,3.470786e-17
3.450,3.687018e-17
3.500,3.909650e-17
3.550,4.138554e-17
3.600,4.373595e-17
3.650,4.614634e-17
3.700,4.861524e-17
3.750,5.114116e-17
3.800,5.372257e-17
3.850,5.635787e-17
3.900,5.904549e-17
3.950,6.178378e-17
4.000,6.457111e-17
4.050,6.740582e-17
4.100,7.028624e-17
4.150,7.321069e-17
4.200,7.617751e-17
4.250,7.918501e-17
4.300,8.223152e-17
4.350,8.531539e-17
4.400,8.843494e-17
4.450,9.158855e-17
4.500,9.477458e-17
4.550,9.799142e-17
4.600,1.012375e-16
4.650,1.045112e-16
4.700,1.078110e-16
4.750,1.111353e-16
4.800,1.144827e-16
4.850,1.178517e-16
4.900,1.212408e-16
4.950,1.246486e-16
5.000,1.280737e-16
5.050,1.315147e-16
5.100,1.349703e-16
5.150,1.384391e-16
5.200,1.419199e-16
5.250,1.454115e-16
5.300,1.489125e-16
5.350,1.524219e-16
5.400,1.559383e-16
5.450,1.594608e-16
5.500,1.629882e-16
5.550,1.665194e-16
5.600,1.700533e-16
5.650,1.735891e-16
5.700,1.771255e-16
5.750,1.806618e-16
5.800,1.841969e-16
5.850,1.877301e-16
5.900,1.912603e-16
5.950,1.947867e-16
6.000,1.983086e-16
6.050,2.018251e-16
6.100,2.053354e-16
6.150,2.088389e-16
6.200,2.123347e-16
6.250,2.158223e-16
6.300,2.193009e-16
6.350,2.227699e-16
6.400,2.262286e-16
6.450,2.296765e-16
6.500,2.331130e-16
6.550,2.365376e-16
6.600,2.399496e-16
6.650,2.433486e-16
6.700,2.467341e-16
6.750,2.501056e-16
6.800,2.534627e-16
6.850,2.568050e-16
6.900,2.601319e-16
6.950,2.634432e-16
7.000,2.667384e-16
7.050,2.700171e-16
7.100,2.732791e-16
7.150,2.765240e-16
7.200,2.797515e-16
7.250,2.829613e-16
7.300,2.861530e-16
7.350,2.893265e-16
7.400,2.924815e-16
7.450,2.956176e-16
7.500,2.987348e-16
