# Anregung Ar((4p), Schwelle 13.27 eV, iaa
Te_eV,K_m3s
0.500,7.506922e-28
0.550,9.683019e-27
0.600,8.192128e-26
0.650,5.006835e-25
0.700,2.368829e-24
0.750,9.127865e-24
0.800,2.976095e-23
0.850,8.454076e-23
0.900,2.140529e-22
0.950,4.918535e-22
1.000,1.040587e-21
1.050,2.050840e-21
1.100,3.801537e-21
1.150,6.680446e-21
1.200,1.120326e-20
1.250,1.802991e-20
1.300,2.797694e-20
1.350,4.202531e-20
1.400,6.132311e-20
1.450,8.718328e-20
1.500,1.210765e-19
1.550,1.646198e-19
1.600,2.195617e-19
1.650,2.877643e-19
1.700,3.711833e-19
1.750,4.718467e-19
1.800,5.918329e-19
1.850,7.332489e-19
1.900,8.982086e-19
1.950,1.088812e-18
2.000,1.307129e-18
2.050,1.555175e-18
2.100,1.834903e-18
2.150,2.148185e-18
2.200,2.496801e-18
2.250,2.882428e-18
2.300,3.306634e-18
2.350,3.770868e-18
2.400,4.276459e-18
2.450,4.824607e-18
2.500,5.416389e-18
2.550,6.052750e-18
2.600,6.734509e-18
2.650,7.462358e-18
2.700,8.236864e-18
2.750,9.058475e-18
2.800,9.927518e-18
2.850,1.084421e-17
2.900,1.180866e-17
2.950,1.282086e-17
3.000,1.388073e-17
3.050,1.498807e-17
3.100,1.614261e-17
3.150,1.734398e-17
3.200,1.859175e-17
3.250,1.988541e-17
3.300,2.122439e-17
3.350,2.260805e-17
3.400,2.403570e-17
3.450,2.550659e-17
3.500,2.701994e-17
3.550,2.857491e-17
3.600,3.017065e-17
3.650,3.180625e-17
3.700,3.348078e-17
3.750,3.519329e-17
3.800,3.694281e-17
3.850,3.872834e-17
3.900,4.054887e-17
3.950,4.240338e-17
4.000,4.429085e-17
4.050,4.621024e-17
4.100,4.816052e-17
4.150,5.014063e-17
4.200,5.214955e-17
4.250,5.418624e-17
4.300,5.624966e-17
4.350,5.833879e-17
4.400,6.045260e-17
4.450,6.259009e-17
4.500,6.475025e-17
4.550,6.693210e-17
4.600,6.913465e-17
4.650,7.135695e-17
4.700,7.359804e-17
4.750,7.585699e-17
4.800,7.813287e-17
