# Anregung Ar((4s'), Schwelle 11.83 eV, iaa
Te_eV,K_m3s
0.500,1.206474e-25
0.550,1.094340e-24
0.600,6.894769e-24
0.650,3.281137e-23
0.700,1.252233e-22
0.750,4.004935e-22
0.800,1.109391e-21
0.850,2.729720e-21
0.900,6.084576e-21
0.950,1.247855e-20
1.000,2.384058e-20
1.050,4.286088e-20
1.100,7.311008e-20
1.150,1.191309e-19
1.200,1.864967e-19
1.250,2.818325e-19
1.300,4.128014e-19
1.350,5.880559e-19
1.400,8.171610e-19
1.450,1.110493e-18
1.500,1.479123e-18
1.550,1.934685e-18
1.600,2.489239e-18
1.650,3.155136e-18
1.700,3.944881e-18
1.750,4.871004e-18
1.800,5.945940e-18
1.850,7.181916e-18
1.900,8.590856e-18
1.950,1.018429e-17
2.000,1.197328e-17
2.050,1.396836e-17
2.100,1.617947e-17
2.150,1.861595e-17
2.200,2.128646e-17
2.250,2.419900e-17
2.300,2.736088e-17
2.350,3.077871e-17
2.400,3.445842e-17
2.450,3.840525e-17
2.500,4.262375e-17
2.550,4.711784e-17
2.600,5.189078e-17
2.650,5.694521e-17
2.700,6.228319e-17
2.750,6.790621e-17
2.800,7.381521e-17
2.850,8.001064e-17
2.900,8.649243e-17
2.950,9.326008e-17
3.000,1.003127e-16
3.050,1.076488e-16
3.100,1.152669e-16
3.150,1.231647e-16
3.200,1.313401e-16
3.250,1.397902e-16
3.300,1.485121e-16
3.350,1.575027e-16
3.400,1.667586e-16
3.450,1.762761e-16
3.500,1.860514e-16
3.550,1.960807e-16
3.600,2.063597e-16
3.650,2.168842e-16
3.700,2.276500e-16
3.750,2.386525e-16
3.800,2.498873e-16
3.850,2.613497e-16
3.900,2.730351e-16
3.950,2.849389e-16
4.000,2.970562e-16
4.050,3.093823e-16
4.100,3.219125e-16
4.150,3.346420e-16
4.200,3.475659e-16
4.250,3.606797e-16
4.300,3.739784e-16
4.350,3.874574e-16
4.400,4.011121e-16
4.450,4.149376e-16
4.500,4.289294e-16
