# Anregung Ar(3d[5/2]2 + 5s[3/2]2), Schwelle 14.06 eV, ist_lisbon
Te_eV,K_m3s
0.500,3.735402e-28
0.550,5.295160e-27
0.600,4.824540e-26
0.650,3.129293e-25
0.700,1.554214e-24
0.750,6.235156e-24
0.800,2.103014e-23
0.850,6.148736e-23
0.900,1.595922e-22
0.950,3.746938e-22
1.000,8.078015e-22
1.050,1.618742e-21
1.100,3.045206e-21
1.150,5.422397e-21
1.200,9.201880e-21
1.250,1.496827e-20
1.300,2.345260e-20
1.350,3.554158e-20
1.400,5.228213e-20
1.450,7.488113e-20
1.500,1.047004e-19
1.550,1.432476e-19
1.600,1.921627e-19
1.650,2.532022e-19
1.700,3.282204e-19
1.750,4.191490e-19
1.800,5.279760e-19
1.850,6.567241e-19
1.900,8.074293e-19
1.950,9.821204e-19
2.000,1.182799e-18
2.050,1.411424e-18
2.100,1.669889e-18
2.150,1.960015e-18
2.200,2.283532e-18
2.250,2.642073e-18
2.300,3.037158e-18
2.350,3.470195e-18
2.400,3.942468e-18
2.450,4.455134e-18
2.500,5.009225e-18
2.550,5.605640e-18
2.600,6.245153e-18
2.650,6.928405e-18
2.700,7.655914e-18
2.750,8.428076e-18
2.800,9.245164e-18
2.850,1.010734e-17
2.900,1.101465e-17
2.950,1.196704e-17
3.000,1.296435e-17
3.050,1.400633e-17
3.100,1.509264e-17
3.150,1.622286e-17
3.200,1.739648e-17
3.250,1.861294e-17
3.300,1.987159e-17
3.350,2.117174e-17
3.400,2.251262e-17
3.450,2.389344e-17
3.500,2.531334e-17
3.550,2.677144e-17
3.600,2.826681e-17
3.650,2.979849e-17
3.700,3.136551e-17
3.750,3.296684e-17
3.800,3.460147e-17
3.850,3.626837e-17
3.900,3.796646e-17
3.950,3.969470e-17
4.000,4.145202e-17
4.050,4.323734e-17
4.100,4.504959e-17
4.150,4.688770e-17
4.200,4.875060e-17
4.250,5.063723e-17
4.300,5.254653e-17
4.350,5.447746e-17
4.400,5.642899e-17
4.450,5.840008e-17
4.500,6.038972e-17
4.550,6.239693e-17
4.600,6.442071e-17
4.650,6.646010e-17
4.700,6.851415e-17
4.750,7.058193e-17
4.800,7.266252e-17
4.850,7.475503e-17
