# Anregung Ar(3P1), Schwelle 11.623 eV, ist_lisbon
Te_eV,K_m3s
0.500,3.671250e-26
0.550,3.567044e-25
0.600,2.367360e-24
0.650,1.172313e-23
0.700,4.613192e-23
0.750,1.510672e-22
0.800,4.261434e-22
0.850,1.063219e-21
0.900,2.394860e-21
0.950,4.949458e-21
1.000,9.507690e-21
1.050,1.715457e-20
1.100,2.932187e-20
1.150,4.781692e-20
1.200,7.483570e-20
1.250,1.129593e-19
1.300,1.651351e-19
1.350,2.346438e-19
1.400,3.250557e-19
1.450,4.401791e-19
1.500,5.840025e-19
1.550,7.606357e-19
1.600,9.742496e-19
1.650,1.229019e-18
1.700,1.529067e-18
1.750,1.878419e-18
1.800,2.280955e-18
1.850,2.740373e-18
1.900,3.260157e-18
1.950,3.843551e-18
2.000,4.493540e-18
2.050,5.212831e-18
2.100,6.003849e-18
2.150,6.868726e-18
2.200,7.809303e-18
2.250,8.827129e-18
2.300,9.923469e-18
2.350,1.109931e-17
2.400,1.235537e-17
2.450,1.369212e-17
2.500,1.510976e-17
2.550,1.660829e-17
2.600,1.818746e-17
2.650,1.984684e-17
2.700,2.158582e-17
2.750,2.340358e-17
2.800,2.529917e-17
2.850,2.727149e-17
2.900,2.931929e-17
2.950,3.144123e-17
3.000,3.363585e-17
3.050,3.590159e-17
3.100,3.823682e-17
3.150,4.063984e-17
3.200,4.310889e-17
3.250,4.564214e-17
3.300,4.823775e-17
3.350,5.089383e-17
3.400,5.360847e-17
3.450,5.637974e-17
3.500,5.920570e-17
3.550,6.208441e-17
3.600,6.501392e-17
3.650,6.799231e-17
3.700,7.101764e-17
3.750,7.408802e-17
3.800,7.720155e-17
3.850,8.035635e-17
3.900,8.355060e-17
3.950,8.678247e-17
4.000,9.005019e-17
4.050,9.335199e-17
4.100,9.668617e-17
4.150,1.000510e-16
4.200,1.034449e-16
4.250,1.068663e-16
4.300,1.103135e-16
4.350,1.137850e-16
4.400,1.172794e-16
4.450,1.207951e-16
4.500,1.243308e-16
4.550,1.278851e-16
4.600,1.314567e-16
4.650,1.350442e-16
4.700,1.386464e-16
4.750,1.422621e-16
4.800,1.458900e-16
4.850,1.495292e-16
4.900,1.531783e-16
4.950,1.568365e-16
5.000,1.605025e-16
5.050,1.641755e-16
5.100,1.678545e-16
5.150,1.715385e-16
5.200,1.752266e-16
5.250,1.789179e-16
5.300,1.826117e-16
5.350,1.863070e-16
5.400,1.900032e-16
5.450,1.936994e-16
5.500,1.973950e-16
5.550,2.010892e-16
5.600,2.047814e-16
5.650,2.084709e-16
5.700,2.121571e-16
5.750,2.158395e-16
5.800,2.195173e-16
5.850,2.231901e-16
5.900,2.268574e-16
5.950,2.305186e-16
6.000,2.341732e-16
6.050,2.378208e-16
6.100,2.414610e-16
6.150,2.450932e-16
6.200,2.487172e-16
6.250,2.523324e-16
6.300,2.559385e-16
6.350,2.595351e-16
6.400,2.631220e-16
6.450,2.666987e-16
6.500,2.702649e-16
6.550,2.738204e-16
6.600,2.773649e-16
6.650,2.808980e-16
6.700,2.844195e-16
6.750,2.879292e-16
6.800,2.914267e-16
6.850,2.949120e-16
6.900,2.983848e-16
6.950,3.018448e-16
7.000,3.052918e-16
7.050,3.087258e-16
7.100,3.121465e-16
7.150,3.155537e-16
7.200,3.189473e-16
7.250,3.223271e-16
7.300,3.256930e-16
7.350,3.290449e-16
7.400,3.323826e-16
7.450,3.357061e-16
7.500,3.390151e-16
7.550,3.423097e-16
7.600,3.455897e-16
7.650,3.488551e-16
7.700,3.521057e-16
7.750,3.553414e-16
7.800,3.585623e-16
7.850,3.617683e-16
7.900,3.649592e-16
7.950,3.681350e-16
8.000,3.712958e-16
8.050,3.744414e-16
8.100,3.775719e-16
8.150,3.806871e-16
8.200,3.837871e-16
8.250,3.868718e-16
8.300,3.899413e-16
8.350,3.929955e-16
8.400,3.960343e-16
8.450,3.990579e-16
8.500,4.020662e-16
8.550,4.050592e-16
8.600,4.080369e-16
8.650,4.109993e-16
8.700,4.139465e-16
8.750,4.168783e-16
8.800,4.197950e-16
8.850,4.226965e-16
8.900,4.255827e-16
8.950,4.284539e-16
9.000,4.313099e-16
9.050,4.341508e-16
9.100,4.369766e-16
9.150,4.397875e-16
9.200,4.425833e-16
9.250,4.453643e-16
9.300,4.481303e-16
9.350,4.508816e-16
9.400,4.536180e-16
9.450,4.563397e-16
9.500,4.590467e-16
9.550,4.617391e-16
9.600,4.644169e-16
9.650,4.670802e-16
9.700,4.697290e-16
9.750,4.723634e-16
9.800,4.749835e-16
9.850,4.775894e-16
9.900,4.801810e-16
9.950,4.827585e-16
10.000,4.853219e-16
10.050,4.878714e-16
10.100,4.904068e-16
10.150,4.929285e-16
10.200,4.954363e-16
10.250,4.979304e-16
10.300,5.004109e-16
10.350,5.028778e-16
10.400,5.053312e-16
10.450,5.077712e-16
10.500,5.101979e-16
10.550,5.126112e-16
10.600,5.150114e-16
10.650,5.173985e-16
10.700,5.197725e-16
10.750,5.221336e-16
10.800,5.244817e-16
10.850,5.268171e-16
10.900,5.291398e-16
10.950,5.314498e-16
11.000,5.337473e-16
11.050,5.360322e-16
11.100,5.383048e-16
11.150,5.405651e-16
11.200,5.428131e-16
11.250,5.450489e-16
11.300,5.472727e-16
11.350,5.494845e-16
11.400,5.516843e-16
11.450,5.538723e-16
11.500,5.560486e-16
11.550,5.582131e-16
11.600,5.603661e-16
11.650,5.625076e-16
11.700,5.646376e-16
11.750,5.667563e-16
11.800,5.688637e-16
11.850,5.709599e-16
11.900,5.730450e-16
11.950,5.751190e-16
12.000,5.771821e-16
12.050,5.792343e-16
12.100,5.812757e-16
12.150,5.833063e-16
12.200,5.853264e-16
12.250,5.873358e-16
12.300,5.893348e-16
12.350,5.913233e-16
12.400,5.933015e-16
12.450,5.952695e-16
12.500,5.972272e-16
12.550,5.991749e-16
12.600,6.011125e-16
12.650,6.030401e-16
12.700,6.049579e-16
12.750,6.068658e-16
12.800,6.087640e-16
12.850,6.106525e-16
12.900,6.125314e-16
12.950,6.144008e-16
13.000,6.162607e-16
13.050,6.181113e-16
13.100,6.199525e-16
13.150,6.217845e-16
13.200,6.236073e-16
