# Anregung Ar(4p'[3/2]2), Schwelle 13.302 eV, ist_lisbon
Te_eV,K_m3s
0.500,2.212634e-28
0.550,2.831692e-27
0.600,2.400537e-26
0.650,1.481463e-25
0.700,7.119019e-25
0.750,2.798358e-24
0.800,9.336558e-24
0.850,2.719863e-23
0.900,7.072035e-23
0.950,1.670105e-22
1.000,3.632576e-22
1.050,7.360193e-22
1.100,1.402230e-21
1.150,2.531439e-21
1.200,4.358622e-21
1.250,7.196834e-21
1.300,1.144894e-20
1.350,1.761775e-20
1.400,2.631405e-20
1.450,3.826199e-20
1.500,5.430176e-20
1.550,7.538937e-20
1.600,1.025936e-19
1.650,1.370902e-19
1.700,1.801543e-19
1.750,2.331499e-19
1.800,2.975187e-19
1.850,3.747672e-19
1.900,4.664528e-19
1.950,5.741701e-19
2.000,6.995365e-19
2.050,8.441782e-19
2.100,1.009717e-18
2.150,1.197756e-18
2.200,1.409871e-18
2.250,1.647595e-18
2.300,1.912411e-18
2.350,2.205742e-18
2.400,2.528944e-18
2.450,2.883298e-18
2.500,3.270005e-18
2.550,3.690185e-18
2.600,4.144865e-18
2.650,4.634986e-18
2.700,5.161396e-18
2.750,5.724849e-18
2.800,6.326008e-18
2.850,6.965444e-18
2.900,7.643636e-18
2.950,8.360975e-18
3.000,9.117764e-18
3.050,9.914224e-18
3.100,1.075049e-17
3.150,1.162663e-17
3.200,1.254262e-17
3.250,1.349838e-17
3.300,1.449375e-17
3.350,1.552852e-17
3.400,1.660240e-17
3.450,1.771508e-17
3.500,1.886615e-17
3.550,2.005518e-17
3.600,2.128170e-17
3.650,2.254518e-17
3.700,2.384506e-17
3.750,2.518074e-17
3.800,2.655161e-17
3.850,2.795700e-17
3.900,2.939623e-17
3.950,3.086861e-17
4.000,3.237341e-17
4.050,3.390990e-17
4.100,3.547731e-17
4.150,3.707489e-17
4.200,3.870185e-17
4.250,4.035741e-17
4.300,4.204079e-17
4.350,4.375118e-17
4.400,4.548779e-17
4.450,4.724982e-17
4.500,4.903648e-17
4.550,5.084696e-17
4.600,5.268047e-17
4.650,5.453623e-17
4.700,5.641344e-17
4.750,5.831133e-17
4.800,6.022913e-17
4.850,6.216608e-17
4.900,6.412141e-17
4.950,6.609438e-17
5.000,6.808425e-17
5.050,7.009031e-17
5.100,7.211182e-17
5.150,7.414808e-17
5.200,7.619841e-17
5.250,7.826211e-17
5.300,8.033853e-17
5.350,8.242698e-17
5.400,8.452684e-17
5.450,8.663747e-17
5.500,8.875824e-17
5.550,9.088855e-17
5.600,9.302779e-17
5.650,9.517539e-17
5.700,9.733077e-17
5.750,9.949338e-17
5.800,1.016627e-16
5.850,1.038381e-16
5.900,1.060191e-16
5.950,1.082053e-16
6.000,1.103961e-16
6.050,1.125910e-16
