# Anregung Ar(4p[5/2]3), Schwelle 13.076 eV, ist_lisbon
Te_eV,K_m3s
0.500,5.566586e-28
0.550,6.844981e-27
0.600,5.599677e-26
0.650,3.349260e-25
0.700,1.566152e-24
0.750,6.012303e-24
0.800,1.965214e-23
0.850,5.623582e-23
0.900,1.439536e-22
0.950,3.353029e-22
1.000,7.204192e-22
1.050,1.443709e-21
1.100,2.723168e-21
1.150,4.871388e-21
1.200,8.316978e-21
1.250,1.362504e-20
1.300,2.151537e-20
1.350,3.287724e-20
1.400,4.877989e-20
1.450,7.047816e-20
1.500,9.941297e-20
1.550,1.372068e-19
1.600,1.856544e-19
1.650,2.467089e-19
1.700,3.224651e-19
1.750,4.151387e-19
1.800,5.270444e-19
1.850,6.605717e-19
1.900,8.181607e-19
1.950,1.002277e-18
2.000,1.215389e-18
2.050,1.459942e-18
2.100,1.738339e-18
2.150,2.052918e-18
2.200,2.405937e-18
2.250,2.799553e-18
2.300,3.235811e-18
2.350,3.716632e-18
2.400,4.243799e-18
2.450,4.818955e-18
2.500,5.443590e-18
2.550,6.119040e-18
2.600,6.846487e-18
2.650,7.626951e-18
2.700,8.461298e-18
2.750,9.350233e-18
2.800,1.029431e-17
2.850,1.129394e-17
2.900,1.234936e-17
2.950,1.346071e-17
3.000,1.462795e-17
3.050,1.585094e-17
3.100,1.712941e-17
3.150,1.846297e-17
3.200,1.985112e-17
3.250,2.129326e-17
3.300,2.278869e-17
3.350,2.433663e-17
3.400,2.593622e-17
3.450,2.758650e-17
3.500,2.928648e-17
3.550,3.103509e-17
3.600,3.283118e-17
3.650,3.467360e-17
3.700,3.656112e-17
3.750,3.849249e-17
3.800,4.046640e-17
3.850,4.248156e-17
3.900,4.453660e-17
3.950,4.663019e-17
4.000,4.876094e-17
4.050,5.092746e-17
4.100,5.312838e-17
4.150,5.536229e-17
4.200,5.762781e-17
4.250,5.992354e-17
4.300,6.224810e-17
4.350,6.460010e-17
4.400,6.697820e-17
4.450,6.938103e-17
4.500,7.180725e-17
4.550,7.425555e-17
4.600,7.672461e-17
4.650,7.921316e-17
4.700,8.171993e-17
4.750,8.424368e-17
4.800,8.678319e-17
4.850,8.933726e-17
4.900,9.190472e-17
4.950,9.448442e-17
5.000,9.707524e-17
5.050,9.967609e-17
5.100,1.022859e-16
5.150,1.049036e-16
5.200,1.075282e-16
5.250,1.101587e-16
5.300,1.127942e-16
5.350,1.154336e-16
5.400,1.180761e-16
5.450,1.207209e-16
5.500,1.233670e-16
5.550,1.260136e-16
5.600,1.286599e-16
5.650,1.313051e-16
5.700,1.339486e-16
5.750,1.365894e-16
5.800,1.392270e-16
5.850,1.418606e-16
5.900,1.444897e-16
5.950,1.471135e-16
6.000,1.497314e-16
6.050,1.523429e-16
6.100,1.549474e-16
6.150,1.575443e-16
6.200,1.601332e-16
6.250,1.627134e-16
6.300,1.652846e-16
6.350,1.678463e-16
6.400,1.703980e-16
6.450,1.729392e-16
6.500,1.754697e-16
6.550,1.779889e-16
6.600,1.804966e-16
6.650,1.829923e-16
6.700,1.854758e-16
6.750,1.879467e-16
6.800,1.904047e-16
6.850,1.928494e-16
6.900,1.952808e-16
6.950,1.976983e-16
7.000,2.001019e-16
7.050,2.024913e-16
7.100,2.048662e-16
7.150,2.072265e-16
7.200,2.095720e-16
7.250,2.119024e-16
7.300,2.142176e-16
7.350,2.165174e-16
7.400,2.188017e-16
7.450,2.210704e-16
7.500,2.233233e-16
7.550,2.255602e-16
7.600,2.277812e-16
7.650,2.299860e-16
7.700,2.321746e-16
7.750,2.343469e-16
7.800,2.365028e-16
7.850,2.386423e-16
7.900,2.407653e-16
7.950,2.428718e-16
8.000,2.449616e-16
8.050,2.470348e-16
8.100,2.490913e-16
8.150,2.511311e-16
8.200,2.531543e-16
8.250,2.551607e-16
8.300,2.571503e-16
8.350,2.591233e-16
8.400,2.610795e-16
8.450,2.630190e-16
8.500,2.649417e-16
8.550,2.668478e-16
8.600,2.687373e-16
8.650,2.706101e-16
8.700,2.724663e-16
8.750,2.743059e-16
8.800,2.761290e-16
8.850,2.779356e-16
8.900,2.797258e-16
8.950,2.814996e-16
9.000,2.832571e-16
9.050,2.849983e-16
9.100,2.867233e-16
9.150,2.884322e-16
9.200,2.901250e-16
9.250,2.918017e-16
9.300,2.934625e-16
9.350,2.951075e-16
9.400,2.967367e-16
9.450,2.983501e-16
9.500,2.999479e-16
9.550,3.015302e-16
9.600,3.030969e-16
9.650,3.046483e-16
