# Einfachionisation, morgan
Te_eV,K_m3s
0.500,1.515311e-28
0.550,2.886988e-27
0.600,3.395224e-26
0.650,2.751716e-25
0.700,1.663161e-24
0.750,7.944742e-24
0.800,3.133329e-23
0.850,1.054998e-22
0.900,3.112784e-22
0.950,8.216033e-22
1.000,1.972310e-21
1.050,4.364283e-21
1.100,9.000129e-21
1.150,1.745546e-20
1.200,3.208157e-20
1.250,5.623324e-20
1.300,9.451300e-20
1.350,1.530218e-19
1.400,2.396056e-19
1.450,3.640870e-19
1.500,5.384743e-19
1.550,7.771381e-19
1.600,1.096952e-18
1.650,1.517392e-18
1.700,2.060595e-18
1.750,2.751369e-18
1.800,3.617174e-18
1.850,4.688049e-18
1.900,5.996515e-18
1.950,7.577443e-18
2.000,9.467894e-18
2.050,1.170694e-17
2.100,1.433547e-17
2.150,1.739597e-17
2.200,2.093231e-17
2.250,2.498952e-17
2.300,2.961357e-17
2.350,3.485112e-17
2.400,4.074936e-17
2.450,4.735572e-17
2.500,5.471773e-17
2.550,6.288280e-17
2.600,7.189804e-17
2.650,8.181007e-17
2.700,9.266491e-17
2.750,1.045078e-16
2.800,1.173830e-16
2.850,1.313340e-16
2.900,1.464027e-16
2.950,1.626303e-16
3.000,1.800562e-16
3.050,1.987188e-16
3.100,2.186549e-16
3.150,2.398997e-16
3.200,2.624871e-16
3.250,2.864492e-16
3.300,3.118166e-16
3.350,3.386184e-16
3.400,3.668818e-16
3.450,3.966328e-16
3.500,4.278953e-16
3.550,4.606920e-16
3.600,4.950438e-16
3.650,5.309699e-16
3.700,5.684883e-16
3.750,6.076151e-16
3.800,6.483651e-16
3.850,6.907516e-16
3.900,7.347863e-16
3.950,7.804798e-16
4.000,8.278410e-16
4.050,8.768777e-16
4.100,9.275962e-16
4.150,9.800018e-16
4.200,1.034098e-15
4.250,1.089889e-15
4.300,1.147374e-15
4.350,1.206555e-15
4.400,1.267432e-15
4.450,1.330003e-15
4.500,1.394264e-15
4.550,1.460214e-15
4.600,1.527847e-15
4.650,1.597158e-15
4.700,1.668142e-15
4.750,1.740791e-15
4.800,1.815098e-15
4.850,1.891054e-15
4.900,1.968651e-15
4.950,2.047880e-15
5.000,2.128729e-15
5.050,2.211189e-15
5.100,2.295248e-15
5.150,2.380894e-15
5.200,2.468115e-15
5.250,2.556898e-15
5.300,2.647231e-15
5.350,2.739100e-15
5.400,2.832490e-15
5.450,2.927388e-15
5.500,3.023780e-15
5.550,3.121650e-15
5.600,3.220983e-15
5.650,3.321764e-15
5.700,3.423977e-15
5.750,3.527608e-15
5.800,3.632639e-15
5.850,3.739055e-15
5.900,3.846839e-15
5.950,3.955976e-15
6.000,4.066448e-15
6.050,4.178239e-15
6.100,4.291333e-15
6.150,4.405712e-15
6.200,4.521360e-15
6.250,4.638261e-15
6.300,4.756396e-15
6.350,4.875750e-15
6.400,4.996305e-15
6.450,5.118045e-15
6.500,5.240953e-15
6.550,5.365011e-15
6.600,5.490204e-15
6.650,5.616514e-15
6.700,5.743925e-15
6.750,5.872420e-15
6.800,6.001982e-15
6.850,6.132595e-15
6.900,6.264243e-15
6.950,6.396909e-15
7.000,6.530577e-15
7.050,6.665231e-15
7.100,6.800855e-15
7.150,6.937433e-15
7.200,7.074948e-15
7.250,7.213386e-15
7.300,7.352731e-15
7.350,7.492968e-15
7.400,7.634080e-15
7.450,7.776053e-15
7.500,7.918871e-15
7.550,8.062521e-15
7.600,8.206987e-15
7.650,8.352253e-15
7.700,8.498307e-15
7.750,8.645133e-15
7.800,8.792718e-15
7.850,8.941046e-15
7.900,9.090105e-15
7.950,9.239880e-15
8.000,9.390358e-15
8.050,9.541525e-15
8.100,9.693368e-15
8.150,9.845874e-15
8.200,9.999029e-15
8.250,1.015282e-14
8.300,1.030724e-14
8.350,1.046227e-14
8.400,1.061789e-14
8.450,1.077411e-14
8.500,1.093089e-14
8.550,1.108825e-14
8.600,1.124615e-14
8.650,1.140459e-14
8.700,1.156356e-14
