# Kdiss_I2 - Lafleur 2026 Table 13 (Eq.33 fit)
Te_eV,K_m3s
0.500,1.143424e-16
0.550,1.933935e-16
0.600,2.995297e-16
0.650,4.335512e-16
0.700,5.950520e-16
0.750,7.827271e-16
0.800,9.946621e-16
0.850,1.228577e-15
0.900,1.482015e-15
0.950,1.752481e-15
1.000,2.037539e-15
1.050,2.334873e-15
1.100,2.642329e-15
1.150,2.957929e-15
1.200,3.279884e-15
1.250,3.606589e-15
1.300,3.936616e-15
1.350,4.268704e-15
1.400,4.601746e-15
1.450,4.934776e-15
1.500,5.266958e-15
1.550,5.597568e-15
1.600,5.925986e-15
1.650,6.251683e-15
1.700,6.574211e-15
1.750,6.893194e-15
1.800,7.208318e-15
1.850,7.519325e-15
1.900,7.826006e-15
1.950,8.128192e-15
2.000,8.425754e-15
2.050,8.718592e-15
2.100,9.006638e-15
2.150,9.289843e-15
2.200,9.568185e-15
2.250,9.841654e-15
2.300,1.011026e-14
2.350,1.037402e-14
2.400,1.063298e-14
2.450,1.088716e-14
2.500,1.113663e-14
2.550,1.138145e-14
2.600,1.162166e-14
2.650,1.185735e-14
2.700,1.208858e-14
2.750,1.231543e-14
2.800,1.253797e-14
2.850,1.275629e-14
2.900,1.297045e-14
2.950,1.318055e-14
3.000,1.338667e-14
3.050,1.358888e-14
3.100,1.378726e-14
3.150,1.398190e-14
3.200,1.417288e-14
3.250,1.436027e-14
3.300,1.454415e-14
3.350,1.472461e-14
3.400,1.490171e-14
3.450,1.507554e-14
3.500,1.524616e-14
3.550,1.541365e-14
3.600,1.557807e-14
3.650,1.573950e-14
3.700,1.589801e-14
3.750,1.605366e-14
3.800,1.620652e-14
3.850,1.635665e-14
3.900,1.650411e-14
3.950,1.664897e-14
4.000,1.679127e-14
4.050,1.693109e-14
4.100,1.706848e-14
4.150,1.720348e-14
4.200,1.733617e-14
4.250,1.746658e-14
4.300,1.759477e-14
4.350,1.772079e-14
4.400,1.784469e-14
4.450,1.796651e-14
4.500,1.808630e-14
4.550,1.820411e-14
4.600,1.831998e-14
4.650,1.843395e-14
4.700,1.854606e-14
4.750,1.865636e-14
4.800,1.876488e-14
4.850,1.887167e-14
4.900,1.897675e-14
4.950,1.908017e-14
5.000,1.918196e-14
5.050,1.928216e-14
5.100,1.938079e-14
5.150,1.947790e-14
5.200,1.957351e-14
5.250,1.966766e-14
5.300,1.976038e-14
5.350,1.985169e-14
5.400,1.994162e-14
5.450,2.003021e-14
5.500,2.011748e-14
5.550,2.020346e-14
5.600,2.028816e-14
5.650,2.037163e-14
5.700,2.045388e-14
5.750,2.053494e-14
5.800,2.061483e-14
5.850,2.069358e-14
5.900,2.077120e-14
5.950,2.084772e-14
6.000,2.092316e-14
6.050,2.099754e-14
6.100,2.107089e-14
6.150,2.114321e-14
6.200,2.121454e-14
6.250,2.128488e-14
6.300,2.135427e-14
6.350,2.142271e-14
6.400,2.149022e-14
6.450,2.155683e-14
6.500,2.162254e-14
6.550,2.168738e-14
6.600,2.175136e-14
6.650,2.181449e-14
6.700,2.187679e-14
6.750,2.193829e-14
6.800,2.199898e-14
6.850,2.205889e-14
6.900,2.211802e-14
6.950,2.217641e-14
7.000,2.223404e-14
7.050,2.229095e-14
7.100,2.234714e-14
7.150,2.240262e-14
7.200,2.245741e-14
7.250,2.251152e-14
7.300,2.256496e-14
7.350,2.261774e-14
7.400,2.266987e-14
7.450,2.272137e-14
7.500,2.277224e-14
7.550,2.282250e-14
7.600,2.287215e-14
7.650,2.292121e-14
7.700,2.296968e-14
7.750,2.301758e-14
7.800,2.306491e-14
7.850,2.311169e-14
7.900,2.315792e-14
7.950,2.320361e-14
8.000,2.324877e-14
8.050,2.329341e-14
8.100,2.333753e-14
8.150,2.338115e-14
8.200,2.342428e-14
8.250,2.346691e-14
8.300,2.350907e-14
8.350,2.355074e-14
8.400,2.359196e-14
8.450,2.363271e-14
8.500,2.367301e-14
8.550,2.371286e-14
8.600,2.375228e-14
8.650,2.379126e-14
8.700,2.382982e-14
8.750,2.386796e-14
8.800,2.390569e-14
8.850,2.394301e-14
8.900,2.397993e-14
8.950,2.401645e-14
9.000,2.405259e-14
9.050,2.408834e-14
9.100,2.412372e-14
9.150,2.415872e-14
9.200,2.419336e-14
9.250,2.422763e-14
9.300,2.426155e-14
9.350,2.429512e-14
9.400,2.432834e-14
9.450,2.436123e-14
9.500,2.439377e-14
9.550,2.442598e-14
9.600,2.445787e-14
9.650,2.448943e-14
9.700,2.452068e-14
9.750,2.455161e-14
9.800,2.458224e-14
9.850,2.461256e-14
9.900,2.464258e-14
9.950,2.467230e-14
10.000,2.470173e-14
10.050,2.473087e-14
10.100,2.475973e-14
10.150,2.478830e-14
10.200,2.481660e-14
10.250,2.484463e-14
10.300,2.487238e-14
10.350,2.489987e-14
10.400,2.492710e-14
10.450,2.495407e-14
10.500,2.498078e-14
10.550,2.500724e-14
10.600,2.503345e-14
10.650,2.505942e-14
10.700,2.508514e-14
10.750,2.511062e-14
10.800,2.513587e-14
10.850,2.516088e-14
10.900,2.518566e-14
10.950,2.521022e-14
11.000,2.523455e-14
11.050,2.525866e-14
11.100,2.528255e-14
11.150,2.530622e-14
11.200,2.532968e-14
11.250,2.535293e-14
11.300,2.537597e-14
11.350,2.539880e-14
11.400,2.542143e-14
11.450,2.544386e-14
11.500,2.546609e-14
11.550,2.548813e-14
11.600,2.550997e-14
11.650,2.553162e-14
11.700,2.555308e-14
11.750,2.557436e-14
11.800,2.559545e-14
11.850,2.561636e-14
11.900,2.563708e-14
11.950,2.565763e-14
12.000,2.567801e-14
12.050,2.569821e-14
12.100,2.571824e-14
12.150,2.573810e-14
12.200,2.575779e-14
12.250,2.577732e-14
12.300,2.579668e-14
12.350,2.581588e-14
12.400,2.583492e-14
12.450,2.585380e-14
12.500,2.587252e-14
12.550,2.589109e-14
12.600,2.590951e-14
12.650,2.592778e-14
12.700,2.594589e-14
12.750,2.596386e-14
12.800,2.598169e-14
12.850,2.599936e-14
12.900,2.601690e-14
12.950,2.603429e-14
13.000,2.605155e-14
13.050,2.606866e-14
13.100,2.608564e-14
13.150,2.610248e-14
