# Kiz_I2 - Lafleur 2026 Table 13 (Eq.33 fit)
Te_eV,K_m3s
0.500,4.229008e-23
0.550,2.680567e-22
0.600,1.263583e-21
0.650,4.738401e-21
0.700,1.483441e-20
0.750,4.017275e-20
0.800,9.665116e-20
0.850,2.108557e-19
0.900,4.238370e-19
0.950,7.949419e-19
1.000,1.405392e-18
1.050,2.361344e-18
1.100,3.796231e-18
1.150,5.872279e-18
1.200,8.781142e-18
1.250,1.274370e-17
1.300,1.800905e-17
1.350,2.485287e-17
1.400,3.357513e-17
1.450,4.449747e-17
1.500,5.796021e-17
1.550,7.431913e-17
1.600,9.394226e-17
1.650,1.172065e-16
1.700,1.444945e-16
1.750,1.761915e-16
1.800,2.126823e-16
1.850,2.543487e-16
1.900,3.015671e-16
1.950,3.547057e-16
2.000,4.141231e-16
2.050,4.801662e-16
2.100,5.531687e-16
2.150,6.334498e-16
2.200,7.213131e-16
2.250,8.170458e-16
2.300,9.209179e-16
2.350,1.033182e-15
2.400,1.154072e-15
2.450,1.283805e-15
2.500,1.422579e-15
2.550,1.570573e-15
2.600,1.727950e-15
2.650,1.894853e-15
2.700,2.071409e-15
2.750,2.257728e-15
2.800,2.453903e-15
2.850,2.660012e-15
2.900,2.876115e-15
2.950,3.102259e-15
3.000,3.338477e-15
3.050,3.584788e-15
3.100,3.841195e-15
3.150,4.107694e-15
3.200,4.384264e-15
3.250,4.670876e-15
3.300,4.967489e-15
3.350,5.274053e-15
3.400,5.590507e-15
3.450,5.916784e-15
3.500,6.252806e-15
3.550,6.598488e-15
3.600,6.953740e-15
3.650,7.318463e-15
3.700,7.692553e-15
3.750,8.075900e-15
3.800,8.468391e-15
3.850,8.869905e-15
3.900,9.280319e-15
3.950,9.699506e-15
4.000,1.012734e-14
4.050,1.056367e-14
4.100,1.100839e-14
4.150,1.146133e-14
4.200,1.192237e-14
4.250,1.239136e-14
4.300,1.286815e-14
4.350,1.335261e-14
4.400,1.384459e-14
4.450,1.434393e-14
4.500,1.485050e-14
4.550,1.536415e-14
4.600,1.588473e-14
4.650,1.641208e-14
4.700,1.694608e-14
4.750,1.748656e-14
4.800,1.803339e-14
4.850,1.858641e-14
4.900,1.914549e-14
4.950,1.971049e-14
5.000,2.028125e-14
5.050,2.085764e-14
5.100,2.143952e-14
5.150,2.202675e-14
5.200,2.261920e-14
5.250,2.321673e-14
5.300,2.381920e-14
5.350,2.442649e-14
5.400,2.503846e-14
5.450,2.565498e-14
5.500,2.627594e-14
5.550,2.690119e-14
5.600,2.753062e-14
5.650,2.816411e-14
5.700,2.880154e-14
5.750,2.944279e-14
5.800,3.008773e-14
5.850,3.073627e-14
5.900,3.138828e-14
5.950,3.204366e-14
6.000,3.270230e-14
6.050,3.336408e-14
6.100,3.402891e-14
6.150,3.469668e-14
6.200,3.536729e-14
6.250,3.604065e-14
6.300,3.671664e-14
6.350,3.739519e-14
6.400,3.807619e-14
6.450,3.875955e-14
6.500,3.944518e-14
6.550,4.013299e-14
6.600,4.082290e-14
6.650,4.151482e-14
6.700,4.220867e-14
6.750,4.290436e-14
6.800,4.360182e-14
6.850,4.430097e-14
6.900,4.500173e-14
6.950,4.570402e-14
7.000,4.640777e-14
7.050,4.711291e-14
7.100,4.781937e-14
7.150,4.852708e-14
7.200,4.923597e-14
7.250,4.994598e-14
7.300,5.065704e-14
7.350,5.136908e-14
7.400,5.208206e-14
7.450,5.279589e-14
7.500,5.351054e-14
7.550,5.422593e-14
7.600,5.494201e-14
7.650,5.565873e-14
7.700,5.637604e-14
7.750,5.709387e-14
7.800,5.781218e-14
7.850,5.853092e-14
7.900,5.925004e-14
7.950,5.996949e-14
8.000,6.068922e-14
8.050,6.140919e-14
8.100,6.212935e-14
8.150,6.284966e-14
