# Kelm_I2 esteves_low
# Source: Sensitivity: 0.7x nominal (lower extrapolation bound)
Te_eV,K_m3s
0.500,2.977771e-14
0.550,9.054634e-14
0.600,1.331348e-13
0.650,1.467440e-13
0.700,1.460504e-13
0.750,1.419128e-13
0.800,1.388348e-13
0.850,1.381425e-13
0.900,1.399830e-13
0.950,1.441486e-13
1.000,1.503638e-13
1.050,1.583709e-13
1.100,1.679466e-13
1.150,1.788996e-13
1.200,1.910627e-13
1.250,2.042870e-13
1.300,2.184370e-13
1.350,2.333874e-13
1.400,2.490215e-13
1.450,2.652306e-13
1.500,2.819127e-13
1.550,2.989730e-13
1.600,3.163236e-13
1.650,3.338835e-13
1.700,3.515785e-13
1.750,3.693411e-13
1.800,3.871103e-13
1.850,4.048317e-13
1.900,4.224567e-13
1.950,4.399426e-13
2.000,4.572520e-13
2.050,4.743527e-13
2.100,4.912170e-13
2.150,5.078216e-13
2.200,5.241471e-13
2.250,5.401776e-13
2.300,5.559004e-13
2.350,5.713056e-13
2.400,5.863861e-13
2.450,6.011368e-13
2.500,6.155547e-13
2.550,6.296385e-13
2.600,6.433886e-13
2.650,6.568065e-13
2.700,6.698949e-13
2.750,6.826575e-13
2.800,6.950989e-13
2.850,7.072243e-13
2.900,7.190393e-13
2.950,7.305503e-13
3.000,7.417638e-13
3.050,7.526867e-13
3.100,7.633261e-13
3.150,7.736893e-13
3.200,7.837835e-13
3.250,7.936163e-13
3.300,8.031951e-13
3.350,8.125271e-13
3.400,8.216198e-13
3.450,8.304804e-13
3.500,8.391160e-13
3.550,8.475337e-13
3.600,8.557405e-13
3.650,8.637429e-13
3.700,8.715478e-13
3.750,8.791614e-13
3.800,8.865902e-13
3.850,8.938402e-13
3.900,9.009173e-13
3.950,9.078273e-13
4.000,9.145759e-13
4.050,9.211685e-13
4.100,9.276102e-13
4.150,9.339063e-13
4.200,9.400615e-13
4.250,9.460807e-13
4.300,9.519685e-13
4.350,9.577294e-13
4.400,9.633675e-13
4.450,9.688870e-13
4.500,9.742920e-13
4.550,9.795862e-13
4.600,9.847735e-13
4.650,9.898573e-13
4.700,9.948411e-13
4.750,9.997283e-13
4.800,1.004522e-12
4.850,1.009226e-12
4.900,1.013842e-12
4.950,1.018373e-12
5.000,1.022823e-12
5.050,1.027194e-12
5.100,1.031488e-12
5.150,1.035709e-12
5.200,1.039857e-12
5.250,1.043937e-12
5.300,1.047949e-12
5.350,1.051896e-12
5.400,1.055781e-12
5.450,1.059604e-12
5.500,1.063369e-12
5.550,1.067076e-12
5.600,1.070728e-12
5.650,1.074326e-12
5.700,1.077872e-12
5.750,1.081368e-12
5.800,1.084815e-12
5.850,1.088214e-12
5.900,1.091567e-12
5.950,1.094876e-12
6.000,1.098141e-12
6.050,1.101365e-12
6.100,1.104547e-12
6.150,1.107690e-12
6.200,1.110795e-12
6.250,1.113862e-12
6.300,1.116892e-12
6.350,1.119888e-12
6.400,1.122850e-12
6.450,1.125778e-12
6.500,1.128673e-12
6.550,1.131538e-12
6.600,1.134372e-12
6.650,1.137176e-12
6.700,1.139951e-12
6.750,1.142698e-12
6.800,1.145418e-12
6.850,1.148111e-12
6.900,1.150778e-12
6.950,1.153420e-12
7.000,1.156037e-12
7.050,1.158631e-12
7.100,1.161201e-12
7.150,1.163748e-12
7.200,1.166273e-12
7.250,1.168777e-12
7.300,1.171260e-12
7.350,1.173722e-12
7.400,1.176165e-12
7.450,1.178588e-12
7.500,1.180992e-12
7.550,1.183377e-12
7.600,1.185744e-12
7.650,1.188094e-12
7.700,1.190426e-12
7.750,1.192742e-12
7.800,1.195041e-12
7.850,1.197325e-12
7.900,1.199592e-12
7.950,1.201845e-12
8.000,1.204082e-12
8.050,1.206305e-12
8.100,1.208514e-12
8.150,1.210708e-12
8.200,1.212889e-12
8.250,1.215057e-12
8.300,1.217212e-12
8.350,1.219354e-12
8.400,1.221483e-12
8.450,1.223601e-12
8.500,1.225706e-12
8.550,1.227800e-12
8.600,1.229882e-12
8.650,1.231953e-12
8.700,1.234014e-12
8.750,1.236063e-12
8.800,1.238102e-12
8.850,1.240131e-12
8.900,1.242149e-12
8.950,1.244158e-12
9.000,1.246157e-12
9.050,1.248147e-12
9.100,1.250127e-12
9.150,1.252098e-12
9.200,1.254060e-12
9.250,1.256014e-12
9.300,1.257958e-12
9.350,1.259895e-12
9.400,1.261823e-12
9.450,1.263743e-12
9.500,1.265655e-12
9.550,1.267559e-12
9.600,1.269455e-12
9.650,1.271344e-12
9.700,1.273225e-12
9.750,1.275099e-12
9.800,1.276966e-12
9.850,1.278826e-12
9.900,1.280679e-12
9.950,1.282526e-12
10.000,1.284365e-12
10.050,1.286198e-12
10.100,1.288025e-12
10.150,1.289845e-12
10.200,1.291659e-12
10.250,1.293467e-12
10.300,1.295269e-12
10.350,1.297065e-12
10.400,1.298855e-12
10.450,1.300639e-12
10.500,1.302417e-12
10.550,1.304190e-12
10.600,1.305958e-12
10.650,1.307720e-12
10.700,1.309477e-12
10.750,1.311228e-12
10.800,1.312975e-12
10.850,1.314716e-12
10.900,1.316453e-12
10.950,1.318184e-12
11.000,1.319910e-12
11.050,1.321632e-12
11.100,1.323349e-12
11.150,1.325062e-12
11.200,1.326769e-12
11.250,1.328473e-12
11.300,1.330171e-12
11.350,1.331866e-12
11.400,1.333556e-12
11.450,1.335241e-12
11.500,1.336923e-12
11.550,1.338600e-12
11.600,1.340273e-12
11.650,1.341942e-12
11.700,1.343608e-12
11.750,1.345269e-12
11.800,1.346926e-12
11.850,1.348579e-12
11.900,1.350229e-12
11.950,1.351875e-12
12.000,1.353517e-12
12.050,1.355155e-12
12.100,1.356790e-12
12.150,1.358421e-12
12.200,1.360049e-12
12.250,1.361673e-12
12.300,1.363293e-12
12.350,1.364911e-12
12.400,1.366524e-12
12.450,1.368135e-12
12.500,1.369742e-12
12.550,1.371346e-12
12.600,1.372947e-12
12.650,1.374544e-12
12.700,1.376139e-12
12.750,1.377730e-12
12.800,1.379318e-12
12.850,1.380903e-12
12.900,1.382485e-12
12.950,1.384064e-12
13.000,1.385640e-12
13.050,1.387213e-12
13.100,1.388783e-12
13.150,1.390350e-12
13.200,1.391915e-12
13.250,1.393476e-12
13.300,1.395035e-12
13.350,1.396591e-12
13.400,1.398145e-12
