# Anregung Kr(3D4), Schwelle 12.1785 eV, biagi
Te_eV,K_m3s
0.500,1.512264e-26
0.550,1.361168e-25
0.600,8.514149e-25
0.650,4.027803e-24
0.700,1.530649e-23
0.750,4.883223e-23
0.800,1.351672e-22
0.850,3.328721e-22
0.900,7.436700e-22
0.950,1.530510e-21
1.000,2.937351e-21
1.050,5.309204e-21
1.100,9.110894e-21
1.150,1.494316e-20
1.200,2.355492e-20
1.250,3.585105e-20
1.300,5.289512e-20
1.350,7.590717e-20
1.400,1.062568e-19
1.450,1.454519e-19
1.500,1.951240e-19
1.550,2.570106e-19
1.600,3.329354e-19
1.650,4.247874e-19
1.700,5.344993e-19
1.750,6.640257e-19
1.800,8.153225e-19
1.850,9.903263e-19
1.900,1.190936e-18
1.950,1.418997e-18
2.000,1.676282e-18
2.050,1.964482e-18
2.100,2.285194e-18
2.150,2.639908e-18
2.200,3.030004e-18
2.250,3.456743e-18
2.300,3.921262e-18
2.350,4.424576e-18
2.400,4.967571e-18
2.450,5.551007e-18
2.500,6.175518e-18
2.550,6.841616e-18
2.600,7.549692e-18
2.650,8.300017e-18
2.700,9.092753e-18
2.750,9.927951e-18
2.800,1.080556e-17
2.850,1.172543e-17
2.900,1.268732e-17
2.950,1.369090e-17
3.000,1.473577e-17
3.050,1.582143e-17
3.100,1.694733e-17
3.150,1.811285e-17
3.200,1.931733e-17
3.250,2.056001e-17
3.300,2.184014e-17
3.350,2.315688e-17
3.400,2.450937e-17
3.450,2.589673e-17
3.500,2.731803e-17
3.550,2.877232e-17
3.600,3.025863e-17
3.650,3.177598e-17
3.700,3.332336e-17
3.750,3.489976e-17
3.800,3.650417e-17
3.850,3.813556e-17
3.900,3.979290e-17
3.950,4.147517e-17
4.000,4.318133e-17
4.050,4.491038e-17
4.100,4.666130e-17
4.150,4.843307e-17
4.200,5.022472e-17
4.250,5.203524e-17
4.300,5.386366e-17
4.350,5.570904e-17
4.400,5.757041e-17
4.450,5.944685e-17
4.500,6.133745e-17
4.550,6.324131e-17
4.600,6.515754e-17
4.650,6.708530e-17
4.700,6.902372e-17
4.750,7.097199e-17
4.800,7.292930e-17
4.850,7.489486e-17
4.900,7.686791e-17
4.950,7.884769e-17
5.000,8.083348e-17
5.050,8.282456e-17
5.100,8.482026e-17
5.150,8.681989e-17
5.200,8.882280e-17
5.250,9.082837e-17
5.300,9.283597e-17
5.350,9.484502e-17
5.400,9.685493e-17
5.450,9.886516e-17
5.500,1.008751e-16
5.550,1.028844e-16
5.600,1.048924e-16
5.650,1.068986e-16
5.700,1.089026e-16
5.750,1.109040e-16
5.800,1.129022e-16
5.850,1.148969e-16
5.900,1.168877e-16
5.950,1.188741e-16
6.000,1.208559e-16
6.050,1.228325e-16
6.100,1.248038e-16
6.150,1.267693e-16
6.200,1.287288e-16
6.250,1.306818e-16
6.300,1.326282e-16
6.350,1.345677e-16
6.400,1.364999e-16
6.450,1.384246e-16
6.500,1.403417e-16
6.550,1.422507e-16
6.600,1.441516e-16
6.650,1.460441e-16
6.700,1.479280e-16
6.750,1.498031e-16
6.800,1.516692e-16
6.850,1.535261e-16
6.900,1.553738e-16
6.950,1.572120e-16
7.000,1.590405e-16
7.050,1.608593e-16
7.100,1.626683e-16
7.150,1.644672e-16
7.200,1.662559e-16
7.250,1.680345e-16
7.300,1.698027e-16
7.350,1.715604e-16
7.400,1.733077e-16
7.450,1.750443e-16
7.500,1.767703e-16
7.550,1.784855e-16
7.600,1.801899e-16
7.650,1.818835e-16
7.700,1.835661e-16
7.750,1.852377e-16
7.800,1.868984e-16
7.850,1.885479e-16
7.900,1.901864e-16
7.950,1.918138e-16
8.000,1.934300e-16
8.050,1.950351e-16
8.100,1.966290e-16
8.150,1.982117e-16
8.200,1.997833e-16
8.250,2.013436e-16
8.300,2.028927e-16
8.350,2.044306e-16
8.400,2.059573e-16
8.450,2.074728e-16
8.500,2.089771e-16
8.550,2.104703e-16
8.600,2.119523e-16
8.650,2.134232e-16
8.700,2.148829e-16
8.750,2.163316e-16
8.800,2.177692e-16
8.850,2.191958e-16
8.900,2.206113e-16
8.950,2.220159e-16
9.000,2.234095e-16
9.050,2.247923e-16
9.100,2.261641e-16
