# Anregung Kr(3P8), Schwelle 12.7854 eV, biagi
Te_eV,K_m3s
0.500,4.102045e-27
0.550,4.256702e-26
0.600,2.998225e-25
0.650,1.567316e-24
0.700,6.481001e-24
0.750,2.221380e-23
0.800,6.536182e-23
0.850,1.695859e-22
0.900,3.961666e-22
0.950,8.471138e-22
1.000,1.679990e-21
1.050,3.123274e-21
1.100,5.490959e-21
1.150,9.195167e-21
1.200,1.475577e-20
1.250,2.280631e-20
1.300,3.409597e-20
1.350,4.948739e-20
1.400,6.995085e-20
1.450,9.655495e-20
1.500,1.304547e-19
1.550,1.728776e-19
1.600,2.251077e-19
1.650,2.884699e-19
1.700,3.643130e-19
1.750,4.539937e-19
1.800,5.588610e-19
1.850,6.802416e-19
1.900,8.194266e-19
1.950,9.776597e-19
2.000,1.156127e-18
2.050,1.355947e-18
2.100,1.578164e-18
2.150,1.823745e-18
2.200,2.093568e-18
2.250,2.388428e-18
2.300,2.709028e-18
2.350,3.055980e-18
2.400,3.429807e-18
2.450,3.830943e-18
2.500,4.259733e-18
2.550,4.716437e-18
2.600,5.201234e-18
2.650,5.714222e-18
2.700,6.255423e-18
2.750,6.824790e-18
2.800,7.422204e-18
2.850,8.047486e-18
2.900,8.700396e-18
2.950,9.380638e-18
3.000,1.008787e-17
3.050,1.082169e-17
3.100,1.158167e-17
3.150,1.236734e-17
3.200,1.317817e-17
3.250,1.401365e-17
3.300,1.487319e-17
3.350,1.575620e-17
3.400,1.666207e-17
3.450,1.759016e-17
3.500,1.853984e-17
3.550,1.951044e-17
3.600,2.050128e-17
3.650,2.151170e-17
3.700,2.254101e-17
3.750,2.358851e-17
3.800,2.465354e-17
3.850,2.573539e-17
3.900,2.683337e-17
3.950,2.794681e-17
4.000,2.907503e-17
4.050,3.021735e-17
4.100,3.137311e-17
4.150,3.254164e-17
4.200,3.372230e-17
4.250,3.491445e-17
4.300,3.611745e-17
4.350,3.733068e-17
4.400,3.855354e-17
4.450,3.978542e-17
4.500,4.102575e-17
4.550,4.227394e-17
4.600,4.352943e-17
4.650,4.479169e-17
4.700,4.606017e-17
4.750,4.733435e-17
4.800,4.861373e-17
