# Anregung Kr(3S2), Schwelle 13.0365 eV, biagi
Te_eV,K_m3s
0.500,2.973301e-28
0.550,3.340478e-27
0.600,2.517607e-26
0.650,1.395278e-25
0.700,6.072021e-25
0.750,2.177329e-24
0.800,6.670093e-24
0.850,1.794607e-23
0.900,4.332967e-23
0.950,9.549175e-23
1.000,1.947256e-22
1.050,3.714893e-22
1.100,6.690466e-22
1.150,1.146026e-21
1.200,1.878727e-21
1.250,2.963026e-21
1.300,4.515784e-21
1.350,6.675697e-21
1.400,9.603555e-21
1.450,1.348194e-20
1.500,1.851442e-20
1.550,2.492421e-20
1.600,3.295260e-20
1.650,4.285687e-20
1.700,5.490820e-20
1.750,6.938928e-20
1.800,8.659188e-20
1.850,1.068145e-19
1.900,1.303599e-19
1.950,1.575330e-19
2.000,1.886383e-19
2.050,2.239783e-19
2.100,2.638513e-19
2.150,3.085501e-19
2.200,3.583598e-19
2.250,4.135574e-19
2.300,4.744097e-19
2.350,5.411731e-19
2.400,6.140923e-19
2.450,6.933997e-19
2.500,7.793153e-19
2.550,8.720458e-19
2.600,9.717847e-19
2.650,1.078712e-18
2.700,1.192994e-18
2.750,1.314784e-18
2.800,1.444223e-18
2.850,1.581435e-18
2.900,1.726537e-18
2.950,1.879628e-18
3.000,2.040798e-18
3.050,2.210125e-18
3.100,2.387675e-18
3.150,2.573502e-18
3.200,2.767652e-18
3.250,2.970160e-18
3.300,3.181049e-18
3.350,3.400337e-18
3.400,3.628030e-18
3.450,3.864128e-18
3.500,4.108623e-18
3.550,4.361498e-18
3.600,4.622731e-18
3.650,4.892292e-18
3.700,5.170148e-18
3.750,5.456256e-18
3.800,5.750571e-18
3.850,6.053043e-18
3.900,6.363615e-18
3.950,6.682228e-18
4.000,7.008819e-18
4.050,7.343320e-18
4.100,7.685661e-18
4.150,8.035769e-18
4.200,8.393566e-18
4.250,8.758974e-18
4.300,9.131911e-18
4.350,9.512294e-18
4.400,9.900038e-18
4.450,1.029505e-17
4.500,1.069726e-17
4.550,1.110655e-17
4.600,1.152285e-17
4.650,1.194605e-17
4.700,1.237607e-17
4.750,1.281281e-17
4.800,1.325618e-17
4.850,1.370608e-17
4.900,1.416240e-17
4.950,1.462506e-17
5.000,1.509396e-17
5.050,1.556900e-17
5.100,1.605007e-17
5.150,1.653709e-17
5.200,1.702995e-17
5.250,1.752855e-17
5.300,1.803279e-17
5.350,1.854259e-17
5.400,1.905782e-17
5.450,1.957841e-17
5.500,2.010425e-17
5.550,2.063524e-17
5.600,2.117129e-17
5.650,2.171229e-17
5.700,2.225815e-17
5.750,2.280878e-17
5.800,2.336407e-17
5.850,2.392393e-17
5.900,2.448827e-17
5.950,2.505699e-17
6.000,2.562999e-17
6.050,2.620719e-17
6.100,2.678849e-17
6.150,2.737379e-17
6.200,2.796301e-17
6.250,2.855605e-17
6.300,2.915283e-17
6.350,2.975325e-17
6.400,3.035722e-17
6.450,3.096467e-17
6.500,3.157549e-17
6.550,3.218960e-17
6.600,3.280692e-17
6.650,3.342736e-17
6.700,3.405083e-17
6.750,3.467726e-17
6.800,3.530656e-17
6.850,3.593864e-17
6.900,3.657344e-17
6.950,3.721086e-17
7.000,3.785083e-17
7.050,3.849327e-17
7.100,3.913811e-17
7.150,3.978526e-17
7.200,4.043465e-17
7.250,4.108620e-17
7.300,4.173985e-17
7.350,4.239552e-17
7.400,4.305314e-17
7.450,4.371264e-17
7.500,4.437394e-17
7.550,4.503699e-17
7.600,4.570170e-17
7.650,4.636802e-17
7.700,4.703588e-17
7.750,4.770521e-17
7.800,4.837595e-17
7.850,4.904803e-17
7.900,4.972140e-17
7.950,5.039600e-17
8.000,5.107176e-17
8.050,5.174862e-17
8.100,5.242652e-17
8.150,5.310542e-17
8.200,5.378524e-17
8.250,5.446595e-17
8.300,5.514747e-17
8.350,5.582977e-17
8.400,5.651278e-17
8.450,5.719645e-17
8.500,5.788074e-17
8.550,5.856559e-17
8.600,5.925096e-17
8.650,5.993679e-17
8.700,6.062304e-17
8.750,6.130967e-17
8.800,6.199663e-17
8.850,6.268387e-17
8.900,6.337135e-17
8.950,6.405902e-17
9.000,6.474686e-17
9.050,6.543480e-17
9.100,6.612282e-17
9.150,6.681088e-17
9.200,6.749893e-17
9.250,6.818694e-17
9.300,6.887487e-17
9.350,6.956269e-17
9.400,7.025036e-17
9.450,7.093784e-17
9.500,7.162510e-17
9.550,7.231211e-17
9.600,7.299884e-17
9.650,7.368525e-17
9.700,7.437131e-17
9.750,7.505699e-17
9.800,7.574227e-17
9.850,7.642711e-17
9.900,7.711149e-17
9.950,7.779538e-17
10.000,7.847874e-17
10.050,7.916156e-17
10.100,7.984381e-17
10.150,8.052547e-17
10.200,8.120650e-17
10.250,8.188689e-17
10.300,8.256662e-17
10.350,8.324565e-17
10.400,8.392398e-17
10.450,8.460156e-17
10.500,8.527840e-17
10.550,8.595446e-17
10.600,8.662973e-17
10.650,8.730418e-17
10.700,8.797781e-17
10.750,8.865058e-17
10.800,8.932248e-17
10.850,8.999350e-17
10.900,9.066362e-17
10.950,9.133282e-17
11.000,9.200108e-17
11.050,9.266840e-17
11.100,9.333475e-17
11.150,9.400012e-17
11.200,9.466450e-17
11.250,9.532788e-17
11.300,9.599023e-17
11.350,9.665155e-17
11.400,9.731183e-17
11.450,9.797105e-17
11.500,9.862920e-17
11.550,9.928628e-17
11.600,9.994226e-17
11.650,1.005971e-16
11.700,1.012509e-16
11.750,1.019036e-16
11.800,1.025551e-16
11.850,1.032055e-16
11.900,1.038547e-16
11.950,1.045028e-16
12.000,1.051497e-16
12.050,1.057954e-16
12.100,1.064400e-16
12.150,1.070834e-16
12.200,1.077256e-16
12.250,1.083666e-16
12.300,1.090063e-16
12.350,1.096449e-16
12.400,1.102822e-16
12.450,1.109183e-16
12.500,1.115532e-16
12.550,1.121869e-16
12.600,1.128193e-16
12.650,1.134505e-16
12.700,1.140804e-16
12.750,1.147090e-16
12.800,1.153365e-16
12.850,1.159626e-16
12.900,1.165875e-16
12.950,1.172111e-16
13.000,1.178334e-16
13.050,1.184545e-16
13.100,1.190743e-16
13.150,1.196928e-16
13.200,1.203100e-16
13.250,1.209260e-16
13.300,1.215406e-16
13.350,1.221540e-16
13.400,1.227661e-16
13.450,1.233768e-16
13.500,1.239863e-16
13.550,1.245945e-16
13.600,1.252014e-16
13.650,1.258070e-16
13.700,1.264113e-16
13.750,1.270144e-16
13.800,1.276161e-16
13.850,1.282165e-16
13.900,1.288156e-16
13.950,1.294134e-16
14.000,1.300099e-16
14.050,1.306051e-16
14.100,1.311990e-16
14.150,1.317916e-16
14.200,1.323829e-16
14.250,1.329729e-16
14.300,1.335616e-16
14.350,1.341490e-16
14.400,1.347352e-16
14.450,1.353200e-16
14.500,1.359035e-16
14.550,1.364857e-16
14.600,1.370666e-16
14.650,1.376463e-16
14.700,1.382246e-16
14.750,1.388017e-16
14.800,1.393774e-16
14.850,1.399519e-16
14.900,1.405251e-16
14.950,1.410970e-16
15.000,1.416676e-16
15.050,1.422370e-16
15.100,1.428050e-16
15.150,1.433718e-16
15.200,1.439373e-16
15.250,1.445016e-16
15.300,1.450645e-16
15.350,1.456262e-16
15.400,1.461867e-16
15.450,1.467458e-16
15.500,1.473037e-16
15.550,1.478604e-16
15.600,1.484157e-16
15.650,1.489699e-16
15.700,1.495227e-16
15.750,1.500744e-16
15.800,1.506247e-16
15.850,1.511738e-16
15.900,1.517217e-16
15.950,1.522684e-16
16.000,1.528138e-16
16.050,1.533579e-16
16.100,1.539008e-16
16.150,1.544425e-16
16.200,1.549830e-16
16.250,1.555222e-16
16.300,1.560603e-16
16.350,1.565971e-16
16.400,1.571326e-16
16.450,1.576670e-16
16.500,1.582002e-16
16.550,1.587321e-16
16.600,1.592629e-16
16.650,1.597924e-16
16.700,1.603207e-16
16.750,1.608479e-16
16.800,1.613738e-16
16.850,1.618986e-16
16.900,1.624221e-16
16.950,1.629445e-16
17.000,1.634657e-16
17.050,1.639857e-16
17.100,1.645046e-16
17.150,1.650223e-16
