# Anregung Kr(exc_1), Schwelle 10.033 eV, siglo
Te_eV,K_m3s
0.500,8.863548e-25
0.550,6.417902e-24
0.600,3.350036e-23
0.650,1.359818e-22
0.700,4.530567e-22
0.750,1.288990e-21
0.800,3.225846e-21
0.850,7.263876e-21
0.900,1.497838e-20
0.950,2.867877e-20
1.000,5.155545e-20
1.050,8.780229e-20
1.100,1.427061e-19
1.150,2.226984e-19
1.200,3.353685e-19
1.250,4.894396e-19
1.300,6.947117e-19
1.350,9.619773e-19
1.400,1.302914e-18
1.450,1.729960e-18
1.500,2.256183e-18
1.550,2.895137e-18
1.600,3.660722e-18
1.650,4.567043e-18
1.700,5.628277e-18
1.750,6.858545e-18
1.800,8.271791e-18
1.850,9.881679e-18
1.900,1.170149e-17
1.950,1.374404e-17
2.000,1.602161e-17
2.050,1.854586e-17
2.100,2.132782e-17
2.150,2.437779e-17
2.200,2.770538e-17
2.250,3.131941e-17
2.300,3.522796e-17
2.350,3.943831e-17
2.400,4.395699e-17
2.450,4.878974e-17
2.500,5.394155e-17
2.550,5.941667e-17
2.600,6.521860e-17
2.650,7.135017e-17
2.700,7.781351e-17
2.750,8.461009e-17
2.800,9.174079e-17
2.850,9.920586e-17
2.900,1.070050e-16
2.950,1.151374e-16
3.000,1.236017e-16
3.050,1.323961e-16
3.100,1.415183e-16
3.150,1.509658e-16
3.200,1.607354e-16
3.250,1.708239e-16
3.300,1.812274e-16
3.350,1.919419e-16
3.400,2.029633e-16
3.450,2.142869e-16
3.500,2.259081e-16
3.550,2.378220e-16
3.600,2.500233e-16
3.650,2.625068e-16
3.700,2.752671e-16
3.750,2.882988e-16
3.800,3.015962e-16
3.850,3.151535e-16
3.900,3.289650e-16
3.950,3.430249e-16
4.000,3.573273e-16
4.050,3.718663e-16
4.100,3.866361e-16
4.150,4.016306e-16
4.200,4.168439e-16
4.250,4.322702e-16
4.300,4.479036e-16
4.350,4.637382e-16
4.400,4.797682e-16
4.450,4.959879e-16
4.500,5.123914e-16
4.550,5.289732e-16
4.600,5.457276e-16
4.650,5.626491e-16
4.700,5.797321e-16
4.750,5.969713e-16
4.800,6.143614e-16
4.850,6.318970e-16
4.900,6.495730e-16
4.950,6.673842e-16
5.000,6.853257e-16
5.050,7.033926e-16
5.100,7.215798e-16
5.150,7.398828e-16
5.200,7.582968e-16
5.250,7.768171e-16
5.300,7.954394e-16
5.350,8.141591e-16
5.400,8.329720e-16
5.450,8.518738e-16
5.500,8.708603e-16
5.550,8.899274e-16
5.600,9.090713e-16
5.650,9.282879e-16
5.700,9.475734e-16
5.750,9.669242e-16
5.800,9.863366e-16
5.850,1.005807e-15
5.900,1.025332e-15
5.950,1.044908e-15
6.000,1.064532e-15
6.050,1.084200e-15
6.100,1.103910e-15
6.150,1.123657e-15
6.200,1.143441e-15
6.250,1.163256e-15
6.300,1.183101e-15
6.350,1.202972e-15
6.400,1.222868e-15
6.450,1.242784e-15
6.500,1.262719e-15
6.550,1.282670e-15
6.600,1.302635e-15
6.650,1.322611e-15
6.700,1.342595e-15
6.750,1.362586e-15
6.800,1.382582e-15
6.850,1.402579e-15
6.900,1.422577e-15
6.950,1.442572e-15
7.000,1.462564e-15
7.050,1.482549e-15
7.100,1.502527e-15
7.150,1.522494e-15
7.200,1.542450e-15
7.250,1.562393e-15
7.300,1.582321e-15
7.350,1.602232e-15
7.400,1.622125e-15
7.450,1.641997e-15
7.500,1.661849e-15
7.550,1.681677e-15
7.600,1.701481e-15
7.650,1.721260e-15
7.700,1.741011e-15
7.750,1.760734e-15
7.800,1.780427e-15
7.850,1.800089e-15
7.900,1.819718e-15
7.950,1.839315e-15
8.000,1.858877e-15
8.050,1.878403e-15
8.100,1.897892e-15
8.150,1.917344e-15
8.200,1.936756e-15
8.250,1.956129e-15
8.300,1.975461e-15
8.350,1.994751e-15
8.400,2.013999e-15
8.450,2.033203e-15
8.500,2.052363e-15
8.550,2.071477e-15
8.600,2.090545e-15
8.650,2.109567e-15
8.700,2.128541e-15
8.750,2.147466e-15
8.800,2.166343e-15
8.850,2.185170e-15
8.900,2.203946e-15
8.950,2.222671e-15
9.000,2.241345e-15
9.050,2.259966e-15
9.100,2.278534e-15
9.150,2.297049e-15
9.200,2.315510e-15
9.250,2.333916e-15
9.300,2.352268e-15
9.350,2.370563e-15
9.400,2.388803e-15
9.450,2.406986e-15
9.500,2.425112e-15
9.550,2.443180e-15
9.600,2.461191e-15
9.650,2.479143e-15
9.700,2.497037e-15
9.750,2.514872e-15
9.800,2.532647e-15
9.850,2.550363e-15
9.900,2.568018e-15
9.950,2.585613e-15
10.000,2.603148e-15
10.050,2.620621e-15
10.100,2.638033e-15
10.150,2.655383e-15
10.200,2.672671e-15
10.250,2.689898e-15
10.300,2.707062e-15
10.350,2.724163e-15
10.400,2.741201e-15
10.450,2.758176e-15
10.500,2.775088e-15
10.550,2.791937e-15
10.600,2.808721e-15
10.650,2.825442e-15
10.700,2.842099e-15
10.750,2.858692e-15
10.800,2.875220e-15
10.850,2.891684e-15
10.900,2.908083e-15
10.950,2.924418e-15
11.000,2.940687e-15
11.050,2.956892e-15
11.100,2.973031e-15
11.150,2.989105e-15
11.200,3.005114e-15
11.250,3.021058e-15
11.300,3.036936e-15
11.350,3.052748e-15
11.400,3.068495e-15
11.450,3.084176e-15
11.500,3.099792e-15
11.550,3.115341e-15
11.600,3.130825e-15
11.650,3.146243e-15
11.700,3.161595e-15
11.750,3.176881e-15
11.800,3.192101e-15
11.850,3.207255e-15
11.900,3.222343e-15
11.950,3.237365e-15
12.000,3.252321e-15
12.050,3.267211e-15
12.100,3.282035e-15
12.150,3.296793e-15
12.200,3.311485e-15
12.250,3.326111e-15
12.300,3.340671e-15
12.350,3.355165e-15
12.400,3.369593e-15
12.450,3.383955e-15
12.500,3.398252e-15
12.550,3.412483e-15
12.600,3.426648e-15
12.650,3.440747e-15
12.700,3.454781e-15
12.750,3.468749e-15
12.800,3.482652e-15
12.850,3.496489e-15
12.900,3.510261e-15
12.950,3.523967e-15
13.000,3.537609e-15
13.050,3.551185e-15
13.100,3.564696e-15
13.150,3.578142e-15
13.200,3.591523e-15
13.250,3.604839e-15
13.300,3.618091e-15
13.350,3.631278e-15
13.400,3.644400e-15
13.450,3.657458e-15
13.500,3.670451e-15
13.550,3.683380e-15
13.600,3.696245e-15
13.650,3.709046e-15
13.700,3.721783e-15
13.750,3.734456e-15
13.800,3.747066e-15
13.850,3.759611e-15
13.900,3.772094e-15
13.950,3.784513e-15
14.000,3.796868e-15
14.050,3.809161e-15
14.100,3.821390e-15
14.150,3.833557e-15
14.200,3.845660e-15
14.250,3.857702e-15
14.300,3.869680e-15
14.350,3.881597e-15
14.400,3.893451e-15
14.450,3.905243e-15
14.500,3.916973e-15
14.550,3.928641e-15
14.600,3.940247e-15
14.650,3.951792e-15
14.700,3.963276e-15
14.750,3.974698e-15
14.800,3.986059e-15
14.850,3.997359e-15
14.900,4.008598e-15
14.950,4.019777e-15
15.000,4.030895e-15
15.050,4.041953e-15
15.100,4.052951e-15
15.150,4.063888e-15
15.200,4.074766e-15
15.250,4.085584e-15
15.300,4.096342e-15
15.350,4.107041e-15
15.400,4.117680e-15
