# Anregung Xe(1S4), Schwelle 8.436 eV, Biagi
Te_eV,K_m3s
0.500,2.376686e-22
0.550,1.115278e-21
0.600,4.053490e-21
0.650,1.210488e-20
0.700,3.098033e-20
0.750,7.008441e-20
0.800,1.434231e-19
0.850,2.702465e-19
0.900,4.753495e-19
0.950,7.890182e-19
1.000,1.246656e-18
1.050,1.888155e-18
1.100,2.757091e-18
1.150,3.899818e-18
1.200,5.364527e-18
1.250,7.200326e-18
1.300,9.456377e-18
1.350,1.218113e-17
1.400,1.542163e-17
1.450,1.922299e-17
1.500,2.362790e-17
1.550,2.867631e-17
1.600,3.440513e-17
1.650,4.084812e-17
1.700,4.803573e-17
1.750,5.599515e-17
1.800,6.475025e-17
1.850,7.432171e-17
1.900,8.472713e-17
1.950,9.598110e-17
2.000,1.080954e-16
2.050,1.210792e-16
2.100,1.349392e-16
2.150,1.496797e-16
2.200,1.653030e-16
2.250,1.818095e-16
2.300,1.991978e-16
2.350,2.174647e-16
2.400,2.366060e-16
2.450,2.566159e-16
2.500,2.774875e-16
2.550,2.992131e-16
2.600,3.217838e-16
2.650,3.451901e-16
2.700,3.694219e-16
2.750,3.944683e-16
2.800,4.203181e-16
2.850,4.469596e-16
2.900,4.743805e-16
2.950,5.025686e-16
3.000,5.315110e-16
3.050,5.611949e-16
3.100,5.916071e-16
3.150,6.227343e-16
3.200,6.545631e-16
3.250,6.870799e-16
3.300,7.202711e-16
3.350,7.541230e-16
3.400,7.886218e-16
3.450,8.237536e-16
3.500,8.595046e-16
3.550,8.958608e-16
3.600,9.328084e-16
3.650,9.703332e-16
3.700,1.008421e-15
3.750,1.047059e-15
3.800,1.086232e-15
3.850,1.125927e-15
3.900,1.166129e-15
3.950,1.206824e-15
4.000,1.247999e-15
4.050,1.289640e-15
4.100,1.331733e-15
4.150,1.374264e-15
4.200,1.417219e-15
4.250,1.460585e-15
4.300,1.504348e-15
4.350,1.548494e-15
4.400,1.593010e-15
4.450,1.637882e-15
4.500,1.683097e-15
4.550,1.728643e-15
4.600,1.774505e-15
4.650,1.820671e-15
4.700,1.867127e-15
4.750,1.913862e-15
4.800,1.960862e-15
4.850,2.008115e-15
4.900,2.055608e-15
4.950,2.103330e-15
5.000,2.151268e-15
5.050,2.199410e-15
5.100,2.247745e-15
5.150,2.296261e-15
5.200,2.344946e-15
5.250,2.393790e-15
5.300,2.442782e-15
5.350,2.491910e-15
5.400,2.541165e-15
5.450,2.590535e-15
5.500,2.640010e-15
5.550,2.689581e-15
5.600,2.739238e-15
5.650,2.788970e-15
5.700,2.838769e-15
5.750,2.888626e-15
5.800,2.938530e-15
5.850,2.988475e-15
5.900,3.038450e-15
5.950,3.088448e-15
6.000,3.138461e-15
6.050,3.188480e-15
6.100,3.238499e-15
6.150,3.288509e-15
6.200,3.338503e-15
6.250,3.388474e-15
6.300,3.438415e-15
6.350,3.488320e-15
6.400,3.538181e-15
6.450,3.587994e-15
6.500,3.637751e-15
6.550,3.687447e-15
6.600,3.737076e-15
6.650,3.786633e-15
6.700,3.836112e-15
6.750,3.885509e-15
6.800,3.934817e-15
6.850,3.984033e-15
6.900,4.033152e-15
6.950,4.082170e-15
7.000,4.131081e-15
7.050,4.179883e-15
7.100,4.228571e-15
7.150,4.277142e-15
7.200,4.325592e-15
7.250,4.373917e-15
7.300,4.422114e-15
7.350,4.470180e-15
7.400,4.518113e-15
7.450,4.565908e-15
7.500,4.613564e-15
7.550,4.661078e-15
7.600,4.708448e-15
7.650,4.755670e-15
7.700,4.802743e-15
7.750,4.849665e-15
7.800,4.896434e-15
7.850,4.943048e-15
7.900,4.989505e-15
7.950,5.035804e-15
8.000,5.081942e-15
8.050,5.127919e-15
8.100,5.173734e-15
8.150,5.219384e-15
8.200,5.264869e-15
8.250,5.310188e-15
8.300,5.355340e-15
8.350,5.400324e-15
8.400,5.445139e-15
8.450,5.489784e-15
8.500,5.534259e-15
8.550,5.578563e-15
8.600,5.622696e-15
8.650,5.666657e-15
8.700,5.710446e-15
8.750,5.754062e-15
8.800,5.797505e-15
8.850,5.840776e-15
8.900,5.883873e-15
8.950,5.926797e-15
9.000,5.969548e-15
9.050,6.012126e-15
9.100,6.054530e-15
9.150,6.096762e-15
9.200,6.138820e-15
9.250,6.180706e-15
9.300,6.222420e-15
9.350,6.263961e-15
9.400,6.305331e-15
9.450,6.346529e-15
9.500,6.387556e-15
9.550,6.428412e-15
9.600,6.469098e-15
9.650,6.509615e-15
9.700,6.549962e-15
9.750,6.590141e-15
9.800,6.630151e-15
9.850,6.669994e-15
9.900,6.709670e-15
9.950,6.749179e-15
10.000,6.788523e-15
10.050,6.827703e-15
10.100,6.866717e-15
10.150,6.905569e-15
10.200,6.944257e-15
10.250,6.982784e-15
10.300,7.021149e-15
10.350,7.059353e-15
10.400,7.097398e-15
10.450,7.135284e-15
10.500,7.173011e-15
10.550,7.210582e-15
10.600,7.247996e-15
10.650,7.285254e-15
10.700,7.322357e-15
10.750,7.359306e-15
10.800,7.396103e-15
10.850,7.432747e-15
10.900,7.469239e-15
10.950,7.505581e-15
11.000,7.541774e-15
