# Anregung Xe(2P8), Schwelle 9.721 eV, biagi
Te_eV,K_m3s
0.500,6.083378e-24
0.550,3.677556e-23
0.600,1.649466e-22
0.650,5.879008e-22
0.700,1.748836e-21
0.750,4.501071e-21
0.800,1.029773e-20
0.850,2.138004e-20
0.900,4.093615e-20
0.950,7.320827e-20
1.000,1.235347e-19
1.050,1.983238e-19
1.100,3.049649e-19
1.150,4.516870e-19
1.200,6.473799e-19
1.250,9.013916e-19
1.300,1.223317e-18
1.350,1.622787e-18
1.400,2.109275e-18
1.450,2.691916e-18
1.500,3.379350e-18
1.550,4.179598e-18
1.600,5.099953e-18
1.650,6.146905e-18
1.700,7.326090e-18
1.750,8.642256e-18
1.800,1.009925e-17
1.850,1.170003e-17
1.900,1.344667e-17
1.950,1.534040e-17
2.000,1.738167e-17
2.050,1.957013e-17
2.100,2.190476e-17
2.150,2.438386e-17
2.200,2.700516e-17
2.250,2.976584e-17
2.300,3.266259e-17
2.350,3.569170e-17
2.400,3.884906e-17
2.450,4.213027e-17
2.500,4.553064e-17
2.550,4.904526e-17
2.600,5.266904e-17
2.650,5.639677e-17
2.700,6.022309e-17
2.750,6.414261e-17
2.800,6.814990e-17
2.850,7.223949e-17
2.900,7.640594e-17
2.950,8.064386e-17
3.000,8.494788e-17
3.050,8.931275e-17
3.100,9.373326e-17
3.150,9.820433e-17
3.200,1.027210e-16
3.250,1.072784e-16
3.300,1.118718e-16
3.350,1.164966e-16
3.400,1.211484e-16
3.450,1.258228e-16
3.500,1.305158e-16
3.550,1.352233e-16
3.600,1.399415e-16
3.650,1.446666e-16
3.700,1.493952e-16
3.750,1.541237e-16
3.800,1.588491e-16
3.850,1.635681e-16
3.900,1.682778e-16
3.950,1.729754e-16
4.000,1.776582e-16
4.050,1.823236e-16
4.100,1.869694e-16
4.150,1.915931e-16
4.200,1.961926e-16
4.250,2.007660e-16
4.300,2.053112e-16
4.350,2.098265e-16
4.400,2.143101e-16
4.450,2.187606e-16
4.500,2.231764e-16
4.550,2.275562e-16
4.600,2.318986e-16
4.650,2.362025e-16
4.700,2.404667e-16
4.750,2.446903e-16
4.800,2.488722e-16
4.850,2.530117e-16
4.900,2.571079e-16
4.950,2.611602e-16
5.000,2.651678e-16
5.050,2.691302e-16
