# Anregung Xe(3D1!!), Schwelle 10.158 eV, Biagi
Te_eV,K_m3s
0.500,1.843878e-24
0.550,1.241247e-23
0.600,6.107456e-23
0.650,2.360050e-22
0.700,7.539402e-22
0.750,2.067648e-21
0.800,5.007642e-21
0.850,1.094513e-20
0.900,2.195702e-20
0.950,4.097230e-20
1.000,7.188195e-20
1.050,1.196002e-19
1.100,1.900716e-19
1.150,2.902244e-19
1.200,4.278765e-19
1.250,6.116019e-19
1.300,8.505696e-19
1.350,1.154365e-18
1.400,1.532803e-18
1.450,1.995746e-18
1.500,2.552929e-18
1.550,3.213796e-18
1.600,3.987364e-18
1.650,4.882094e-18
1.700,5.905799e-18
1.750,7.065559e-18
1.800,8.367668e-18
1.850,9.817588e-18
1.900,1.141994e-17
1.950,1.317848e-17
2.000,1.509612e-17
2.050,1.717495e-17
2.100,1.941626e-17
2.150,2.182055e-17
2.200,2.438762e-17
2.250,2.711658e-17
2.300,3.000592e-17
2.350,3.305353e-17
2.400,3.625679e-17
2.450,3.961258e-17
2.500,4.311737e-17
2.550,4.676724e-17
2.600,5.055794e-17
2.650,5.448492e-17
2.700,5.854339e-17
2.750,6.272837e-17
2.800,6.703470e-17
2.850,7.145709e-17
2.900,7.599013e-17
2.950,8.062838e-17
3.000,8.536632e-17
3.050,9.019844e-17
3.100,9.511922e-17
3.150,1.001232e-16
3.200,1.052048e-16
3.250,1.103588e-16
3.300,1.155798e-16
3.350,1.208626e-16
3.400,1.262021e-16
3.450,1.315932e-16
3.500,1.370310e-16
3.550,1.425108e-16
3.600,1.480278e-16
3.650,1.535776e-16
3.700,1.591558e-16
3.750,1.647581e-16
3.800,1.703804e-16
3.850,1.760187e-16
3.900,1.816692e-16
3.950,1.873282e-16
4.000,1.929922e-16
4.050,1.986577e-16
4.100,2.043215e-16
4.150,2.099805e-16
4.200,2.156316e-16
4.250,2.212720e-16
4.300,2.268990e-16
4.350,2.325098e-16
4.400,2.381022e-16
4.450,2.436736e-16
4.500,2.492218e-16
4.550,2.547448e-16
4.600,2.602404e-16
4.650,2.657068e-16
4.700,2.711422e-16
4.750,2.765449e-16
4.800,2.819132e-16
4.850,2.872456e-16
4.900,2.925408e-16
4.950,2.977973e-16
5.000,3.030140e-16
5.050,3.081897e-16
5.100,3.133233e-16
5.150,3.184137e-16
5.200,3.234601e-16
5.250,3.284616e-16
5.300,3.334174e-16
5.350,3.383267e-16
5.400,3.431889e-16
5.450,3.480034e-16
5.500,3.527695e-16
5.550,3.574869e-16
5.600,3.621551e-16
5.650,3.667736e-16
5.700,3.713422e-16
5.750,3.758604e-16
5.800,3.803281e-16
5.850,3.847450e-16
5.900,3.891110e-16
5.950,3.934259e-16
6.000,3.976895e-16
6.050,4.019019e-16
6.100,4.060629e-16
6.150,4.101726e-16
6.200,4.142310e-16
6.250,4.182381e-16
6.300,4.221940e-16
6.350,4.260987e-16
6.400,4.299525e-16
6.450,4.337554e-16
6.500,4.375076e-16
6.550,4.412093e-16
6.600,4.448607e-16
6.650,4.484619e-16
6.700,4.520133e-16
6.750,4.555151e-16
6.800,4.589676e-16
6.850,4.623709e-16
6.900,4.657255e-16
6.950,4.690315e-16
7.000,4.722894e-16
7.050,4.754995e-16
7.100,4.786620e-16
7.150,4.817773e-16
7.200,4.848458e-16
7.250,4.878678e-16
7.300,4.908437e-16
7.350,4.937739e-16
7.400,4.966587e-16
7.450,4.994985e-16
7.500,5.022938e-16
7.550,5.050448e-16
7.600,5.077520e-16
7.650,5.104158e-16
7.700,5.130365e-16
7.750,5.156147e-16
7.800,5.181507e-16
7.850,5.206449e-16
7.900,5.230977e-16
7.950,5.255095e-16
8.000,5.278808e-16
8.050,5.302119e-16
8.100,5.325033e-16
8.150,5.347553e-16
8.200,5.369685e-16
8.250,5.391431e-16
8.300,5.412797e-16
8.350,5.433787e-16
8.400,5.454403e-16
8.450,5.474651e-16
8.500,5.494535e-16
8.550,5.514059e-16
8.600,5.533226e-16
8.650,5.552042e-16
8.700,5.570509e-16
8.750,5.588632e-16
8.800,5.606414e-16
8.850,5.623861e-16
8.900,5.640975e-16
8.950,5.657761e-16
9.000,5.674223e-16
9.050,5.690364e-16
9.100,5.706188e-16
9.150,5.721700e-16
9.200,5.736902e-16
9.250,5.751799e-16
9.300,5.766394e-16
9.350,5.780692e-16
9.400,5.794695e-16
9.450,5.808407e-16
9.500,5.821833e-16
9.550,5.834975e-16
9.600,5.847837e-16
9.650,5.860423e-16
9.700,5.872736e-16
9.750,5.884779e-16
9.800,5.896556e-16
9.850,5.908071e-16
9.900,5.919327e-16
9.950,5.930326e-16
10.000,5.941073e-16
10.050,5.951571e-16
10.100,5.961822e-16
10.150,5.971830e-16
10.200,5.981598e-16
10.250,5.991130e-16
10.300,6.000428e-16
10.350,6.009495e-16
10.400,6.018335e-16
10.450,6.026950e-16
10.500,6.035344e-16
10.550,6.043518e-16
10.600,6.051477e-16
10.650,6.059224e-16
10.700,6.066760e-16
10.750,6.074088e-16
10.800,6.081212e-16
10.850,6.088135e-16
10.900,6.094858e-16
10.950,6.101385e-16
11.000,6.107718e-16
11.050,6.113859e-16
11.100,6.119813e-16
11.150,6.125580e-16
11.200,6.131163e-16
11.250,6.136566e-16
11.300,6.141789e-16
11.350,6.146837e-16
11.400,6.151711e-16
11.450,6.156414e-16
11.500,6.160947e-16
11.550,6.165314e-16
11.600,6.169516e-16
11.650,6.173556e-16
11.700,6.177436e-16
11.750,6.181159e-16
11.800,6.184725e-16
11.850,6.188139e-16
11.900,6.191401e-16
11.950,6.194513e-16
12.000,6.197479e-16
12.050,6.200300e-16
12.100,6.202977e-16
12.150,6.205513e-16
12.200,6.207911e-16
12.250,6.210171e-16
12.300,6.212295e-16
12.350,6.214287e-16
12.400,6.216147e-16
12.450,6.217877e-16
12.500,6.219479e-16
12.550,6.220956e-16
12.600,6.222308e-16
12.650,6.223537e-16
12.700,6.224646e-16
12.750,6.225636e-16
12.800,6.226509e-16
12.850,6.227265e-16
12.900,6.227908e-16
12.950,6.228438e-16
13.000,6.228858e-16
13.050,6.229168e-16
13.100,6.229370e-16
13.150,6.229467e-16
13.200,6.229458e-16
13.250,6.229347e-16
13.300,6.229134e-16
13.350,6.228821e-16
13.400,6.228409e-16
13.450,6.227900e-16
13.500,6.227295e-16
13.550,6.226595e-16
13.600,6.225802e-16
13.650,6.224918e-16
13.700,6.223943e-16
13.750,6.222879e-16
13.800,6.221727e-16
13.850,6.220488e-16
13.900,6.219164e-16
13.950,6.217757e-16
14.000,6.216266e-16
14.050,6.214694e-16
14.100,6.213041e-16
14.150,6.211310e-16
14.200,6.209500e-16
14.250,6.207613e-16
14.300,6.205651e-16
14.350,6.203614e-16
14.400,6.201504e-16
14.450,6.199321e-16
14.500,6.197067e-16
14.550,6.194743e-16
14.600,6.192349e-16
14.650,6.189888e-16
14.700,6.187359e-16
14.750,6.184764e-16
14.800,6.182104e-16
14.850,6.179380e-16
14.900,6.176593e-16
14.950,6.173743e-16
15.000,6.170832e-16
15.050,6.167861e-16
15.100,6.164831e-16
15.150,6.161742e-16
15.200,6.158596e-16
15.250,6.155393e-16
15.300,6.152134e-16
15.350,6.148820e-16
15.400,6.145452e-16
15.450,6.142031e-16
15.500,6.138557e-16
15.550,6.135032e-16
15.600,6.131456e-16
15.650,6.127830e-16
15.700,6.124155e-16
15.750,6.120431e-16
15.800,6.116660e-16
15.850,6.112841e-16
15.900,6.108977e-16
15.950,6.105067e-16
16.000,6.101112e-16
16.050,6.097114e-16
16.100,6.093072e-16
16.150,6.088988e-16
16.200,6.084861e-16
16.250,6.080694e-16
16.300,6.076486e-16
16.350,6.072238e-16
16.400,6.067951e-16
16.450,6.063625e-16
16.500,6.059261e-16
16.550,6.054860e-16
16.600,6.050423e-16
16.650,6.045949e-16
16.700,6.041440e-16
16.750,6.036896e-16
16.800,6.032317e-16
16.850,6.027705e-16
16.900,6.023060e-16
16.950,6.018382e-16
17.000,6.013672e-16
17.050,6.008931e-16
17.100,6.004159e-16
17.150,5.999356e-16
17.200,5.994524e-16
17.250,5.989662e-16
17.300,5.984771e-16
17.350,5.979852e-16
17.400,5.974906e-16
17.450,5.969932e-16
17.500,5.964931e-16
17.550,5.959903e-16
17.600,5.954850e-16
17.650,5.949772e-16
17.700,5.944668e-16
17.750,5.939540e-16
17.800,5.934388e-16
17.850,5.929213e-16
17.900,5.924014e-16
17.950,5.918793e-16
18.000,5.913549e-16
18.050,5.908283e-16
18.100,5.902996e-16
18.150,5.897688e-16
18.200,5.892360e-16
18.250,5.887011e-16
18.300,5.881642e-16
18.350,5.876254e-16
18.400,5.870847e-16
18.450,5.865421e-16
18.500,5.859976e-16
18.550,5.854514e-16
18.600,5.849035e-16
18.650,5.843538e-16
18.700,5.838024e-16
18.750,5.832493e-16
18.800,5.826947e-16
18.850,5.821385e-16
18.900,5.815807e-16
18.950,5.810214e-16
19.000,5.804606e-16
