# Anregung Xe(3D1!), Schwelle 10.22 eV, biagi
Te_eV,K_m3s
0.500,9.291518e-25
0.550,6.297999e-24
0.600,3.113534e-23
0.650,1.206847e-22
0.700,3.862520e-22
0.750,1.060267e-21
0.800,2.568528e-21
0.850,5.612744e-21
0.900,1.125346e-20
0.950,2.098297e-20
1.000,3.677942e-20
1.050,6.113645e-20
1.100,9.706594e-20
1.150,1.480748e-19
1.200,2.181186e-19
1.250,3.115372e-19
1.300,4.329773e-19
1.350,5.873069e-19
1.400,7.795275e-19
1.450,1.014687e-18
1.500,1.297798e-18
1.550,1.633761e-18
1.600,2.027300e-18
1.650,2.482903e-18
1.700,3.004777e-18
1.750,3.596806e-18
1.800,4.262529e-18
1.850,5.005113e-18
1.900,5.827347e-18
1.950,6.731634e-18
2.000,7.719992e-18
2.050,8.794058e-18
2.100,9.955104e-18
2.150,1.120404e-17
2.200,1.254145e-17
2.250,1.396757e-17
2.300,1.548236e-17
2.350,1.708548e-17
2.400,1.877635e-17
2.450,2.055413e-17
2.500,2.241776e-17
2.550,2.436600e-17
2.600,2.639740e-17
2.650,2.851039e-17
2.700,3.070322e-17
2.750,3.297404e-17
2.800,3.532089e-17
2.850,3.774170e-17
2.900,4.023434e-17
2.950,4.279661e-17
3.000,4.542627e-17
3.050,4.812100e-17
3.100,5.087850e-17
3.150,5.369643e-17
3.200,5.657242e-17
3.250,5.950412e-17
3.300,6.248918e-17
3.350,6.552526e-17
3.400,6.861003e-17
3.450,7.174118e-17
3.500,7.491644e-17
3.550,7.813355e-17
3.600,8.139031e-17
3.650,8.468454e-17
3.700,8.801410e-17
3.750,9.137690e-17
3.800,9.477087e-17
3.850,9.819403e-17
3.900,1.016444e-16
3.950,1.051201e-16
4.000,1.086192e-16
4.050,1.121400e-16
4.100,1.156806e-16
4.150,1.192394e-16
4.200,1.228147e-16
4.250,1.264048e-16
4.300,1.300083e-16
4.350,1.336236e-16
4.400,1.372491e-16
4.450,1.408837e-16
4.500,1.445257e-16
4.550,1.481740e-16
4.600,1.518272e-16
4.650,1.554841e-16
4.700,1.591435e-16
4.750,1.628043e-16
4.800,1.664654e-16
4.850,1.701256e-16
4.900,1.737841e-16
4.950,1.774397e-16
5.000,1.810916e-16
5.050,1.847389e-16
5.100,1.883806e-16
5.150,1.920160e-16
5.200,1.956442e-16
5.250,1.992645e-16
5.300,2.028762e-16
5.350,2.064785e-16
5.400,2.100708e-16
5.450,2.136524e-16
5.500,2.172228e-16
5.550,2.207813e-16
5.600,2.243274e-16
5.650,2.278606e-16
5.700,2.313803e-16
5.750,2.348861e-16
5.800,2.383776e-16
5.850,2.418542e-16
5.900,2.453156e-16
5.950,2.487615e-16
6.000,2.521913e-16
6.050,2.556048e-16
6.100,2.590017e-16
6.150,2.623816e-16
6.200,2.657443e-16
6.250,2.690894e-16
6.300,2.724168e-16
6.350,2.757261e-16
6.400,2.790172e-16
6.450,2.822899e-16
6.500,2.855438e-16
6.550,2.887790e-16
6.600,2.919951e-16
6.650,2.951921e-16
6.700,2.983698e-16
6.750,3.015280e-16
6.800,3.046667e-16
6.850,3.077857e-16
6.900,3.108850e-16
6.950,3.139644e-16
7.000,3.170239e-16
7.050,3.200633e-16
7.100,3.230827e-16
7.150,3.260820e-16
7.200,3.290612e-16
7.250,3.320201e-16
7.300,3.349589e-16
7.350,3.378774e-16
7.400,3.407756e-16
7.450,3.436536e-16
7.500,3.465113e-16
7.550,3.493488e-16
7.600,3.521661e-16
7.650,3.549631e-16
7.700,3.577399e-16
7.750,3.604965e-16
7.800,3.632330e-16
7.850,3.659494e-16
7.900,3.686458e-16
7.950,3.713221e-16
8.000,3.739785e-16
8.050,3.766150e-16
8.100,3.792316e-16
8.150,3.818284e-16
8.200,3.844055e-16
8.250,3.869629e-16
8.300,3.895008e-16
8.350,3.920192e-16
8.400,3.945181e-16
8.450,3.969977e-16
8.500,3.994580e-16
8.550,4.018991e-16
8.600,4.043211e-16
8.650,4.067241e-16
8.700,4.091082e-16
8.750,4.114735e-16
8.800,4.138200e-16
8.850,4.161479e-16
8.900,4.184572e-16
8.950,4.207481e-16
9.000,4.230207e-16
9.050,4.252750e-16
9.100,4.275111e-16
9.150,4.297293e-16
9.200,4.319295e-16
9.250,4.341119e-16
9.300,4.362765e-16
9.350,4.384236e-16
9.400,4.405531e-16
9.450,4.426653e-16
9.500,4.447601e-16
9.550,4.468378e-16
9.600,4.488984e-16
9.650,4.509421e-16
9.700,4.529689e-16
9.750,4.549789e-16
9.800,4.569724e-16
9.850,4.589493e-16
9.900,4.609098e-16
9.950,4.628541e-16
10.000,4.647821e-16
10.050,4.666941e-16
10.100,4.685902e-16
10.150,4.704704e-16
10.200,4.723348e-16
10.250,4.741837e-16
10.300,4.760170e-16
10.350,4.778350e-16
10.400,4.796376e-16
10.450,4.814251e-16
10.500,4.831975e-16
10.550,4.849550e-16
10.600,4.866976e-16
10.650,4.884255e-16
10.700,4.901388e-16
10.750,4.918376e-16
10.800,4.935219e-16
10.850,4.951920e-16
10.900,4.968478e-16
10.950,4.984896e-16
11.000,5.001175e-16
11.050,5.017314e-16
11.100,5.033316e-16
11.150,5.049181e-16
11.200,5.064911e-16
11.250,5.080507e-16
11.300,5.095969e-16
11.350,5.111299e-16
11.400,5.126497e-16
11.450,5.141565e-16
11.500,5.156504e-16
11.550,5.171314e-16
11.600,5.185998e-16
11.650,5.200555e-16
11.700,5.214986e-16
11.750,5.229294e-16
11.800,5.243478e-16
11.850,5.257540e-16
11.900,5.271481e-16
11.950,5.285301e-16
12.000,5.299002e-16
12.050,5.312585e-16
12.100,5.326050e-16
12.150,5.339398e-16
12.200,5.352631e-16
12.250,5.365749e-16
12.300,5.378754e-16
12.350,5.391645e-16
12.400,5.404425e-16
12.450,5.417094e-16
12.500,5.429652e-16
12.550,5.442102e-16
12.600,5.454443e-16
12.650,5.466676e-16
12.700,5.478803e-16
12.750,5.490824e-16
12.800,5.502741e-16
12.850,5.514553e-16
12.900,5.526263e-16
12.950,5.537869e-16
13.000,5.549375e-16
13.050,5.560780e-16
13.100,5.572085e-16
13.150,5.583291e-16
13.200,5.594398e-16
13.250,5.605409e-16
13.300,5.616323e-16
13.350,5.627140e-16
13.400,5.637863e-16
13.450,5.648492e-16
13.500,5.659027e-16
13.550,5.669470e-16
13.600,5.679820e-16
13.650,5.690080e-16
13.700,5.700248e-16
13.750,5.710328e-16
13.800,5.720318e-16
13.850,5.730220e-16
13.900,5.740034e-16
13.950,5.749762e-16
14.000,5.759403e-16
14.050,5.768959e-16
14.100,5.778431e-16
14.150,5.787818e-16
14.200,5.797122e-16
14.250,5.806344e-16
14.300,5.815484e-16
14.350,5.824542e-16
14.400,5.833520e-16
14.450,5.842417e-16
14.500,5.851236e-16
14.550,5.859976e-16
14.600,5.868638e-16
14.650,5.877222e-16
14.700,5.885730e-16
14.750,5.894162e-16
14.800,5.902518e-16
14.850,5.910799e-16
14.900,5.919006e-16
14.950,5.927140e-16
15.000,5.935200e-16
15.050,5.943188e-16
15.100,5.951105e-16
15.150,5.958950e-16
15.200,5.966724e-16
15.250,5.974428e-16
15.300,5.982063e-16
15.350,5.989628e-16
15.400,5.997126e-16
15.450,6.004555e-16
15.500,6.011917e-16
15.550,6.019212e-16
15.600,6.026442e-16
15.650,6.033605e-16
15.700,6.040704e-16
15.750,6.047737e-16
15.800,6.054707e-16
15.850,6.061613e-16
15.900,6.068456e-16
15.950,6.075237e-16
16.000,6.081955e-16
16.050,6.088613e-16
16.100,6.095209e-16
16.150,6.101744e-16
16.200,6.108219e-16
16.250,6.114635e-16
16.300,6.120992e-16
16.350,6.127290e-16
16.400,6.133531e-16
16.450,6.139713e-16
16.500,6.145838e-16
16.550,6.151907e-16
16.600,6.157919e-16
16.650,6.163875e-16
16.700,6.169776e-16
16.750,6.175622e-16
16.800,6.181414e-16
16.850,6.187152e-16
16.900,6.192836e-16
16.950,6.198466e-16
17.000,6.204044e-16
17.050,6.209570e-16
17.100,6.215044e-16
17.150,6.220466e-16
17.200,6.225837e-16
17.250,6.231157e-16
17.300,6.236428e-16
17.350,6.241648e-16
17.400,6.246819e-16
17.450,6.251940e-16
17.500,6.257013e-16
17.550,6.262038e-16
17.600,6.267014e-16
17.650,6.271944e-16
17.700,6.276826e-16
17.750,6.281661e-16
17.800,6.286449e-16
17.850,6.291192e-16
17.900,6.295889e-16
17.950,6.300541e-16
18.000,6.305147e-16
18.050,6.309709e-16
18.100,6.314227e-16
18.150,6.318701e-16
18.200,6.323131e-16
18.250,6.327518e-16
18.300,6.331862e-16
18.350,6.336164e-16
18.400,6.340423e-16
18.450,6.344640e-16
18.500,6.348816e-16
18.550,6.352951e-16
18.600,6.357045e-16
18.650,6.361098e-16
18.700,6.365110e-16
18.750,6.369083e-16
18.800,6.373016e-16
18.850,6.376910e-16
18.900,6.380765e-16
18.950,6.384581e-16
19.000,6.388359e-16
19.050,6.392098e-16
19.100,6.395800e-16
19.150,6.399464e-16
19.200,6.403091e-16
19.250,6.406681e-16
19.300,6.410234e-16
19.350,6.413750e-16
19.400,6.417231e-16
19.450,6.420676e-16
19.500,6.424085e-16
19.550,6.427459e-16
19.600,6.430798e-16
19.650,6.434103e-16
19.700,6.437372e-16
19.750,6.440608e-16
19.800,6.443810e-16
19.850,6.446977e-16
19.900,6.450112e-16
19.950,6.453213e-16
20.000,6.456282e-16
