# Anregung Xe(3D3), Schwelle 9.959 eV, Biagi
Te_eV,K_m3s
0.500,3.859845e-24
0.550,2.449889e-23
0.600,1.147049e-22
0.650,4.248080e-22
0.700,1.308147e-21
0.750,3.474476e-21
0.800,8.181683e-21
0.850,1.744486e-20
0.900,3.423658e-20
0.950,6.265337e-20
1.000,1.080294e-19
1.050,1.769867e-19
1.100,2.774192e-19
1.150,4.184154e-19
1.200,6.101292e-19
1.250,8.636105e-19
1.300,1.190609e-18
1.350,1.603363e-18
1.400,2.114385e-18
1.450,2.736254e-18
1.500,3.481419e-18
1.550,4.362020e-18
1.600,5.389732e-18
1.650,6.575630e-18
1.700,7.930079e-18
1.750,9.462642e-18
1.800,1.118202e-17
1.850,1.309600e-17
1.900,1.521144e-17
1.950,1.753421e-17
2.000,2.006928e-17
2.050,2.282065e-17
2.100,2.579139e-17
2.150,2.898374e-17
2.200,3.239904e-17
2.250,3.603786e-17
2.300,3.990000e-17
2.350,4.398455e-17
2.400,4.828995e-17
2.450,5.281402e-17
2.500,5.755404e-17
2.550,6.250677e-17
2.600,6.766851e-17
2.650,7.303514e-17
2.700,7.860219e-17
2.750,8.436487e-17
2.800,9.031807e-17
2.850,9.645647e-17
2.900,1.027745e-16
2.950,1.092666e-16
3.000,1.159267e-16
3.050,1.227490e-16
3.100,1.297273e-16
3.150,1.368556e-16
3.200,1.441278e-16
3.250,1.515376e-16
3.300,1.590790e-16
3.350,1.667457e-16
3.400,1.745317e-16
3.450,1.824309e-16
3.500,1.904373e-16
3.550,1.985451e-16
3.600,2.067484e-16
3.650,2.150414e-16
3.700,2.234185e-16
3.750,2.318743e-16
3.800,2.404033e-16
3.850,2.490001e-16
3.900,2.576597e-16
3.950,2.663770e-16
4.000,2.751470e-16
4.050,2.839650e-16
4.100,2.928263e-16
4.150,3.017264e-16
4.200,3.106609e-16
4.250,3.196255e-16
4.300,3.286162e-16
4.350,3.376288e-16
4.400,3.466595e-16
4.450,3.557047e-16
4.500,3.647606e-16
4.550,3.738238e-16
4.600,3.828909e-16
4.650,3.919587e-16
4.700,4.010241e-16
4.750,4.100840e-16
4.800,4.191356e-16
4.850,4.281761e-16
4.900,4.372028e-16
4.950,4.462132e-16
5.000,4.552048e-16
5.050,4.641752e-16
5.100,4.731223e-16
5.150,4.820438e-16
5.200,4.909376e-16
5.250,4.998019e-16
5.300,5.086347e-16
5.350,5.174343e-16
5.400,5.261989e-16
5.450,5.349270e-16
5.500,5.436169e-16
5.550,5.522671e-16
5.600,5.608764e-16
5.650,5.694433e-16
5.700,5.779667e-16
5.750,5.864453e-16
5.800,5.948780e-16
5.850,6.032637e-16
5.900,6.116014e-16
5.950,6.198903e-16
6.000,6.281294e-16
6.050,6.363178e-16
6.100,6.444549e-16
6.150,6.525399e-16
6.200,6.605720e-16
6.250,6.685507e-16
6.300,6.764755e-16
6.350,6.843456e-16
6.400,6.921607e-16
6.450,6.999203e-16
6.500,7.076240e-16
6.550,7.152713e-16
6.600,7.228620e-16
6.650,7.303957e-16
6.700,7.378722e-16
6.750,7.452911e-16
6.800,7.526523e-16
6.850,7.599557e-16
6.900,7.672009e-16
6.950,7.743880e-16
7.000,7.815168e-16
7.050,7.885872e-16
7.100,7.955991e-16
7.150,8.025526e-16
7.200,8.094476e-16
7.250,8.162841e-16
7.300,8.230622e-16
7.350,8.297818e-16
7.400,8.364432e-16
7.450,8.430462e-16
7.500,8.495911e-16
7.550,8.560780e-16
7.600,8.625069e-16
7.650,8.688781e-16
7.700,8.751917e-16
7.750,8.814478e-16
7.800,8.876467e-16
7.850,8.937885e-16
7.900,8.998735e-16
7.950,9.059018e-16
8.000,9.118737e-16
8.050,9.177894e-16
8.100,9.236492e-16
8.150,9.294534e-16
8.200,9.352021e-16
8.250,9.408957e-16
8.300,9.465344e-16
8.350,9.521185e-16
8.400,9.576484e-16
8.450,9.631242e-16
8.500,9.685464e-16
8.550,9.739151e-16
8.600,9.792308e-16
8.650,9.844937e-16
8.700,9.897042e-16
8.750,9.948626e-16
8.800,9.999692e-16
8.850,1.005024e-15
8.900,1.010028e-15
8.950,1.014982e-15
9.000,1.019884e-15
9.050,1.024737e-15
9.100,1.029540e-15
9.150,1.034294e-15
9.200,1.038998e-15
9.250,1.043654e-15
9.300,1.048261e-15
9.350,1.052821e-15
9.400,1.057333e-15
9.450,1.061797e-15
9.500,1.066215e-15
9.550,1.070586e-15
9.600,1.074910e-15
9.650,1.079189e-15
9.700,1.083422e-15
9.750,1.087611e-15
9.800,1.091754e-15
9.850,1.095853e-15
9.900,1.099908e-15
9.950,1.103919e-15
10.000,1.107886e-15
10.050,1.111811e-15
10.100,1.115693e-15
10.150,1.119533e-15
10.200,1.123330e-15
10.250,1.127086e-15
10.300,1.130801e-15
10.350,1.134475e-15
10.400,1.138108e-15
10.450,1.141701e-15
10.500,1.145254e-15
10.550,1.148767e-15
10.600,1.152242e-15
10.650,1.155677e-15
10.700,1.159074e-15
10.750,1.162432e-15
10.800,1.165753e-15
10.850,1.169036e-15
10.900,1.172282e-15
10.950,1.175491e-15
11.000,1.178663e-15
11.050,1.181799e-15
11.100,1.184900e-15
11.150,1.187964e-15
11.200,1.190993e-15
11.250,1.193988e-15
11.300,1.196947e-15
11.350,1.199873e-15
11.400,1.202764e-15
11.450,1.205622e-15
11.500,1.208446e-15
11.550,1.211237e-15
11.600,1.213995e-15
11.650,1.216720e-15
11.700,1.219414e-15
11.750,1.222075e-15
11.800,1.224705e-15
11.850,1.227303e-15
11.900,1.229871e-15
11.950,1.232407e-15
12.000,1.234914e-15
12.050,1.237389e-15
12.100,1.239835e-15
12.150,1.242252e-15
12.200,1.244639e-15
12.250,1.246996e-15
12.300,1.249325e-15
12.350,1.251626e-15
12.400,1.253898e-15
12.450,1.256142e-15
12.500,1.258358e-15
12.550,1.260547e-15
12.600,1.262708e-15
12.650,1.264842e-15
12.700,1.266950e-15
12.750,1.269031e-15
12.800,1.271086e-15
12.850,1.273115e-15
12.900,1.275118e-15
12.950,1.277096e-15
13.000,1.279048e-15
13.050,1.280975e-15
13.100,1.282878e-15
13.150,1.284756e-15
13.200,1.286609e-15
13.250,1.288439e-15
13.300,1.290244e-15
13.350,1.292026e-15
13.400,1.293784e-15
13.450,1.295519e-15
13.500,1.297232e-15
13.550,1.298921e-15
13.600,1.300588e-15
13.650,1.302232e-15
13.700,1.303855e-15
13.750,1.305455e-15
13.800,1.307034e-15
13.850,1.308591e-15
13.900,1.310127e-15
13.950,1.311642e-15
14.000,1.313135e-15
14.050,1.314609e-15
14.100,1.316061e-15
14.150,1.317494e-15
14.200,1.318906e-15
14.250,1.320298e-15
14.300,1.321671e-15
14.350,1.323023e-15
14.400,1.324357e-15
14.450,1.325671e-15
14.500,1.326967e-15
14.550,1.328243e-15
14.600,1.329501e-15
14.650,1.330741e-15
14.700,1.331962e-15
14.750,1.333165e-15
14.800,1.334350e-15
14.850,1.335517e-15
14.900,1.336667e-15
14.950,1.337799e-15
15.000,1.338914e-15
15.050,1.340012e-15
15.100,1.341093e-15
15.150,1.342158e-15
15.200,1.343205e-15
15.250,1.344236e-15
15.300,1.345251e-15
15.350,1.346250e-15
15.400,1.347232e-15
15.450,1.348199e-15
15.500,1.349150e-15
15.550,1.350086e-15
15.600,1.351006e-15
15.650,1.351911e-15
15.700,1.352801e-15
15.750,1.353676e-15
15.800,1.354536e-15
15.850,1.355381e-15
15.900,1.356212e-15
15.950,1.357028e-15
16.000,1.357830e-15
16.050,1.358618e-15
16.100,1.359393e-15
16.150,1.360153e-15
16.200,1.360899e-15
16.250,1.361632e-15
16.300,1.362351e-15
16.350,1.363057e-15
16.400,1.363750e-15
16.450,1.364430e-15
16.500,1.365097e-15
16.550,1.365751e-15
16.600,1.366392e-15
16.650,1.367021e-15
16.700,1.367637e-15
16.750,1.368241e-15
16.800,1.368832e-15
16.850,1.369412e-15
16.900,1.369979e-15
16.950,1.370535e-15
17.000,1.371078e-15
17.050,1.371611e-15
17.100,1.372131e-15
17.150,1.372640e-15
17.200,1.373138e-15
17.250,1.373624e-15
17.300,1.374100e-15
17.350,1.374564e-15
17.400,1.375018e-15
17.450,1.375460e-15
17.500,1.375892e-15
17.550,1.376313e-15
17.600,1.376724e-15
17.650,1.377125e-15
17.700,1.377515e-15
17.750,1.377895e-15
17.800,1.378264e-15
17.850,1.378624e-15
17.900,1.378974e-15
17.950,1.379314e-15
18.000,1.379644e-15
18.050,1.379965e-15
18.100,1.380276e-15
18.150,1.380578e-15
18.200,1.380870e-15
18.250,1.381153e-15
18.300,1.381427e-15
18.350,1.381691e-15
18.400,1.381947e-15
18.450,1.382194e-15
18.500,1.382432e-15
18.550,1.382661e-15
18.600,1.382881e-15
18.650,1.383093e-15
18.700,1.383296e-15
18.750,1.383491e-15
18.800,1.383677e-15
18.850,1.383856e-15
18.900,1.384026e-15
18.950,1.384188e-15
19.000,1.384341e-15
19.050,1.384487e-15
19.100,1.384625e-15
19.150,1.384755e-15
19.200,1.384878e-15
19.250,1.384993e-15
19.300,1.385100e-15
19.350,1.385199e-15
19.400,1.385291e-15
19.450,1.385376e-15
19.500,1.385454e-15
19.550,1.385524e-15
19.600,1.385587e-15
19.650,1.385643e-15
19.700,1.385692e-15
19.750,1.385734e-15
19.800,1.385769e-15
19.850,1.385797e-15
19.900,1.385818e-15
19.950,1.385833e-15
20.000,1.385841e-15
