# Anregung Xe(3D4), Schwelle 10.039 eV, biagi
Te_eV,K_m3s
0.500,3.352044e-24
0.550,2.209019e-23
0.600,1.068431e-22
0.650,4.071183e-22
0.700,1.285636e-21
0.750,3.492088e-21
0.800,8.389675e-21
0.850,1.821301e-20
0.900,3.632683e-20
0.950,6.745311e-20
1.000,1.178393e-19
1.050,1.953490e-19
1.100,3.094677e-19
1.150,4.712243e-19
1.200,6.930396e-19
1.250,9.885135e-19
1.300,1.372171e-18
1.350,1.859180e-18
1.400,2.465061e-18
1.450,3.205404e-18
1.500,4.095590e-18
1.550,5.150547e-18
1.600,6.384528e-18
1.650,7.810927e-18
1.700,9.442120e-18
1.750,1.128935e-17
1.800,1.336263e-17
1.850,1.567069e-17
1.900,1.822096e-17
1.950,2.101951e-17
2.000,2.407113e-17
2.050,2.737930e-17
2.100,3.094629e-17
2.150,3.477314e-17
2.200,3.885980e-17
2.250,4.320516e-17
2.300,4.780711e-17
2.350,5.266267e-17
2.400,5.776800e-17
2.450,6.311853e-17
2.500,6.870903e-17
2.550,7.453365e-17
2.600,8.058602e-17
2.650,8.685934e-17
2.700,9.334639e-17
2.750,1.000396e-16
2.800,1.069313e-16
2.850,1.140132e-16
2.900,1.212774e-16
2.950,1.287154e-16
3.000,1.363189e-16
3.050,1.440794e-16
3.100,1.519885e-16
3.150,1.600378e-16
3.200,1.682189e-16
3.250,1.765235e-16
3.300,1.849435e-16
3.350,1.934709e-16
3.400,2.020976e-16
3.450,2.108159e-16
3.500,2.196183e-16
3.550,2.284973e-16
3.600,2.374456e-16
3.650,2.464562e-16
3.700,2.555224e-16
3.750,2.646373e-16
3.800,2.737947e-16
3.850,2.829882e-16
3.900,2.922118e-16
3.950,3.014598e-16
4.000,3.107265e-16
4.050,3.200066e-16
4.100,3.292948e-16
4.150,3.385863e-16
4.200,3.478761e-16
4.250,3.571598e-16
4.300,3.664329e-16
4.350,3.756913e-16
4.400,3.849309e-16
4.450,3.941480e-16
4.500,4.033389e-16
4.550,4.125001e-16
4.600,4.216283e-16
4.650,4.307204e-16
4.700,4.397735e-16
4.750,4.487846e-16
4.800,4.577512e-16
4.850,4.666707e-16
4.900,4.755408e-16
4.950,4.843591e-16
5.000,4.931236e-16
5.050,5.018323e-16
5.100,5.104833e-16
5.150,5.190749e-16
5.200,5.276054e-16
5.250,5.360733e-16
5.300,5.444772e-16
5.350,5.528157e-16
5.400,5.610877e-16
5.450,5.692921e-16
5.500,5.774277e-16
5.550,5.854936e-16
5.600,5.934889e-16
5.650,6.014129e-16
5.700,6.092648e-16
5.750,6.170440e-16
5.800,6.247499e-16
5.850,6.323819e-16
5.900,6.399397e-16
5.950,6.474228e-16
6.000,6.548309e-16
6.050,6.621637e-16
6.100,6.694210e-16
6.150,6.766026e-16
6.200,6.837084e-16
6.250,6.907383e-16
6.300,6.976921e-16
6.350,7.045701e-16
6.400,7.113720e-16
6.450,7.180981e-16
6.500,7.247485e-16
6.550,7.313232e-16
6.600,7.378224e-16
6.650,7.442464e-16
6.700,7.505953e-16
6.750,7.568694e-16
6.800,7.630691e-16
6.850,7.691945e-16
6.900,7.752460e-16
6.950,7.812239e-16
7.000,7.871286e-16
7.050,7.929606e-16
7.100,7.987200e-16
7.150,8.044075e-16
7.200,8.100234e-16
7.250,8.155682e-16
7.300,8.210422e-16
7.350,8.264461e-16
7.400,8.317802e-16
7.450,8.370450e-16
7.500,8.422411e-16
7.550,8.473689e-16
7.600,8.524289e-16
7.650,8.574218e-16
7.700,8.623479e-16
7.750,8.672079e-16
7.800,8.720023e-16
7.850,8.767316e-16
7.900,8.813964e-16
7.950,8.859972e-16
8.000,8.905346e-16
8.050,8.950091e-16
8.100,8.994214e-16
8.150,9.037719e-16
8.200,9.080613e-16
8.250,9.122901e-16
8.300,9.164588e-16
8.350,9.205681e-16
8.400,9.246186e-16
8.450,9.286107e-16
8.500,9.325451e-16
8.550,9.364223e-16
8.600,9.402429e-16
8.650,9.440074e-16
8.700,9.477165e-16
8.750,9.513707e-16
8.800,9.549705e-16
8.850,9.585165e-16
8.900,9.620094e-16
8.950,9.654495e-16
9.000,9.688375e-16
9.050,9.721740e-16
9.100,9.754594e-16
9.150,9.786944e-16
9.200,9.818794e-16
9.250,9.850151e-16
9.300,9.881018e-16
9.350,9.911403e-16
9.400,9.941310e-16
9.450,9.970744e-16
9.500,9.999710e-16
9.550,1.002821e-15
9.600,1.005626e-15
9.650,1.008386e-15
9.700,1.011100e-15
9.750,1.013771e-15
9.800,1.016398e-15
9.850,1.018982e-15
9.900,1.021523e-15
9.950,1.024021e-15
10.000,1.026478e-15
10.050,1.028894e-15
10.100,1.031269e-15
10.150,1.033604e-15
10.200,1.035899e-15
10.250,1.038154e-15
10.300,1.040370e-15
10.350,1.042548e-15
10.400,1.044688e-15
10.450,1.046791e-15
10.500,1.048856e-15
10.550,1.050884e-15
10.600,1.052876e-15
10.650,1.054833e-15
10.700,1.056754e-15
10.750,1.058639e-15
10.800,1.060491e-15
10.850,1.062308e-15
10.900,1.064091e-15
10.950,1.065841e-15
11.000,1.067558e-15
11.050,1.069242e-15
11.100,1.070894e-15
11.150,1.072514e-15
11.200,1.074103e-15
11.250,1.075660e-15
11.300,1.077187e-15
11.350,1.078684e-15
11.400,1.080151e-15
11.450,1.081588e-15
11.500,1.082996e-15
11.550,1.084375e-15
11.600,1.085725e-15
11.650,1.087047e-15
11.700,1.088342e-15
11.750,1.089608e-15
11.800,1.090848e-15
11.850,1.092061e-15
11.900,1.093247e-15
11.950,1.094407e-15
12.000,1.095541e-15
12.050,1.096649e-15
12.100,1.097733e-15
12.150,1.098791e-15
12.200,1.099825e-15
12.250,1.100834e-15
12.300,1.101819e-15
12.350,1.102781e-15
12.400,1.103718e-15
12.450,1.104633e-15
12.500,1.105525e-15
12.550,1.106394e-15
12.600,1.107241e-15
12.650,1.108066e-15
12.700,1.108869e-15
12.750,1.109651e-15
12.800,1.110411e-15
12.850,1.111150e-15
12.900,1.111868e-15
12.950,1.112566e-15
13.000,1.113244e-15
13.050,1.113902e-15
13.100,1.114540e-15
13.150,1.115158e-15
13.200,1.115757e-15
13.250,1.116337e-15
13.300,1.116899e-15
13.350,1.117442e-15
13.400,1.117966e-15
