# Anregung Xe(8S4), Schwelle 11.962 eV, biagi
Te_eV,K_m3s
0.500,6.768323e-28
0.550,6.254924e-27
0.600,4.005974e-26
0.650,1.934465e-25
0.700,7.480952e-25
0.750,2.421618e-24
0.800,6.783039e-24
0.850,1.686341e-23
0.900,3.795387e-23
0.950,7.854884e-23
1.000,1.513657e-22
1.050,2.743587e-22
1.100,4.716455e-22
1.150,7.742763e-22
1.200,1.220795e-21
1.250,1.857563e-21
1.300,2.738833e-21
1.350,3.926590e-21
1.400,5.490172e-21
1.450,7.505707e-21
1.500,1.005540e-20
1.550,1.322672e-20
1.600,1.711148e-20
1.650,2.180493e-20
1.700,2.740480e-20
1.750,3.401036e-20
1.800,4.172153e-20
1.850,5.063803e-20
1.900,6.085861e-20
1.950,7.248032e-20
2.000,8.559790e-20
2.050,1.003032e-19
2.100,1.166846e-19
2.150,1.348270e-19
2.200,1.548108e-19
2.250,1.767122e-19
2.300,2.006029e-19
2.350,2.265498e-19
2.400,2.546148e-19
2.450,2.848551e-19
2.500,3.173230e-19
2.550,3.520658e-19
2.600,3.891261e-19
2.650,4.285417e-19
2.700,4.703458e-19
2.750,5.145672e-19
2.800,5.612301e-19
2.850,6.103546e-19
2.900,6.619570e-19
2.950,7.160494e-19
3.000,7.726404e-19
3.050,8.317349e-19
3.100,8.933347e-19
3.150,9.574383e-19
3.200,1.024041e-18
3.250,1.093136e-18
3.300,1.164713e-18
3.350,1.238760e-18
3.400,1.315262e-18
3.450,1.394202e-18
3.500,1.475562e-18
3.550,1.559321e-18
3.600,1.645456e-18
3.650,1.733944e-18
3.700,1.824759e-18
3.750,1.917875e-18
3.800,2.013263e-18
3.850,2.110896e-18
3.900,2.210742e-18
3.950,2.312772e-18
4.000,2.416954e-18
4.050,2.523255e-18
4.100,2.631643e-18
4.150,2.742085e-18
4.200,2.854547e-18
4.250,2.968994e-18
4.300,3.085392e-18
4.350,3.203707e-18
4.400,3.323904e-18
4.450,3.445948e-18
4.500,3.569803e-18
4.550,3.695435e-18
4.600,3.822809e-18
4.650,3.951889e-18
4.700,4.082642e-18
4.750,4.215031e-18
4.800,4.349022e-18
4.850,4.484581e-18
4.900,4.621674e-18
4.950,4.760267e-18
5.000,4.900326e-18
5.050,5.041817e-18
5.100,5.184707e-18
5.150,5.328964e-18
5.200,5.474555e-18
5.250,5.621449e-18
5.300,5.769612e-18
5.350,5.919014e-18
5.400,6.069624e-18
5.450,6.221411e-18
5.500,6.374345e-18
5.550,6.528396e-18
5.600,6.683534e-18
5.650,6.839731e-18
5.700,6.996959e-18
5.750,7.155188e-18
5.800,7.314392e-18
5.850,7.474542e-18
5.900,7.635613e-18
5.950,7.797577e-18
6.000,7.960408e-18
6.050,8.124081e-18
6.100,8.288572e-18
6.150,8.453854e-18
6.200,8.619903e-18
6.250,8.786697e-18
6.300,8.954210e-18
6.350,9.122421e-18
6.400,9.291306e-18
6.450,9.460843e-18
6.500,9.631010e-18
6.550,9.801786e-18
6.600,9.973150e-18
6.650,1.014508e-17
6.700,1.031756e-17
6.750,1.049056e-17
6.800,1.066407e-17
6.850,1.083807e-17
6.900,1.101254e-17
6.950,1.118746e-17
7.000,1.136281e-17
7.050,1.153858e-17
7.100,1.171474e-17
7.150,1.189129e-17
7.200,1.206819e-17
7.250,1.224545e-17
7.300,1.242304e-17
7.350,1.260094e-17
7.400,1.277914e-17
7.450,1.295763e-17
7.500,1.313639e-17
7.550,1.331540e-17
7.600,1.349465e-17
7.650,1.367414e-17
7.700,1.385383e-17
7.750,1.403373e-17
7.800,1.421382e-17
7.850,1.439407e-17
7.900,1.457450e-17
7.950,1.475507e-17
8.000,1.493578e-17
8.050,1.511661e-17
8.100,1.529756e-17
8.150,1.547862e-17
8.200,1.565977e-17
8.250,1.584099e-17
8.300,1.602229e-17
8.350,1.620365e-17
8.400,1.638507e-17
8.450,1.656652e-17
8.500,1.674800e-17
8.550,1.692951e-17
8.600,1.711102e-17
8.650,1.729254e-17
8.700,1.747406e-17
8.750,1.765556e-17
8.800,1.783704e-17
8.850,1.801849e-17
8.900,1.819990e-17
8.950,1.838126e-17
9.000,1.856257e-17
9.050,1.874381e-17
9.100,1.892499e-17
9.150,1.910609e-17
9.200,1.928711e-17
9.250,1.946803e-17
9.300,1.964886e-17
9.350,1.982959e-17
9.400,2.001020e-17
9.450,2.019070e-17
9.500,2.037108e-17
9.550,2.055132e-17
9.600,2.073143e-17
9.650,2.091141e-17
9.700,2.109123e-17
9.750,2.127091e-17
9.800,2.145042e-17
9.850,2.162978e-17
9.900,2.180897e-17
9.950,2.198799e-17
10.000,2.216683e-17
10.050,2.234549e-17
10.100,2.252396e-17
10.150,2.270224e-17
10.200,2.288033e-17
10.250,2.305822e-17
10.300,2.323591e-17
10.350,2.341338e-17
10.400,2.359065e-17
10.450,2.376770e-17
10.500,2.394454e-17
10.550,2.412115e-17
10.600,2.429753e-17
10.650,2.447368e-17
10.700,2.464961e-17
10.750,2.482529e-17
10.800,2.500074e-17
10.850,2.517594e-17
10.900,2.535090e-17
10.950,2.552560e-17
11.000,2.570006e-17
11.050,2.587426e-17
11.100,2.604821e-17
11.150,2.622189e-17
11.200,2.639532e-17
11.250,2.656848e-17
11.300,2.674137e-17
11.350,2.691399e-17
11.400,2.708634e-17
11.450,2.725841e-17
11.500,2.743021e-17
11.550,2.760173e-17
11.600,2.777297e-17
11.650,2.794392e-17
11.700,2.811459e-17
11.750,2.828498e-17
11.800,2.845507e-17
11.850,2.862488e-17
11.900,2.879439e-17
11.950,2.896362e-17
12.000,2.913254e-17
12.050,2.930117e-17
12.100,2.946950e-17
12.150,2.963753e-17
12.200,2.980526e-17
12.250,2.997269e-17
12.300,3.013982e-17
12.350,3.030664e-17
12.400,3.047315e-17
12.450,3.063936e-17
12.500,3.080525e-17
12.550,3.097084e-17
12.600,3.113612e-17
12.650,3.130108e-17
12.700,3.146574e-17
12.750,3.163008e-17
12.800,3.179410e-17
12.850,3.195781e-17
12.900,3.212120e-17
12.950,3.228428e-17
13.000,3.244704e-17
13.050,3.260948e-17
13.100,3.277160e-17
13.150,3.293340e-17
13.200,3.309489e-17
13.250,3.325605e-17
13.300,3.341689e-17
13.350,3.357740e-17
13.400,3.373760e-17
13.450,3.389747e-17
13.500,3.405702e-17
13.550,3.421624e-17
