# Anregung Xe(Ex Sum 4D), Schwelle 10.972 eV, biagi
Te_eV,K_m3s
0.500,2.674314e-25
0.550,2.099406e-24
0.600,1.173412e-23
0.650,5.045767e-23
0.700,1.764559e-22
0.750,5.227733e-22
0.800,1.353013e-21
0.850,3.132103e-21
0.900,6.605385e-21
0.950,1.287678e-20
1.000,2.347641e-20
1.050,4.040954e-20
1.100,6.618144e-20
1.150,1.037959e-19
1.200,1.567280e-19
1.250,2.288743e-19
1.300,3.244843e-19
1.350,4.480792e-19
1.400,6.043631e-19
1.450,7.981307e-19
1.500,1.034177e-18
1.550,1.317213e-18
1.600,1.651786e-18
1.650,2.042211e-18
1.700,2.492517e-18
1.750,3.006394e-18
1.800,3.587158e-18
1.850,4.237727e-18
1.900,4.960602e-18
1.950,5.757859e-18
2.000,6.631146e-18
2.050,7.581692e-18
2.100,8.610318e-18
2.150,9.717447e-18
2.200,1.090313e-17
2.250,1.216707e-17
2.300,1.350862e-17
2.350,1.492686e-17
2.400,1.642056e-17
2.450,1.798826e-17
2.500,1.962826e-17
2.550,2.133866e-17
2.600,2.311739e-17
2.650,2.496222e-17
2.700,2.687079e-17
2.750,2.884062e-17
2.800,3.086915e-17
2.850,3.295376e-17
2.900,3.509175e-17
2.950,3.728039e-17
3.000,3.951695e-17
3.050,4.179865e-17
3.100,4.412273e-17
3.150,4.648646e-17
3.200,4.888709e-17
3.250,5.132195e-17
3.300,5.378835e-17
3.350,5.628371e-17
3.400,5.880544e-17
3.450,6.135104e-17
3.500,6.391807e-17
3.550,6.650414e-17
3.600,6.910692e-17
3.650,7.172417e-17
3.700,7.435371e-17
3.750,7.699342e-17
3.800,7.964126e-17
3.850,8.229528e-17
3.900,8.495359e-17
3.950,8.761435e-17
4.000,9.027583e-17
4.050,9.293636e-17
4.100,9.559432e-17
4.150,9.824820e-17
4.200,1.008965e-16
4.250,1.035379e-16
4.300,1.061710e-16
4.350,1.087945e-16
4.400,1.114074e-16
4.450,1.140083e-16
