# Anregung Xe(exc_2), Schwelle 9.447 eV, hayashi
Te_eV,K_m3s
0.500,6.712525e-24
0.550,3.905698e-23
0.600,1.702370e-22
0.650,5.937618e-22
0.700,1.737320e-21
0.750,4.414929e-21
0.800,1.000157e-20
0.850,2.060601e-20
0.900,3.921644e-20
0.950,6.979864e-20
1.000,1.173346e-19
1.050,1.877985e-19
1.100,2.880742e-19
1.150,4.258249e-19
1.200,6.093271e-19
1.250,8.472828e-19
1.300,1.148623e-18
1.350,1.522315e-18
1.400,1.977175e-18
1.450,2.521710e-18
1.500,3.163965e-18
1.550,3.911413e-18
1.600,4.770852e-18
1.650,5.748339e-18
1.700,6.849139e-18
1.750,8.077698e-18
1.800,9.437635e-18
1.850,1.093174e-17
1.900,1.256201e-17
1.950,1.432966e-17
2.000,1.623516e-17
2.050,1.827829e-17
2.100,2.045820e-17
2.150,2.277341e-17
2.200,2.522193e-17
2.250,2.780127e-17
2.300,3.050849e-17
2.350,3.334028e-17
2.400,3.629298e-17
2.450,3.936265e-17
2.500,4.254509e-17
2.550,4.583592e-17
2.600,4.923058e-17
2.650,5.272437e-17
2.700,5.631251e-17
2.750,5.999016e-17
2.800,6.375243e-17
2.850,6.759442e-17
2.900,7.151125e-17
2.950,7.549804e-17
3.000,7.955001e-17
3.050,8.366238e-17
3.100,8.783050e-17
3.150,9.204977e-17
3.200,9.631571e-17
3.250,1.006239e-16
3.300,1.049702e-16
3.350,1.093503e-16
3.400,1.137603e-16
3.450,1.181962e-16
3.500,1.226544e-16
3.550,1.271310e-16
3.600,1.316228e-16
3.650,1.361262e-16
3.700,1.406380e-16
3.750,1.451552e-16
3.800,1.496748e-16
3.850,1.541938e-16
3.900,1.587097e-16
3.950,1.632198e-16
4.000,1.677217e-16
4.050,1.722129e-16
4.100,1.766913e-16
4.150,1.811548e-16
4.200,1.856013e-16
4.250,1.900289e-16
4.300,1.944358e-16
4.350,1.988205e-16
4.400,2.031811e-16
4.450,2.075163e-16
4.500,2.118247e-16
4.550,2.161048e-16
4.600,2.203556e-16
4.650,2.245757e-16
4.700,2.287642e-16
4.750,2.329200e-16
4.800,2.370423e-16
4.850,2.411301e-16
4.900,2.451826e-16
4.950,2.491991e-16
5.000,2.531790e-16
5.050,2.571217e-16
5.100,2.610265e-16
5.150,2.648930e-16
5.200,2.687207e-16
5.250,2.725092e-16
5.300,2.762582e-16
5.350,2.799673e-16
5.400,2.836363e-16
5.450,2.872649e-16
5.500,2.908530e-16
5.550,2.944003e-16
5.600,2.979068e-16
5.650,3.013723e-16
5.700,3.047969e-16
5.750,3.081804e-16
5.800,3.115228e-16
5.850,3.148242e-16
5.900,3.180847e-16
5.950,3.213042e-16
6.000,3.244828e-16
6.050,3.276208e-16
6.100,3.307181e-16
6.150,3.337750e-16
6.200,3.367916e-16
6.250,3.397681e-16
6.300,3.427047e-16
6.350,3.456016e-16
6.400,3.484589e-16
6.450,3.512770e-16
6.500,3.540561e-16
6.550,3.567965e-16
6.600,3.594983e-16
6.650,3.621620e-16
6.700,3.647877e-16
6.750,3.673757e-16
6.800,3.699264e-16
6.850,3.724401e-16
6.900,3.749170e-16
6.950,3.773575e-16
7.000,3.797619e-16
7.050,3.821305e-16
7.100,3.844637e-16
7.150,3.867618e-16
7.200,3.890251e-16
7.250,3.912539e-16
7.300,3.934487e-16
7.350,3.956097e-16
7.400,3.977373e-16
7.450,3.998318e-16
7.500,4.018936e-16
7.550,4.039231e-16
7.600,4.059205e-16
7.650,4.078862e-16
7.700,4.098207e-16
7.750,4.117241e-16
7.800,4.135970e-16
7.850,4.154395e-16
7.900,4.172521e-16
7.950,4.190352e-16
8.000,4.207890e-16
8.050,4.225139e-16
8.100,4.242102e-16
8.150,4.258784e-16
8.200,4.275186e-16
8.250,4.291313e-16
8.300,4.307169e-16
8.350,4.322755e-16
8.400,4.338076e-16
8.450,4.353135e-16
8.500,4.367936e-16
8.550,4.382481e-16
8.600,4.396773e-16
8.650,4.410816e-16
8.700,4.424613e-16
8.750,4.438168e-16
8.800,4.451483e-16
8.850,4.464561e-16
8.900,4.477405e-16
8.950,4.490019e-16
9.000,4.502406e-16
9.050,4.514568e-16
9.100,4.526508e-16
9.150,4.538230e-16
9.200,4.549736e-16
9.250,4.561029e-16
9.300,4.572112e-16
