# E + Ar -> E + Ar(2P2), Excitation
# Source: LXCat, Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)
# Target: Ar -> Ar(2P2)
# Threshold: 13.328 eV
# Comment: from Magboltz 8.97 Sept 2011.
# Updated: 2011-10-20 14:13:57
# Data points: 344
energy_eV,cross_section_m2
13.328,0.0
13.329,2.9762e-26
13.345,5.1843e-25
13.363,1.0459e-24
13.381,1.5826e-24
13.4,2.1286e-24
13.418,2.6841e-24
13.437,3.2493e-24
13.456,3.8243e-24
13.476,4.4093e-24
13.496,5.0046e-24
13.517,5.6102e-24
13.537,6.2263e-24
13.558,6.8532e-24
13.58,7.4911e-24
13.602,8.14e-24
13.624,8.8002e-24
13.646,9.4719e-24
13.669,1.0155e-23
13.693,1.0851e-23
13.716,1.1558e-23
13.741,1.2278e-23
13.765,1.301e-23
13.79,1.3755e-23
13.816,1.4513e-23
13.842,1.5285e-23
13.868,1.6069e-23
13.895,1.6868e-23
13.922,1.768e-23
13.95,1.8506e-23
13.978,1.9347e-23
14.007,2.0177e-23
14.036,2.0937e-23
14.066,2.1711e-23
14.096,2.2498e-23
14.127,2.3299e-23
14.158,2.4113e-23
14.19,2.4942e-23
14.223,2.5786e-23
14.256,2.6644e-23
14.289,2.7517e-23
14.323,2.8405e-23
14.358,2.9308e-23
14.393,3.0228e-23
14.429,3.1163e-23
14.466,3.2115e-23
14.503,3.3083e-23
14.541,3.4068e-23
14.58,3.5071e-23
14.619,3.6091e-23
14.659,3.7128e-23
14.699,3.8184e-23
14.741,3.9258e-23
14.783,4.035e-23
14.825,4.1462e-23
14.869,4.2593e-23
14.913,4.3744e-23
14.958,4.4915e-23
15.004,4.6057e-23
15.051,4.671e-23
15.098,4.7374e-23
15.146,4.8049e-23
15.195,4.8737e-23
15.245,4.9436e-23
15.296,5.0147e-23
15.348,5.0871e-23
15.401,5.1608e-23
15.454,5.2357e-23
15.509,5.3119e-23
15.564,5.3895e-23
15.62,5.4684e-23
15.678,5.5487e-23
15.736,5.6304e-23
15.795,5.7135e-23
15.856,5.7981e-23
