# E + Ar -> E + Ar(3D3), Excitation
# Source: LXCat, Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)
# Target: Ar -> Ar(3D3)
# Threshold: 13.903 eV
# Comment: from Magboltz 8.97 Sept 2011.
# Updated: 2011-10-20 14:13:57
# Data points: 396
energy_eV,cross_section_m2
13.903,0.0
13.904,1.5464e-25
13.92,2.6937e-24
13.938,5.4343e-24
13.956,8.2227e-24
13.975,1.106e-23
13.993,1.3946e-23
14.012,1.6765e-23
14.031,1.9567e-23
14.051,2.2417e-23
14.071,2.5317e-23
14.092,2.8268e-23
14.112,3.127e-23
14.133,3.4324e-23
14.155,3.7431e-23
14.177,4.0593e-23
14.199,4.381e-23
14.221,4.7082e-23
14.244,5.0412e-23
14.268,5.38e-23
14.291,5.7246e-23
14.316,6.0753e-23
14.34,6.4321e-23
14.365,6.7951e-23
14.391,7.1644e-23
14.417,7.5401e-23
14.443,7.9224e-23
14.47,8.3114e-23
14.497,8.7071e-23
14.525,9.1097e-23
14.553,9.5194e-23
14.582,9.9362e-23
14.611,1.036e-22
14.641,1.0792e-22
14.671,1.1231e-22
14.702,1.1677e-22
14.733,1.2131e-22
14.765,1.2594e-22
14.798,1.3064e-22
14.831,1.3543e-22
14.864,1.4029e-22
14.898,1.4525e-22
14.933,1.5029e-22
14.968,1.5542e-22
15.004,1.6061e-22
15.041,1.6573e-22
15.078,1.7095e-22
15.116,1.7625e-22
15.155,1.8165e-22
15.194,1.8714e-22
15.234,1.9273e-22
15.274,1.9841e-22
15.316,2.042e-22
15.358,2.1008e-22
15.4,2.1607e-22
15.444,2.2216e-22
15.488,2.2835e-22
15.533,2.3466e-22
15.579,2.4107e-22
15.626,2.476e-22
15.673,2.5424e-22
15.721,2.6099e-22
15.77,2.6787e-22
15.82,2.7486e-22
15.871,2.8197e-22
15.923,2.8921e-22
15.976,2.9658e-22
16.029,3.0204e-22
16.084,3.0585e-22
16.139,3.0973e-22
16.195,3.1367e-22
16.253,3.1769e-22
16.311,3.2177e-22
16.37,3.2593e-22
16.431,3.3015e-22
16.492,3.3446e-22
16.555,3.3883e-22
16.618,3.4328e-22
16.683,3.4781e-22
16.749,3.5242e-22
16.816,3.5711e-22
16.884,3.6189e-22
16.953,3.6674e-22
17.024,3.7144e-22
17.096,3.7575e-22
17.169,3.8013e-22
17.243,3.8459e-22
17.319,3.8912e-22
17.396,3.9374e-22
17.474,3.9843e-22
17.554,4.0321e-22
17.635,4.0807e-22
17.717,4.1302e-22
17.801,4.1805e-22
17.886,4.2317e-22
17.973,4.2837e-22
18.061,4.3122e-22
18.151,4.3302e-22
18.242,4.3485e-22
18.336,4.3671e-22
18.43,4.386e-22
18.526,4.4053e-22
18.624,4.4249e-22
18.724,4.4448e-22
18.825,4.4651e-22
18.929,4.4857e-22
19.034,4.4966e-22
19.14,4.486e-22
19.249,4.4751e-22
19.36,4.464e-22
19.472,4.4528e-22
19.586,4.4414e-22
19.703,4.4297e-22
19.821,4.4179e-22
19.942,4.4058e-22
20.064,4.3936e-22
20.189,4.3811e-22
20.316,4.3684e-22
20.445,4.3555e-22
20.577,4.3423e-22
20.71,4.329e-22
20.846,4.3154e-22
20.985,4.3015e-22
21.125,4.2875e-22
21.269,4.2731e-22
21.414,4.2586e-22
21.563,4.2437e-22
21.713,4.2287e-22
21.867,4.2133e-22
22.023,4.1954e-22
22.182,4.1636e-22
22.344,4.1313e-22
22.508,4.0984e-22
22.675,4.0649e-22
22.846,4.0309e-22
23.019,3.9962e-22
23.195,3.961e-22
23.374,3.9251e-22
23.557,3.8887e-22
23.742,3.8515e-22
23.931,3.8138e-22
24.123,3.7754e-22
24.319,3.7363e-22
24.517,3.6965e-22
24.72,3.656e-22
24.926,3.6149e-22
25.135,3.5738e-22
25.348,3.5325e-22
25.565,3.4904e-22
25.785,3.4476e-22
26.01,3.4041e-22
26.238,3.3598e-22
26.471,3.3147e-22
26.707,3.2689e-22
26.947,3.2222e-22
27.192,3.1748e-22
27.441,3.1265e-22
27.694,3.0773e-22
28.214,2.9765e-22
28.752,2.8721e-22
29.309,2.7641e-22
29.595,2.7086e-22
29.885,2.6522e-22
30.482,2.5557e-22
31.1,2.4606e-22
31.417,2.4118e-22
31.739,2.3621e-22
32.068,2.3116e-22
32.401,2.2602e-22
32.741,2.2079e-22
33.087,2.1547e-22
33.438,2.1005e-22
33.796,2.0454e-22
34.16,1.9894e-22
34.53,1.9324e-22
34.907,1.8743e-22
35.29,1.8304e-22
35.68,1.7906e-22
36.077,1.7502e-22
36.481,1.709e-22
36.891,1.6671e-22
37.309,1.6245e-22
37.734,1.5811e-22
38.167,1.537e-22
38.607,1.4921e-22
39.055,1.4464e-22
39.51,1.4e-22
39.974,1.3527e-22
40.445,1.3188e-22
40.925,1.2852e-22
41.413,1.2511e-22
41.91,1.2163e-22
42.415,1.1809e-22
42.929,1.145e-22
43.452,1.1083e-22
43.984,1.0711e-22
44.526,1.0332e-22
45.077,9.9632e-23
45.637,9.6942e-23
46.207,9.4205e-23
46.787,9.142e-23
47.378,8.8587e-23
47.978,8.5705e-23
48.589,8.2772e-23
49.211,7.9788e-23
49.843,7.6752e-23
50.487,7.4588e-23
51.141,7.269e-23
51.808,7.0758e-23
52.485,6.8793e-23
53.175,6.6793e-23
53.876,6.4759e-23
54.59,6.2689e-23
55.316,6.0583e-23
56.055,5.8441e-23
56.807,5.6261e-23
57.571,5.4043e-23
58.349,5.1787e-23
59.141,4.9491e-23
59.947,4.7155e-23
60.766,4.5774e-23
61.6,4.444e-23
62.448,4.3083e-23
63.311,4.1702e-23
64.189,4.0297e-23
65.083,3.8868e-23
65.991,3.7414e-23
66.916,3.5934e-23
67.857,3.4429e-23
68.814,3.2897e-23
69.788,3.1339e-23
70.779,3.0221e-23
71.787,2.9213e-23
72.813,2.8187e-23
73.857,2.7143e-23
74.918,2.6082e-23
75.999,2.5001e-23
77.098,2.3902e-23
78.216,2.2784e-23
79.354,2.1646e-23
80.511,2.0693e-23
81.689,1.9987e-23
82.887,1.9268e-23
84.106,1.8536e-23
85.347,1.7792e-23
86.609,1.7035e-23
87.892,1.6265e-23
89.199,1.5481e-23
90.528,1.481e-23
91.88,1.4323e-23
93.256,1.3828e-23
94.655,1.3324e-23
96.079,1.2811e-23
97.528,1.229e-23
99.002,1.1759e-23
100.5,1.123e-23
102.03,1.0734e-23
103.58,1.0258e-23
105.16,9.8028e-24
106.77,9.3668e-24
108.4,8.9493e-24
110.07,8.5496e-24
111.76,8.1671e-24
113.48,7.8009e-24
115.23,7.4504e-24
117.01,7.1151e-24
118.83,6.7943e-24
120.67,6.4874e-24
122.55,6.1938e-24
124.46,5.913e-24
126.4,5.6444e-24
128.38,5.3877e-24
130.39,5.1421e-24
132.44,4.9074e-24
