# E + Ar -> E + Ar(3S2), Excitation
# Source: LXCat, Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)
# Target: Ar -> Ar(3S2)
# Threshold: 15.022 eV
# Comment: from Magboltz 8.97 Sept 2011.
# Updated: 2011-10-20 14:22:59
# Data points: 229
energy_eV,cross_section_m2
15.022,0.0
15.023,3.2062e-31
15.039,7.8789e-28
15.057,3.326e-27
15.075,7.6914e-27
15.094,1.3962e-26
15.112,2.2218e-26
15.131,3.2541e-26
15.15,4.5017e-26
15.17,5.9733e-26
15.19,7.6777e-26
15.211,9.6243e-26
15.231,1.1822e-25
15.252,1.4282e-25
15.274,1.7012e-25
15.296,2.0024e-25
15.318,2.3328e-25
15.34,2.6935e-25
15.363,3.0855e-25
15.387,3.51e-25
15.41,3.9681e-25
15.435,4.4611e-25
15.459,4.9901e-25
15.484,5.5564e-25
15.51,6.1612e-25
15.536,6.8058e-25
15.562,7.4917e-25
15.589,8.22e-25
15.616,8.9922e-25
15.644,9.8098e-25
15.672,1.0674e-24
15.701,1.1587e-24
15.73,1.2549e-24
15.76,1.3562e-24
15.79,1.4629e-24
15.821,1.5749e-24
15.852,1.6926e-24
15.884,1.8161e-24
15.917,1.9454e-24
15.95,2.0809e-24
15.983,2.2227e-24
16.017,2.3709e-24
16.052,2.5257e-24
16.087,2.6874e-24
16.123,2.856e-24
16.16,3.0319e-24
16.197,3.2151e-24
16.235,3.4058e-24
16.274,3.6044e-24
16.313,3.8109e-24
16.353,4.0255e-24
16.393,4.2485e-24
16.435,4.4801e-24
16.477,4.7204e-24
16.519,4.9697e-24
16.563,5.2282e-24
16.607,5.4961e-24
16.652,5.7736e-24
16.698,6.0609e-24
16.745,6.3582e-24
16.792,6.6658e-24
16.84,6.9839e-24
16.889,7.3126e-24
16.939,7.6522e-24
16.99,8.003e-24
17.042,8.365e-24
17.095,8.7387e-24
17.148,9.1241e-24
17.203,9.5215e-24
17.258,9.9311e-24
17.314,1.0353e-23
17.372,1.0788e-23
17.43,1.1235e-23
17.489,1.1696e-23
17.55,1.217e-23
17.611,1.2657e-23
17.674,1.3158e-23
17.737,1.3673e-23
17.802,1.4202e-23
17.868,1.4746e-23
17.935,1.5304e-23
18.003,1.5876e-23
18.072,1.6464e-23
18.143,1.7066e-23
18.215,1.7684e-23
18.288,1.8317e-23
18.362,1.8966e-23
18.438,1.963e-23
18.515,2.031e-23
18.593,2.1007e-23
18.673,2.1719e-23
18.754,2.2448e-23
18.836,2.3193e-23
18.92,2.3955e-23
19.005,2.4733e-23
19.092,2.5528e-23
19.18,2.634e-23
19.27,2.7169e-23
19.361,2.8015e-23
19.455,2.8878e-23
19.549,2.9758e-23
19.645,3.0655e-23
19.743,3.157e-23
19.843,3.2501e-23
19.944,3.345e-23
