# Ionisation rate (biagi)
Te_eV,Kiz_m3s
0.500,2.123946e-28
0.550,3.951499e-27
0.600,4.541271e-26
0.650,3.601784e-25
0.700,2.133912e-24
0.750,1.000895e-23
0.800,3.882301e-23
0.850,1.287556e-22
0.900,3.747086e-22
0.950,9.767354e-22
1.000,2.318167e-21
1.050,5.076577e-21
1.100,1.037011e-20
1.150,1.993835e-20
1.200,3.635362e-20
1.250,6.325547e-20
1.300,1.055991e-19
1.350,1.699070e-19
1.400,2.645136e-19
1.450,3.997920e-19
1.500,5.883547e-19
1.550,8.452206e-19
1.600,1.187944e-18
1.650,1.636701e-18
1.700,2.214336e-18
1.750,2.946360e-18
1.800,3.860914e-18
1.850,4.988693e-18
1.900,6.362833e-18
1.950,8.018775e-18
2.000,9.994095e-18
2.050,1.232832e-17
2.100,1.506274e-17
2.150,1.824017e-17
2.200,2.190473e-17
2.250,2.610168e-17
2.300,3.087711e-17
2.350,3.627778e-17
2.400,4.235087e-17
2.450,4.914380e-17
2.500,5.670402e-17
2.550,6.507880e-17
2.600,7.431509e-17
2.650,8.445932e-17
2.700,9.555725e-17
2.750,1.076539e-16
2.800,1.207932e-16
2.850,1.350182e-16
2.900,1.503708e-16
2.950,1.668915e-16
3.000,1.846197e-16
3.050,2.035931e-16
3.100,2.238483e-16
3.150,2.454202e-16
3.200,2.683422e-16
3.250,2.926462e-16
3.300,3.183623e-16
3.350,3.455192e-16
3.400,3.741439e-16
3.450,4.042619e-16
3.500,4.358969e-16
3.550,4.690712e-16
3.600,5.038053e-16
3.650,5.401183e-16
3.700,5.780277e-16
3.750,6.175494e-16
3.800,6.586979e-16
3.850,7.014862e-16
3.900,7.459260e-16
3.950,7.920273e-16
4.000,8.397991e-16
4.050,8.892488e-16
4.100,9.403826e-16
4.150,9.932056e-16
4.200,1.047722e-15
4.250,1.103933e-15
4.300,1.161842e-15
4.350,1.221448e-15
4.400,1.282751e-15
4.450,1.345750e-15
4.500,1.410441e-15
4.550,1.476822e-15
4.600,1.544888e-15
4.650,1.614634e-15
4.700,1.686054e-15
4.750,1.759142e-15
4.800,1.833890e-15
4.850,1.910290e-15
4.900,1.988334e-15
4.950,2.068012e-15
5.000,2.149314e-15
5.050,2.232231e-15
5.100,2.316750e-15
5.150,2.402862e-15
5.200,2.490553e-15
5.250,2.579813e-15
5.300,2.670628e-15
5.350,2.762986e-15
5.400,2.856874e-15
5.450,2.952277e-15
5.500,3.049182e-15
5.550,3.147576e-15
5.600,3.247443e-15
5.650,3.348770e-15
5.700,3.451542e-15
5.750,3.555744e-15
5.800,3.661361e-15
5.850,3.768379e-15
5.900,3.876781e-15
5.950,3.986553e-15
6.000,4.097679e-15
6.050,4.210145e-15
6.100,4.323934e-15
6.150,4.439031e-15
6.200,4.555421e-15
6.250,4.673088e-15
6.300,4.792017e-15
6.350,4.912192e-15
6.400,5.033598e-15
6.450,5.156219e-15
6.500,5.280040e-15
6.550,5.405045e-15
6.600,5.531220e-15
6.650,5.658549e-15
6.700,5.787016e-15
6.750,5.916608e-15
6.800,6.047308e-15
6.850,6.179102e-15
6.900,6.311976e-15
6.950,6.445913e-15
7.000,6.580900e-15
7.050,6.716922e-15
7.100,6.853965e-15
7.150,6.992014e-15
