# E + Ar -> E + Ar, Elastic
# Source: LXCat, Biagi-v7.1 (Magboltz version 7.1)
# Target: Ar
# m/M: 1.36e-05
# Comment: From Biagi elastic MOMENTUM-TRANSFER CROSS SECTION.
# Updated: 2011-01-19 09:34:55
# Data points: 202
energy_eV,cross_section_m2
0.0,7.1e-20
0.001,6.2984e-20
0.002,5.835e-20
0.005,4.9775e-20
0.01,4.113e-20
0.02,3.0713e-20
0.05,1.5709e-20
0.1,6.0622e-21
0.1092,5.117e-21
0.1482,2.5191e-21
0.1885,1.3307e-21
0.2303,9.7629e-22
0.2735,1.139e-21
0.3183,1.6289e-21
0.3646,2.3267e-21
0.4125,3.1552e-21
0.4622,4.0645e-21
0.5136,5.0231e-21
0.5668,6.0123e-21
0.6218,7.0233e-21
0.6788,8.0546e-21
0.7378,9.1105e-21
0.7989,1.02e-20
0.8621,1.1337e-20
0.9275,1.2537e-20
0.9953,1.3821e-20
1.0654,1.4791e-20
1.138,1.5767e-20
1.2131,1.677e-20
1.2909,1.7781e-20
1.3714,1.8828e-20
1.4547,1.9911e-20
1.541,2.1074e-20
1.6303,2.2324e-20
1.7227,2.358e-20
1.8184,2.476e-20
1.9174,2.5982e-20
2.02,2.7291e-20
2.1261,2.8841e-20
2.2359,3.0445e-20
2.3497,3.2105e-20
2.4674,3.3824e-20
2.5892,3.5585e-20
2.7154,3.7401e-20
2.8459,3.9281e-20
2.9811,4.1227e-20
3.121,4.3315e-20
3.2658,4.5487e-20
3.4157,4.7736e-20
3.5709,5.0063e-20
3.7315,5.2473e-20
3.8978,5.4967e-20
4.0699,5.7751e-20
4.2481,6.0938e-20
4.4325,6.4237e-20
4.6234,6.7652e-20
4.821,7.1187e-20
5.0256,7.5076e-20
5.2373,7.9015e-20
5.4565,8.3092e-20
5.6834,8.7312e-20
5.9183,9.1681e-20
6.1614,9.6284e-20
6.4131,1.0109e-19
6.6736,1.0608e-19
6.9433,1.118e-19
7.2224,1.17e-19
7.5114,1.222e-19
7.8105,1.2759e-19
8.1201,1.3269e-19
8.4406,1.3721e-19
8.7724,1.4165e-19
9.1158,1.4516e-19
9.4713,1.4871e-19
9.8393,1.5239e-19
10.2202,1.5488e-19
10.6145,1.5646e-19
11.0,1.58e-19
11.6,1.58e-19
12.2,1.571e-19
12.8038,1.5478e-19
13.2889,1.5256e-19
13.7911,1.4957e-19
14.3109,1.4582e-19
14.8489,1.4206e-19
15.4059,1.3735e-19
15.9824,1.3216e-19
16.5792,1.2915e-19
17.197,1.2257e-19
17.8365,1.1574e-19
18.4984,1.1101e-19
19.1837,1.069e-19
19.893,1.0264e-19
20.6272,9.899e-20
21.3872,9.5341e-20
22.1739,9.1565e-20
22.9883,8.7656e-20
23.8313,8.361e-20
24.704,7.9421e-20
25.6073,7.6118e-20
26.5423,7.3219e-20
27.5102,7.0218e-20
28.5121,6.7113e-20
29.5492,6.3897e-20
30.6228,6.1379e-20
31.7341,5.9379e-20
32.8844,5.7308e-20
34.0752,5.5165e-20
35.3078,5.2946e-20
36.5837,5.0649e-20
37.9045,4.8272e-20
39.2717,4.5811e-20
40.6869,4.3847e-20
42.1519,4.2456e-20
43.6684,4.1015e-20
45.2381,3.9524e-20
46.863,3.798e-20
48.545,3.6382e-20
50.2861,3.48e-20
52.0884,3.3538e-20
53.9541,3.2232e-20
55.8853,3.088e-20
57.8844,2.9481e-20
59.9537,2.8032e-20
62.0957,2.6743e-20
64.3131,2.5412e-20
66.6083,2.4035e-20
68.9842,2.2609e-20
71.4436,2.1711e-20
73.9894,2.1202e-20
76.6247,2.0675e-20
79.3526,2.0129e-20
82.1764,1.9401e-20
85.0994,1.8598e-20
88.1251,1.7766e-20
91.2571,1.6904e-20
94.4993,1.6013e-20
97.8553,1.509e-20
101.3293,1.4354e-20
104.9254,1.3958e-20
108.6478,1.3549e-20
112.5011,1.3125e-20
116.4898,1.2686e-20
120.6186,1.2232e-20
124.8925,1.1762e-20
129.3167,1.1275e-20
133.8963,1.0771e-20
138.6368,1.025e-20
143.544,9.7102e-21
148.6236,9.1514e-21
153.8817,8.7904e-21
159.3245,8.4965e-21
164.9587,8.1922e-21
170.7908,7.8773e-21
176.8279,7.5513e-21
183.0772,7.2138e-21
189.5461,6.8645e-21
196.2423,6.5029e-21
203.1738,6.2445e-21
210.3489,6.1189e-21
217.7762,5.9889e-21
225.4644,5.8544e-21
233.4229,5.7151e-21
241.661,5.5709e-21
250.1886,5.4217e-21
259.016,5.2672e-21
268.1535,5.1073e-21
277.6121,4.9418e-21
287.4032,4.7704e-21
297.5383,4.5931e-21
308.0295,4.4095e-21
318.8895,4.2194e-21
330.1311,4.0227e-21
341.7678,3.8191e-21
353.8134,3.6083e-21
366.2823,3.3901e-21
379.1894,3.1642e-21
392.5501,2.9304e-21
406.3803,2.7894e-21
435.5158,2.7408e-21
466.7351,2.6888e-21
483.1724,2.6614e-21
500.1872,2.633e-21
517.8,2.6037e-21
536.0318,2.5733e-21
554.9043,2.5418e-21
574.4399,2.5093e-21
594.6621,2.4756e-21
615.595,2.4407e-21
637.2635,2.4046e-21
659.6934,2.3672e-21
682.9116,2.3285e-21
706.9458,2.2884e-21
731.8245,2.247e-21
757.5776,2.204e-21
784.2356,2.1596e-21
811.8305,2.1136e-21
840.3951,2.066e-21
869.9636,2.0167e-21
900.5711,1.9657e-21
932.2543,1.9129e-21
965.0509,1.8582e-21
