# E + Ar <-> E + Ar(3d[1/2]0, 3P0, 3d6), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Ar <-> Ar(3d[1/2]0, 3P0, 3d6)
# Threshold: 14.0693 eV
# Statistical weight ratio: 1.0
# Comment: BSR-500.
# Updated: 2013-02-18 21:14:04
# Data points: 149
energy_eV,cross_section_m2
14.0693,0.0
14.0817,2.8595e-25
14.0953,4.131e-25
14.1089,6.4317e-25
14.1225,1.1791e-24
14.1361,1.097e-24
14.1497,2.4568e-24
14.1633,2.4165e-24
14.1769,2.0836e-24
14.1905,2.3319e-24
14.2041,1.9883e-24
14.2178,1.7454e-24
14.2314,1.4674e-24
14.245,1.5811e-24
14.2586,1.5909e-24
14.2722,1.4166e-24
14.2858,1.4635e-24
14.2994,1.4458e-24
14.313,2.0119e-24
14.3266,2.1687e-24
14.3402,2.1251e-24
14.3538,2.1733e-24
14.3674,2.3262e-24
14.381,2.1383e-24
14.3946,2.2472e-24
14.4082,2.2276e-24
14.4218,2.3117e-24
14.4354,2.3993e-24
14.449,2.4745e-24
14.4627,2.5933e-24
14.4763,2.5814e-24
14.4899,2.727e-24
14.5035,2.8022e-24
14.5171,2.977e-24
14.5307,2.9016e-24
14.5443,2.7087e-24
14.5579,2.8416e-24
14.5715,3.1629e-24
14.5851,3.319e-24
14.5987,3.3454e-24
14.6123,3.3797e-24
14.6259,3.346e-24
14.6395,3.4999e-24
14.6531,3.3936e-24
14.6667,3.3955e-24
14.6803,3.4115e-24
14.6939,3.6729e-24
14.7076,3.6204e-24
14.7212,3.5687e-24
14.7348,3.3026e-24
14.7484,3.2293e-24
14.762,3.1223e-24
14.7756,2.8779e-24
14.7892,3.0215e-24
14.8028,3.1696e-24
14.8164,3.4428e-24
14.83,3.4842e-24
14.8436,3.5089e-24
14.8572,3.5651e-24
14.8708,3.8659e-24
14.8844,4.1102e-24
14.898,4.3122e-24
14.9116,4.1621e-24
14.9252,3.3513e-24
14.9388,3.2143e-24
14.9661,4.0433e-24
14.9797,4.4045e-24
14.9933,2.7298e-24
15.0069,3.3078e-24
15.0205,3.5342e-24
15.0341,3.5406e-24
15.0477,3.8776e-24
15.0613,4.2554e-24
15.0749,4.7034e-24
15.0885,4.7226e-24
15.1021,5.2066e-24
15.1157,4.2055e-24
15.1293,3.6051e-24
15.1429,4.7776e-24
15.1565,4.6929e-24
15.1837,6.1505e-24
15.1974,5.9577e-24
15.211,5.7169e-24
15.2246,5.7497e-24
15.2382,6.5273e-24
15.2518,6.4211e-24
15.2654,5.8248e-24
15.279,5.9982e-24
15.2926,6.3921e-24
15.3062,6.0016e-24
15.3198,6.105e-24
15.3334,6.4472e-24
15.347,7.0261e-24
15.3606,6.5049e-24
15.3742,7.027e-24
15.3878,6.8853e-24
15.4014,7.3461e-24
15.415,7.6631e-24
15.4286,6.843e-24
15.4423,6.9209e-24
15.4559,6.6414e-24
15.4695,6.8799e-24
15.4831,7.5733e-24
15.4967,6.4349e-24
15.5103,6.8977e-24
15.5239,7.3395e-24
15.5375,7.2226e-24
15.5511,7.4313e-24
15.5647,7.7213e-24
15.5783,7.5579e-24
15.5919,7.5718e-24
15.6055,7.6354e-24
15.6191,7.9284e-24
15.6327,8.0019e-24
15.6463,7.9437e-24
15.6599,7.8053e-24
15.6735,8.0246e-24
15.6872,7.8337e-24
15.7008,8.0236e-24
15.7144,8.252e-24
15.728,8.6543e-24
15.7416,8.7792e-24
15.7552,8.9136e-24
15.7688,8.4232e-24
15.7824,8.2195e-24
15.796,8.0859e-24
15.8096,8.3575e-24
15.8232,9.3496e-24
15.8368,8.3553e-24
16.0001,9.4841e-24
17.5001,1.7055e-23
20.0001,2.3656e-23
25.0001,2.5798e-23
30.0001,2.324e-23
40.0002,1.3761e-23
50.0002,7.9311e-24
60.0003,4.981e-24
70.0003,3.4564e-24
80.0004,2.4022e-24
90.0004,1.9189e-24
100.0005,1.5488e-24
125.0006,8.9276e-25
150.0007,5.0286e-25
175.0008,3.0416e-25
200.001,1.9589e-25
225.0011,1.3018e-25
250.0012,9.0023e-26
275.0013,6.3972e-26
300.0014,4.5196e-26
