# E + Ar -> E + Ar(3d[3/2]1), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Ar -> Ar(3d[3/2]1)
# Threshold: 14.227 eV
# Updated: 2016-05-29 20:48:10
# Data points: 150
energy_eV,cross_section_m2
14.2266,0.0
14.2314,2.38875e-24
14.245,5.60607e-24
14.2586,9.17272e-24
14.2722,9.90161e-24
14.2858,1.0136e-23
14.2994,1.04384e-23
14.313,1.19536e-23
14.3266,1.51823e-23
14.3402,1.55167e-23
14.3538,1.71229e-23
14.3674,1.7929e-23
14.381,1.88598e-23
14.3946,1.89143e-23
14.4082,1.9349e-23
14.4218,2.02555e-23
14.4354,2.23091e-23
14.449,2.12367e-23
14.4627,2.23675e-23
14.4763,2.23984e-23
14.4899,2.14382e-23
14.5035,2.21966e-23
14.5171,2.34604e-23
14.5307,2.48589e-23
14.5443,2.48777e-23
14.5579,2.1674e-23
14.5715,2.34855e-23
14.5851,2.05236e-23
14.5987,1.87646e-23
14.6123,1.88049e-23
14.6259,1.96094e-23
14.6395,1.90184e-23
14.6531,1.80213e-23
14.6667,1.85685e-23
14.6803,1.92852e-23
14.6939,1.97935e-23
14.7076,2.08166e-23
14.7212,2.07849e-23
14.7348,2.0928e-23
14.7484,2.09052e-23
14.762,2.20657e-23
14.7756,2.16468e-23
14.7892,2.16239e-23
14.8028,2.14809e-23
14.8164,2.1267e-23
14.83,2.08429e-23
14.8436,2.11522e-23
14.8572,2.01838e-23
14.8708,2.23673e-23
14.8844,2.24201e-23
14.898,2.22649e-23
14.9116,2.18498e-23
14.9252,2.14304e-23
14.9388,2.13845e-23
14.9661,2.23997e-23
14.9797,2.27542e-23
14.9933,2.31872e-23
15.0069,2.209e-23
15.0205,2.06141e-23
15.0341,2.2422e-23
15.0477,2.21718e-23
15.0613,2.4265e-23
15.0749,2.55411e-23
15.0885,2.5325e-23
15.1021,2.66948e-23
15.1157,3.04235e-23
15.1293,2.99305e-23
15.1429,3.13114e-23
15.1565,3.31173e-23
15.1837,3.16513e-23
15.1974,3.36318e-23
15.211,3.31066e-23
15.2246,3.27123e-23
15.2382,3.40115e-23
15.2518,3.42762e-23
15.2654,3.48455e-23
15.279,3.38815e-23
15.2926,3.25911e-23
15.3062,3.23932e-23
15.3198,3.38375e-23
15.3334,3.64903e-23
15.347,3.81506e-23
15.3606,3.82047e-23
15.3742,3.80315e-23
15.3878,4.03989e-23
15.415,4.29565e-23
15.4286,4.43707e-23
15.4423,4.63569e-23
15.4559,4.73853e-23
15.4695,4.691e-23
15.4831,4.58917e-23
15.4967,4.4976e-23
15.5103,4.29059e-23
15.5239,4.67143e-23
15.5375,4.59706e-23
15.5511,4.52358e-23
15.5647,4.59693e-23
15.5783,4.74308e-23
15.5919,4.82086e-23
15.6055,4.93684e-23
15.6191,4.94022e-23
15.6327,4.77516e-23
15.6463,4.6223e-23
15.6599,4.69729e-23
15.6735,4.58645e-23
15.6872,4.78487e-23
15.7008,4.59659e-23
15.7144,4.51888e-23
15.728,4.34794e-23
15.7416,4.16059e-23
15.7552,4.02301e-23
15.7688,3.9971e-23
15.7824,4.12508e-23
15.796,3.83514e-23
15.8096,3.75919e-23
15.8232,3.70066e-23
15.8368,3.56281e-23
16.0001,3.65138e-23
16.7501,7.36671e-23
17.2501,5.88351e-23
17.5001,1.1211e-22
18.0001,1.01281e-22
18.0501,1.02113e-22
18.1001,1.00208e-22
18.1501,9.33622e-23
18.2501,8.93093e-23
19.2501,1.81332e-22
20.0001,1.03931e-22
21.0001,1.71441e-22
22.0001,1.1854e-22
23.0001,1.84603e-22
24.0001,1.54172e-22
25.0001,1.85176e-22
30.0001,2.27893e-22
35.0002,2.82602e-22
40.0002,3.24164e-22
50.0002,3.94934e-22
60.0003,4.47797e-22
70.0003,4.76544e-22
80.0004,4.88275e-22
90.0004,4.92585e-22
100.0,4.91998e-22
125.001,4.77251e-22
150.001,4.55827e-22
175.001,4.33451e-22
200.001,4.11996e-22
225.001,3.91907e-22
250.001,3.72657e-22
275.001,3.54145e-22
300.001,3.35295e-22
