# E + Ar <-> E + Ar(3d![3/2]1, 1P1, 3s1!), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Ar <-> Ar(3d![3/2]1, 1P1, 3s1!)
# Threshold: 14.376 eV
# Statistical weight ratio: 3.0
# Comment: BSR-500.
# Updated: 2013-02-18 21:14:04
# Data points: 127
energy_eV,cross_section_m2
14.3761,0.0
14.381,3.1861e-24
14.3946,4.73e-24
14.4082,6.0599e-24
14.4218,7.438e-24
14.4354,8.1631e-24
14.449,7.9539e-24
14.4627,8.6749e-24
14.4763,9.6689e-24
14.4899,1.068e-23
14.5035,1.17e-23
14.5171,1.1576e-23
14.5307,1.2185e-23
14.5443,1.2547e-23
14.5579,1.2489e-23
14.5715,1.2591e-23
14.5851,1.1666e-23
14.5987,1.1757e-23
14.6123,1.247e-23
14.6259,1.2983e-23
14.6395,1.2609e-23
14.6531,1.3064e-23
14.6667,1.3529e-23
14.6803,1.4104e-23
14.6939,1.4394e-23
14.7076,1.4581e-23
14.7212,1.531e-23
14.7348,1.6542e-23
14.7484,1.8475e-23
14.762,2.01e-23
14.7756,1.8948e-23
14.7892,1.9227e-23
14.8028,1.9095e-23
14.8164,1.8485e-23
14.83,1.6444e-23
14.8436,1.7754e-23
14.8572,1.7615e-23
14.8708,1.8792e-23
14.8844,1.8624e-23
14.898,1.8954e-23
14.9116,1.8396e-23
14.9252,1.8901e-23
14.9388,1.9572e-23
14.9661,2.0389e-23
14.9797,2.0125e-23
14.9933,2.0403e-23
15.0069,1.9606e-23
15.0205,1.9377e-23
15.0341,1.9899e-23
15.0477,1.8027e-23
15.0613,1.9193e-23
15.0749,1.896e-23
15.0885,2.0065e-23
15.1021,2.1596e-23
15.1157,2.2248e-23
15.1293,2.2557e-23
15.1429,2.3442e-23
15.1565,2.432e-23
15.1837,2.5742e-23
15.1974,2.7548e-23
15.211,2.6675e-23
15.2246,2.7043e-23
15.2382,3.1034e-23
15.2518,2.6348e-23
15.2654,2.57e-23
15.279,2.6276e-23
15.2926,2.6609e-23
15.3062,2.5543e-23
15.3198,2.5465e-23
15.3334,2.5487e-23
15.347,2.4913e-23
15.3606,2.5307e-23
15.3742,2.3703e-23
15.3878,2.4798e-23
15.4014,2.4936e-23
15.415,2.4216e-23
15.4286,2.3547e-23
15.4423,2.5161e-23
15.4559,2.543e-23
15.4695,2.4918e-23
15.4831,2.4364e-23
15.4967,2.2459e-23
15.5103,2.3968e-23
15.5239,2.4771e-23
15.5375,2.5431e-23
15.5511,2.5911e-23
15.5647,3.0464e-23
15.5783,2.8306e-23
15.5919,2.9916e-23
15.6055,3.0758e-23
15.6191,3.0301e-23
15.6327,3.0531e-23
15.6463,3.1502e-23
15.6599,3.2672e-23
15.6735,3.2604e-23
15.6872,3.293e-23
15.7008,3.1467e-23
15.7144,3.2575e-23
15.728,3.24e-23
15.7416,3.3598e-23
15.7552,3.3552e-23
15.7688,3.4358e-23
15.7824,3.5633e-23
15.796,3.4045e-23
15.8096,3.6271e-23
15.8232,3.6393e-23
15.8368,3.8196e-23
16.0001,4.3459e-23
17.5001,6.8426e-23
20.0001,1.056e-22
25.0001,1.4443e-22
30.0001,1.7267e-22
40.0002,2.2354e-22
50.0002,2.5483e-22
60.0003,2.9189e-22
70.0003,3.0982e-22
80.0004,3.1822e-22
90.0004,3.2155e-22
100.0005,3.2142e-22
125.0006,3.1203e-22
150.0007,2.9829e-22
175.0008,2.8384e-22
200.001,2.6989e-22
225.0011,2.5685e-22
250.0012,2.4435e-22
275.0013,2.3234e-22
300.0014,2.2007e-22
