# E + Ar <-> E + Ar(3d [5/2]2, 3F2, 3d1!!), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Ar <-> Ar(3d [5/2]2, 3F2, 3d1!!)
# Threshold: 14.2 eV
# Statistical weight ratio: 5.0
# Comment: BSR-500.
# Updated: 2013-02-18 21:14:04
# Data points: 140
energy_eV,cross_section_m2
14.2004,0.0
14.2041,1.4311e-24
14.2178,2.3286e-24
14.2314,2.407e-24
14.245,3.1214e-24
14.2586,3.1686e-24
14.2722,3.0639e-24
14.2858,2.9278e-24
14.2994,3.0282e-24
14.313,3.1338e-24
14.3266,3.5322e-24
14.3402,3.5703e-24
14.3538,3.7409e-24
14.3674,3.5779e-24
14.381,2.9421e-24
14.3946,2.8679e-24
14.4082,3.2886e-24
14.4218,3.2818e-24
14.4354,3.2918e-24
14.449,3.3329e-24
14.4627,3.5469e-24
14.4763,3.7969e-24
14.4899,3.9364e-24
14.5035,4.2397e-24
14.5171,4.6795e-24
14.5307,4.6067e-24
14.5443,4.4301e-24
14.5579,4.246e-24
14.5715,4.7117e-24
14.5851,4.9471e-24
14.5987,5.6137e-24
14.6123,5.3928e-24
14.6259,5.0825e-24
14.6395,4.6446e-24
14.6531,5.4449e-24
14.6667,5.5212e-24
14.6803,6.1238e-24
14.6939,6.4379e-24
14.7076,7.0304e-24
14.7212,6.6372e-24
14.7348,6.7464e-24
14.7484,6.8164e-24
14.762,6.7855e-24
14.7756,7.0139e-24
14.7892,7.1096e-24
14.8028,7.5289e-24
14.8164,8.1334e-24
14.83,7.7459e-24
14.8436,8.2233e-24
14.8572,8.4429e-24
14.8708,8.0419e-24
14.8844,8.5433e-24
14.898,8.2165e-24
14.9116,7.6827e-24
14.9252,7.4463e-24
14.9388,7.6767e-24
14.9661,8.7838e-24
14.9797,7.299e-24
14.9933,9.7131e-24
15.0069,1.0051e-23
15.0205,7.6435e-24
15.0341,7.9322e-24
15.0477,7.7668e-24
15.0613,7.2209e-24
15.0749,7.5103e-24
15.0885,7.2212e-24
15.1021,7.1859e-24
15.1157,6.9804e-24
15.1293,7.2593e-24
15.1429,7.4361e-24
15.1565,7.8917e-24
15.1837,8.1266e-24
15.1974,8.1752e-24
15.211,7.5799e-24
15.2246,7.1103e-24
15.2382,7.4342e-24
15.2518,7.5392e-24
15.2654,7.6512e-24
15.279,7.8957e-24
15.2926,7.9036e-24
15.3062,8.4901e-24
15.3198,9.4685e-24
15.3334,1.0719e-23
15.347,1.0707e-23
15.3606,9.5493e-24
15.3742,1.0157e-23
15.3878,9.352e-24
15.4014,9.5761e-24
15.415,8.9092e-24
15.4286,7.9262e-24
15.4423,9.1198e-24
15.4559,9.3534e-24
15.4695,9.8551e-24
15.4831,9.9454e-24
15.4967,1.084e-23
15.5103,1.1156e-23
15.5239,1.1226e-23
15.5375,1.1999e-23
15.5511,1.2179e-23
15.5647,1.162e-23
15.5783,1.1957e-23
15.5919,1.2085e-23
15.6055,1.3264e-23
15.6191,1.3389e-23
15.6327,1.3349e-23
15.6463,1.3609e-23
15.6599,1.478e-23
15.6735,1.4842e-23
15.6872,1.4116e-23
15.7008,1.4779e-23
15.7144,1.5736e-23
15.728,1.3723e-23
15.7416,1.3479e-23
15.7552,1.34e-23
15.7688,1.2689e-23
15.7824,1.2365e-23
15.796,1.2789e-23
15.8096,1.1434e-23
15.8232,1.1738e-23
15.8368,1.0929e-23
16.0001,1.1639e-23
17.5001,2.1426e-23
20.0001,2.8331e-23
25.0001,2.7639e-23
30.0001,2.3582e-23
40.0002,1.2913e-23
50.0002,7.4126e-24
60.0003,4.7771e-24
70.0003,3.671e-24
80.0004,2.5273e-24
90.0004,2.0292e-24
100.0005,1.592e-24
125.0006,9.3352e-25
150.0007,5.6724e-25
175.0008,3.7724e-25
200.001,2.7624e-25
225.0011,1.9656e-25
250.0012,1.4965e-25
275.0013,1.1634e-25
300.0014,9.1804e-26
