# E + Ar <-> E + Ar(3d![5/2]3, 3D3, 3s1!!!), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Ar <-> Ar(3d![5/2]3, 3D3, 3s1!!!)
# Threshold: 14.348 eV
# Statistical weight ratio: 7.0
# Comment: BSR-500.
# Updated: 2013-02-18 21:14:04
# Data points: 129
energy_eV,cross_section_m2
14.3479,0.0
14.3538,3.8807e-24
14.3674,5.2188e-24
14.381,4.6235e-24
14.3946,4.2709e-24
14.4082,2.8591e-24
14.4218,3.0856e-24
14.4354,2.9906e-24
14.449,2.8268e-24
14.4627,2.7153e-24
14.4763,2.8793e-24
14.4899,2.6419e-24
14.5035,2.4512e-24
14.5171,2.5827e-24
14.5307,2.6081e-24
14.5443,2.7186e-24
14.5579,2.784e-24
14.5715,3.1051e-24
14.5851,3.528e-24
14.5987,3.843e-24
14.6123,4.3111e-24
14.6259,4.2668e-24
14.6395,4.6176e-24
14.6531,4.992e-24
14.6667,5.4162e-24
14.6803,5.7043e-24
14.6939,6.2432e-24
14.7076,6.3069e-24
14.7212,5.9892e-24
14.7348,6.3446e-24
14.7484,6.9529e-24
14.762,7.5397e-24
14.7756,7.8102e-24
14.7892,6.5631e-24
14.8028,7.0855e-24
14.8164,8.2238e-24
14.83,9.6578e-24
14.8436,1.0578e-23
14.8572,1.0202e-23
14.8708,1.0347e-23
14.8844,1.0578e-23
14.898,1.0306e-23
14.9116,9.9292e-24
14.9252,9.8913e-24
14.9388,9.7909e-24
14.9661,8.148e-24
14.9797,7.2931e-24
14.9933,8.0111e-24
15.0069,7.6003e-24
15.0205,8.791e-24
15.0341,9.084e-24
15.0477,7.3141e-24
15.0613,6.6212e-24
15.0749,6.9322e-24
15.0885,6.7603e-24
15.1021,6.6042e-24
15.1157,6.8838e-24
15.1293,7.007e-24
15.1429,7.1564e-24
15.1565,7.1695e-24
15.1837,7.4376e-24
15.1974,7.6302e-24
15.211,7.8674e-24
15.2246,7.307e-24
15.2382,7.3882e-24
15.2518,8.4089e-24
15.2654,7.96e-24
15.279,7.9184e-24
15.2926,8.0218e-24
15.3062,7.8559e-24
15.3198,7.4992e-24
15.3334,7.9348e-24
15.347,8.1984e-24
15.3606,8.3634e-24
15.3742,8.1699e-24
15.3878,7.8165e-24
15.4014,7.435e-24
15.415,6.0602e-24
15.4286,8.124e-24
15.4423,8.213e-24
15.4559,7.9881e-24
15.4695,6.7881e-24
15.4831,6.1792e-24
15.4967,6.1681e-24
15.5103,7.2857e-24
15.5239,7.1497e-24
15.5375,7.2841e-24
15.5511,6.7999e-24
15.5647,1.342e-23
15.5783,6.4946e-24
15.5919,6.9696e-24
15.6055,6.6939e-24
15.6191,6.1893e-24
15.6327,5.7229e-24
15.6463,5.6505e-24
15.6599,5.6449e-24
15.6735,6.2038e-24
15.6872,6.0037e-24
15.7008,5.7022e-24
15.7144,5.9846e-24
15.728,6.2315e-24
15.7416,6.2113e-24
15.7552,6.1679e-24
15.7688,5.7688e-24
15.7824,6.1043e-24
15.796,5.5593e-24
15.8096,4.8319e-24
15.8232,4.8002e-24
15.8368,4.8607e-24
16.0001,5.6352e-24
17.5001,9.4372e-24
20.0001,1.0989e-23
25.0001,1.5186e-23
30.0001,1.7361e-23
40.0002,2.0667e-23
50.0002,2.274e-23
60.0003,2.3101e-23
70.0003,2.2666e-23
80.0004,2.099e-23
90.0004,1.9741e-23
100.0005,1.8642e-23
125.0006,1.6053e-23
150.0007,1.4194e-23
175.0008,1.2705e-23
200.001,1.1605e-23
225.0011,1.0765e-23
250.0012,1.0065e-23
275.0013,9.4749e-24
300.0014,8.9382e-24
