# E + Ar -> E + Ar(4p[3/2]1), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Ar -> Ar(4p[3/2]1)
# Threshold: 13.276 eV
# Updated: 2016-05-29 20:48:10
# Data points: 220
energy_eV,cross_section_m2
13.276,0.0
13.279,9.76868e-26
13.2926,6.04027e-25
13.3062,1.57717e-24
13.3198,2.47281e-24
13.3334,3.38413e-24
13.347,4.40503e-24
13.3606,4.97739e-24
13.3742,5.59893e-24
13.3878,6.43057e-24
13.4014,7.35028e-24
13.415,8.26588e-24
13.4286,9.0292e-24
13.4422,9.41299e-24
13.4558,9.76034e-24
13.4695,1.01015e-23
13.4831,1.01495e-23
13.4967,1.01779e-23
13.5103,1.03387e-23
13.5239,1.04749e-23
13.5375,1.03652e-23
13.5511,1.06037e-23
13.5647,1.14071e-23
13.5783,1.03322e-23
13.5919,5.81122e-24
13.6055,5.85029e-24
13.6191,6.50311e-24
13.6327,7.61446e-24
13.6463,9.36493e-24
13.6599,1.06462e-23
13.6735,1.1655e-23
13.6871,1.25626e-23
13.7007,1.34802e-23
13.7144,1.43325e-23
13.728,1.52036e-23
13.7416,1.5994e-23
13.7552,1.67289e-23
13.7688,1.73933e-23
13.7824,1.80064e-23
13.796,1.85633e-23
13.8096,1.91259e-23
13.8232,1.95773e-23
13.8368,2.00666e-23
13.8504,2.05616e-23
13.864,2.1071e-23
13.8776,2.16086e-23
13.8912,2.20272e-23
13.9048,2.2445e-23
13.9184,2.27364e-23
13.932,2.29229e-23
13.9456,2.28979e-23
13.9593,2.28648e-23
13.9729,2.57515e-23
13.9865,3.54131e-23
14.0001,3.5468e-23
14.0137,3.43397e-23
14.0273,3.38867e-23
14.0409,3.42994e-23
14.0545,3.4992e-23
14.0681,3.57577e-23
14.0817,3.62519e-23
14.0953,4.01113e-23
14.1089,4.41699e-23
14.1225,4.83157e-23
14.1361,4.27582e-23
14.1497,4.0079e-23
14.1633,3.68752e-23
14.1769,3.3326e-23
14.1905,3.0257e-23
14.2041,2.84715e-23
14.2178,2.85812e-23
14.2314,2.78013e-23
14.245,2.71908e-23
14.2586,2.62791e-23
14.2722,2.40991e-23
14.2858,2.50919e-23
14.2994,2.45742e-23
14.313,2.51427e-23
14.3266,2.30122e-23
14.3402,2.37013e-23
14.3538,2.16698e-23
14.3674,2.2244e-23
14.381,2.39687e-23
14.3946,2.41667e-23
14.4082,2.39708e-23
14.4218,2.33452e-23
14.4354,2.42671e-23
14.449,2.42925e-23
14.4627,2.39158e-23
14.4763,2.33552e-23
14.4899,2.40902e-23
14.5035,2.30328e-23
14.5171,2.28082e-23
14.5307,2.323e-23
14.5443,2.39414e-23
14.5579,2.40524e-23
14.5715,2.5316e-23
14.5851,2.42777e-23
14.5987,2.44465e-23
14.6123,2.44476e-23
14.6259,2.48083e-23
14.6395,2.50852e-23
14.6531,2.52343e-23
14.6667,2.4902e-23
14.6803,2.457e-23
14.6939,2.41375e-23
14.7076,2.48165e-23
14.7212,2.54064e-23
14.7348,2.60559e-23
14.7484,2.64037e-23
14.762,2.66635e-23
14.7756,2.75924e-23
14.7892,2.80512e-23
14.8028,2.81788e-23
14.8164,2.78435e-23
14.83,2.77583e-23
14.8436,2.89229e-23
14.8572,2.76566e-23
14.8708,2.77211e-23
14.8844,2.70285e-23
14.898,2.65519e-23
14.9116,2.63734e-23
14.9252,2.62187e-23
14.9388,2.62714e-23
14.9661,2.66179e-23
14.9797,2.65175e-23
14.9933,2.64633e-23
15.0069,2.6784e-23
15.0205,2.78226e-23
15.0341,2.69079e-23
15.0477,2.69339e-23
15.0613,2.75149e-23
15.0749,2.80596e-23
15.0885,2.70737e-23
15.1021,2.69833e-23
15.1157,2.61345e-23
15.1293,2.69683e-23
15.1429,2.5596e-23
15.1565,2.45495e-23
15.1837,2.31033e-23
15.1974,2.33562e-23
15.211,2.24302e-23
15.2246,2.19737e-23
15.2382,2.18505e-23
15.2518,2.44203e-23
15.2654,2.56996e-23
15.279,2.5715e-23
15.2926,2.59407e-23
15.3062,2.5634e-23
15.3198,2.61582e-23
15.3334,2.62402e-23
15.347,2.64412e-23
15.3606,2.6933e-23
15.3742,2.80002e-23
15.3878,2.91245e-23
15.415,3.02649e-23
15.4286,3.2109e-23
15.4423,3.14487e-23
15.4559,3.09449e-23
15.4695,3.17011e-23
15.4831,3.18513e-23
15.4967,3.22741e-23
15.5103,3.12039e-23
15.5239,3.23224e-23
15.5375,3.33156e-23
15.5511,3.43436e-23
15.5647,3.61873e-23
15.5783,3.50047e-23
15.5919,3.49633e-23
15.6055,3.41407e-23
15.6191,3.44008e-23
15.6327,3.57642e-23
15.6463,3.55851e-23
15.6599,3.64523e-23
15.6735,3.66592e-23
15.6872,3.72535e-23
15.7008,3.6946e-23
15.7144,3.7217e-23
15.728,3.82946e-23
15.7416,3.72328e-23
15.7552,3.74313e-23
15.7688,3.70255e-23
15.7824,3.66028e-23
15.796,4.56144e-23
15.8096,3.83916e-23
15.8232,3.7426e-23
15.8368,3.56968e-23
16.0001,3.94882e-23
16.7501,4.88144e-23
17.2501,5.55006e-23
17.5001,5.89114e-23
18.0001,5.50323e-23
18.0501,5.43143e-23
18.1001,5.31587e-23
18.1501,5.37445e-23
18.2501,5.73807e-23
19.2501,6.80299e-23
20.0001,5.82398e-23
21.0001,6.12574e-23
22.0001,5.04161e-23
23.0001,5.47921e-23
24.0001,4.9373e-23
25.0001,5.49437e-23
30.0001,4.16552e-23
