# E + Ar <-> E + Ar(4p[5/2]2, 3D2, p8), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Ar <-> Ar(4p[5/2]2, 3D2, p8)
# Threshold: 13.226 eV
# Statistical weight ratio: 5.0
# Comment: BSR-500.
# Updated: 2013-02-18 21:14:04
# Data points: 211
energy_eV,cross_section_m2
13.2265,0.0
13.2382,2.2144e-23
13.2518,3.7692e-23
13.2654,5.0634e-23
13.279,7.4919e-23
13.2926,8.2657e-23
13.3062,8.7797e-23
13.3198,8.8136e-23
13.3334,8.6514e-23
13.347,8.1756e-23
13.3606,8.0425e-23
13.3742,8.021e-23
13.3878,9.1809e-23
13.4014,7.6983e-23
13.415,7.6345e-23
13.4286,7.7575e-23
13.4422,7.9571e-23
13.4558,8.3177e-23
13.4695,8.5448e-23
13.4831,8.7093e-23
13.4967,8.5889e-23
13.5103,8.5486e-23
13.5239,8.3954e-23
13.5375,8.3466e-23
13.5511,8.2206e-23
13.5647,8.1379e-23
13.5783,7.9071e-23
13.5919,6.9861e-23
13.6055,6.9367e-23
13.6191,6.8753e-23
13.6327,6.9208e-23
13.6463,7.1331e-23
13.6599,7.2792e-23
13.6735,7.4131e-23
13.6871,7.5354e-23
13.7007,7.6448e-23
13.7144,7.7415e-23
13.728,7.8252e-23
13.7416,7.9012e-23
13.7552,7.9694e-23
13.7688,8.0337e-23
13.7824,8.0889e-23
13.796,8.165e-23
13.8096,8.2409e-23
13.8232,8.2988e-23
13.8368,8.367e-23
13.8504,8.4377e-23
13.864,8.5102e-23
13.8776,8.5916e-23
13.8912,8.6277e-23
13.9048,8.7122e-23
13.9184,8.8086e-23
13.932,8.8868e-23
13.9456,9.0025e-23
13.9593,9.245e-23
13.9729,9.9358e-23
13.9865,1.0356e-22
14.0001,9.8738e-23
14.0137,9.6643e-23
14.0273,9.6422e-23
14.0409,9.6345e-23
14.0545,9.5928e-23
14.0681,9.4032e-23
14.0817,8.7388e-23
14.0953,9.2678e-23
14.1089,9.2241e-23
14.1225,8.7881e-23
14.1361,9.5019e-23
14.1497,8.5546e-23
14.1633,8.2042e-23
14.1769,8.3181e-23
14.1905,8.6937e-23
14.2041,8.9179e-23
14.2178,9.172e-23
14.2314,8.9109e-23
14.245,8.794e-23
14.2586,8.6295e-23
14.2722,8.1861e-23
14.2858,8.3885e-23
14.2994,8.1555e-23
14.313,7.7004e-23
14.3266,7.0313e-23
14.3402,7.8434e-23
14.3538,7.6516e-23
14.3674,7.7343e-23
14.381,7.9128e-23
14.3946,7.9988e-23
14.4082,8.1205e-23
14.4218,8.3293e-23
14.4354,8.4326e-23
14.449,8.4768e-23
14.4627,8.5789e-23
14.4763,8.7552e-23
14.4899,8.8594e-23
14.5035,8.837e-23
14.5171,8.8304e-23
14.5307,8.8427e-23
14.5443,9.064e-23
