# E + Ar -> E + Ar(4s'[1/2]1), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Ar -> Ar(4s'[1/2]1)
# Threshold: 11.828 eV
# Updated: 2016-05-29 20:48:09
# Data points: 326
energy_eV,cross_section_m2
11.8278,0.0
11.8368,3.75237e-23
11.8504,1.01173e-22
11.864,1.4493e-22
11.8776,1.21516e-22
11.8912,1.12913e-22
11.9048,1.07088e-22
11.9184,1.03445e-22
11.932,1.01172e-22
11.9456,9.97673e-23
11.9592,9.84705e-23
11.9728,9.8025e-23
11.9865,9.79009e-23
12.0001,9.80293e-23
12.0137,9.83803e-23
12.0273,9.89195e-23
12.0409,9.96423e-23
12.0545,1.00517e-22
12.0681,1.01525e-22
12.0817,1.0267e-22
12.0953,1.02349e-22
12.1089,1.03577e-22
12.1225,1.04931e-22
12.1361,1.06395e-22
12.1497,1.07951e-22
12.1633,1.09635e-22
12.1769,1.1141e-22
12.1905,1.1329e-22
12.2041,1.15272e-22
12.2177,1.17361e-22
12.2314,1.19538e-22
12.245,1.21829e-22
12.2586,1.23892e-22
12.2722,1.26361e-22
12.2858,1.28921e-22
12.2994,1.31568e-22
12.313,1.34338e-22
12.3266,1.37175e-22
12.3402,1.40111e-22
12.3538,1.43161e-22
12.3674,1.46283e-22
12.381,1.49479e-22
12.3946,1.52791e-22
12.4082,1.56187e-22
12.4218,1.59634e-22
12.4354,1.63171e-22
12.449,1.67102e-22
12.4626,1.70825e-22
12.4763,1.74572e-22
12.4899,1.78406e-22
12.5035,1.82299e-22
12.5171,1.86255e-22
12.5307,1.90249e-22
12.5443,1.94277e-22
12.5579,1.98347e-22
12.5715,2.02477e-22
12.5851,2.0664e-22
12.5987,2.10825e-22
12.6123,2.15057e-22
12.6259,2.19286e-22
12.6395,2.23568e-22
12.6531,2.27867e-22
12.6667,2.32196e-22
12.6803,2.36545e-22
12.6939,2.40917e-22
12.7075,2.45308e-22
12.7211,2.49721e-22
12.7348,2.54142e-22
12.7484,2.58622e-22
12.762,2.63074e-22
12.7756,2.67534e-22
12.7892,2.72006e-22
12.8028,2.76482e-22
12.8164,2.8096e-22
12.83,2.85434e-22
12.8436,2.89897e-22
12.8572,2.94342e-22
12.8708,2.98766e-22
12.8844,3.03166e-22
12.898,3.07534e-22
12.9116,3.11862e-22
12.9252,3.16138e-22
12.9388,3.20351e-22
12.9524,3.2448e-22
12.966,3.28499e-22
12.9797,3.32407e-22
12.9933,3.36273e-22
13.0069,3.39752e-22
13.0205,3.43093e-22
13.0341,3.46637e-22
13.0477,3.49968e-22
13.0613,3.54889e-22
13.0749,3.83013e-22
13.0885,3.58212e-22
13.1021,3.45641e-22
13.1157,3.2152e-22
13.1293,3.26758e-22
13.1429,3.13894e-22
13.1565,3.00355e-22
13.1701,2.8612e-22
13.1837,2.71288e-22
13.1973,2.50767e-22
13.2109,3.5039e-22
13.2246,3.42811e-22
13.2382,3.33011e-22
13.2518,3.43721e-22
13.2654,3.54088e-22
13.279,3.60206e-22
13.2926,3.72203e-22
13.3062,3.86463e-22
13.3198,3.96304e-22
13.3334,4.04405e-22
13.347,4.09931e-22
13.3606,4.14048e-22
13.3742,4.17989e-22
13.3878,4.20507e-22
13.4014,4.13549e-22
13.415,4.1413e-22
13.4286,4.13269e-22
13.4422,4.14591e-22
13.4558,4.11841e-22
13.4695,4.08592e-22
13.4831,4.06896e-22
13.4967,4.05741e-22
13.5103,4.07737e-22
13.5239,4.10245e-22
13.5375,4.1308e-22
13.5511,4.15935e-22
13.5647,4.23925e-22
13.5783,4.24051e-22
13.5919,4.04533e-22
13.6055,3.9484e-22
13.6191,3.93248e-22
13.6327,3.94499e-22
13.6463,4.04453e-22
13.6599,4.07047e-22
13.6735,4.09624e-22
13.6871,4.1202e-22
13.7007,4.14194e-22
13.7144,4.16084e-22
13.728,4.17823e-22
13.7416,4.19121e-22
13.7552,4.2013e-22
13.7688,4.20782e-22
13.7824,4.18699e-22
13.796,4.21585e-22
13.8096,4.21946e-22
13.8232,4.21992e-22
13.8368,4.22178e-22
13.8504,4.22636e-22
13.864,4.22913e-22
13.8776,4.22963e-22
13.8912,4.23987e-22
13.9048,4.20275e-22
13.9184,4.24517e-22
13.932,4.24672e-22
13.9456,4.24217e-22
13.9593,4.22876e-22
13.9729,4.22999e-22
13.9865,4.3276e-22
14.0001,4.36962e-22
14.0137,4.05834e-22
14.0273,4.32353e-22
14.0409,4.34193e-22
14.0545,4.35795e-22
14.0681,4.38538e-22
14.0817,4.43167e-22
14.0953,4.4834e-22
14.1089,4.53279e-22
14.1225,4.53293e-22
14.1361,4.53648e-22
14.1497,4.53636e-22
14.1633,4.39078e-22
14.1769,4.47003e-22
14.1905,4.39492e-22
14.2041,4.55169e-22
14.2178,4.65236e-22
14.2314,4.73174e-22
14.245,4.7717e-22
14.2586,4.76497e-22
14.2722,4.65846e-22
14.2858,4.51011e-22
