# E + Ar -> E + Ar(4s[3/2]2), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Ar -> Ar(4s[3/2]2)
# Threshold: 11.549 eV
# Updated: 2016-05-29 20:48:09
# Data points: 347
energy_eV,cross_section_m2
11.5489,0.0
11.5511,1.71381e-23
11.5647,4.74393e-23
11.5783,6.90439e-23
11.5919,1.05045e-22
11.6055,1.36543e-22
11.6191,1.67064e-22
11.6327,1.85765e-22
11.6463,1.39774e-22
11.6599,9.47013e-23
11.6735,7.89318e-23
11.6871,7.79858e-23
11.7007,7.93714e-23
11.7143,8.17789e-23
11.7279,8.46042e-23
11.7416,8.51468e-23
11.7552,8.17646e-23
11.7688,8.97734e-23
11.7824,9.62137e-23
11.796,1.0292e-22
11.8096,1.12149e-22
11.8232,1.27953e-22
11.8368,1.6095e-22
11.8504,1.68881e-22
11.864,1.35407e-22
11.8776,1.00672e-22
11.8912,9.54852e-23
11.9048,9.50557e-23
11.9184,9.62235e-23
11.932,9.80088e-23
11.9456,1.00034e-22
11.9592,1.02121e-22
11.9728,1.04344e-22
11.9865,1.06622e-22
12.0001,1.08941e-22
12.0137,1.11325e-22
12.0273,1.13752e-22
12.0409,1.16254e-22
12.0545,1.18812e-22
12.0681,1.21423e-22
12.0817,1.24099e-22
12.0953,1.26832e-22
12.1089,1.29635e-22
12.1225,1.32521e-22
12.1361,1.35468e-22
12.1497,1.38459e-22
12.1633,1.41548e-22
12.1769,1.44678e-22
12.1905,1.4788e-22
12.2041,1.51141e-22
12.2177,1.54473e-22
12.2314,1.57847e-22
12.245,1.613e-22
12.2586,1.6478e-22
12.2722,1.68346e-22
12.2858,1.7194e-22
12.2994,1.75579e-22
12.313,1.79297e-22
12.3266,1.83019e-22
12.3402,1.86793e-22
12.3538,1.90629e-22
12.3674,1.94478e-22
12.381,1.98336e-22
12.3946,2.02262e-22
12.4082,2.06213e-22
12.4218,2.10145e-22
12.4354,2.14104e-22
12.449,2.17846e-22
12.4626,2.21835e-22
12.4763,2.25811e-22
12.4899,2.29767e-22
12.5035,2.33751e-22
12.5171,2.37738e-22
12.5307,2.41712e-22
12.5443,2.45632e-22
