# E + Ar <-> E + Ar(5s![1/2]1, 1P1, 2s2), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Ar <-> Ar(5s![1/2]1, 1P1, 2s2)
# Threshold: 14.33 eV
# Statistical weight ratio: 3.0
# Comment: BSR-500.
# Updated: 2013-02-18 21:14:04
# Data points: 130
energy_eV,cross_section_m2
14.3295,0.0
14.3402,1.131e-23
14.3538,1.6754e-23
14.3674,2.0516e-23
14.381,1.6622e-23
14.3946,1.7953e-23
14.4082,2.0532e-23
14.4218,2.0873e-23
14.4354,2.1945e-23
14.449,2.3496e-23
14.4627,2.676e-23
14.4763,2.6652e-23
14.4899,2.7159e-23
14.5035,2.7576e-23
14.5171,2.7476e-23
14.5307,2.7436e-23
14.5443,2.7848e-23
14.5579,2.786e-23
14.5715,2.5837e-23
14.5851,2.8971e-23
14.5987,3.0488e-23
14.6123,3.3085e-23
14.6259,3.4534e-23
14.6395,3.5035e-23
14.6531,3.6429e-23
14.6667,3.7596e-23
14.6803,3.9826e-23
14.6939,3.911e-23
14.7076,4.0861e-23
14.7212,4.0866e-23
14.7348,4.0943e-23
14.7484,4.0716e-23
14.762,4.1632e-23
14.7756,4.1117e-23
14.7892,4.2467e-23
14.8028,4.2481e-23
14.8164,4.1679e-23
14.83,3.9184e-23
14.8436,3.7577e-23
14.8572,3.86e-23
14.8708,3.953e-23
14.8844,3.9543e-23
14.898,3.9718e-23
14.9116,3.9609e-23
14.9252,3.9695e-23
14.9388,3.9702e-23
14.9661,3.9003e-23
14.9797,4.2289e-23
14.9933,4.3332e-23
15.0069,4.5998e-23
15.0205,4.6976e-23
15.0341,4.6522e-23
15.0477,4.7586e-23
15.0613,4.9003e-23
15.0749,4.8381e-23
15.0885,4.7611e-23
15.1021,4.7652e-23
15.1157,4.734e-23
15.1293,4.5014e-23
15.1429,4.1681e-23
15.1565,4.7289e-23
15.1837,5.1406e-23
15.1974,4.9395e-23
15.211,5.6043e-23
15.2246,5.2001e-23
15.2382,4.8149e-23
15.2518,5.6065e-23
15.2654,5.3149e-23
15.279,4.9372e-23
15.2926,4.7465e-23
15.3062,4.6794e-23
15.3198,4.7837e-23
15.3334,4.9764e-23
15.347,5.1508e-23
15.3606,5.3748e-23
15.3742,5.4085e-23
15.3878,5.493e-23
15.4014,5.7966e-23
15.415,7.2444e-23
15.4286,5.7916e-23
15.4423,5.6569e-23
15.4559,5.8553e-23
15.4695,6.0796e-23
15.4831,6.3517e-23
15.4967,6.4402e-23
15.5103,6.5578e-23
15.5239,6.6859e-23
15.5375,6.8014e-23
15.5511,6.6815e-23
15.5647,6.1344e-23
15.5783,6.6466e-23
15.5919,6.7576e-23
15.6055,6.736e-23
15.6191,6.5415e-23
15.6327,6.3445e-23
15.6463,6.5194e-23
15.6599,6.5942e-23
15.6735,6.5222e-23
15.6872,6.3804e-23
15.7008,6.3746e-23
15.7144,6.2743e-23
15.728,6.1651e-23
15.7416,6.0616e-23
15.7552,5.9831e-23
15.7688,5.973e-23
15.7824,5.672e-23
15.796,6.0205e-23
15.8096,5.5773e-23
15.8232,5.5188e-23
15.8368,5.4334e-23
16.0001,5.9152e-23
17.5001,7.6938e-23
20.0001,8.2492e-23
25.0001,8.1013e-23
30.0001,9.344e-23
40.0002,1.0826e-22
50.0002,1.1904e-22
60.0003,1.2718e-22
70.0003,1.3511e-22
80.0004,1.3938e-22
90.0004,1.4088e-22
100.0005,1.4089e-22
125.0006,1.3625e-22
150.0007,1.2936e-22
175.0008,1.2251e-22
200.001,1.1619e-22
225.0011,1.1052e-22
250.0012,1.0533e-22
275.0013,1.0052e-22
300.0014,9.5866e-23
