# E + Ar <-> E + Ar(5s[3/2]1, 3P1, 2s4), Excitation
# Source: LXCat, BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat)
# Target: Ar <-> Ar(5s[3/2]1, 3P1, 2s4)
# Threshold: 0.0 eV
# Comment: BSR-500.
# Updated: 2013-02-18 21:14:04
# Data points: 141
energy_eV,cross_section_m2
14.1789,0.0
14.1905,2.9724e-23
14.2041,2.3148e-23
14.2178,1.7454e-23
14.2314,1.4707e-23
14.245,1.3431e-23
14.2586,1.4329e-23
14.2722,1.6127e-23
14.2858,1.5948e-23
14.2994,1.7782e-23
14.313,2.1396e-23
14.3266,2.0617e-23
14.3402,2.2292e-23
14.3538,2.111e-23
14.3674,2.1543e-23
14.381,2.2568e-23
14.3946,2.3319e-23
14.4082,2.451e-23
14.4218,2.5042e-23
14.4354,2.5488e-23
14.449,2.6673e-23
14.4627,2.6853e-23
14.4763,2.7594e-23
14.4899,3.0258e-23
14.5035,2.8982e-23
14.5171,2.9129e-23
14.5307,2.7739e-23
14.5443,2.6607e-23
14.5579,2.7774e-23
14.5715,2.6207e-23
14.5851,2.6181e-23
14.5987,2.4808e-23
14.6123,2.7461e-23
14.6259,2.814e-23
14.6395,2.8968e-23
14.6531,2.925e-23
14.6667,2.912e-23
14.6803,2.9183e-23
14.6939,2.9888e-23
14.7076,3.0734e-23
14.7212,3.0605e-23
14.7348,3.1732e-23
14.7484,3.3367e-23
14.762,3.6659e-23
14.7756,3.6586e-23
14.7892,3.7339e-23
14.8028,3.7196e-23
14.8164,3.5638e-23
14.83,3.269e-23
14.8436,3.1955e-23
14.8572,3.1109e-23
14.8708,3.2346e-23
14.8844,3.2259e-23
14.898,3.6481e-23
14.9116,3.6614e-23
14.9252,3.6529e-23
14.9388,3.7835e-23
14.9661,3.7687e-23
14.9797,4.0399e-23
14.9933,4.3051e-23
15.0069,3.9885e-23
15.0205,4.2043e-23
15.0341,3.9842e-23
15.0477,4.1591e-23
15.0613,3.8401e-23
15.0749,3.5063e-23
15.0885,3.7601e-23
15.1021,3.534e-23
15.1157,3.939e-23
15.1293,3.5099e-23
15.1429,3.7547e-23
15.1565,3.7412e-23
15.1837,4.0902e-23
15.1974,3.8865e-23
15.211,4.3335e-23
15.2246,4.9927e-23
15.2382,5.2234e-23
15.2518,5.2543e-23
15.2654,5.1526e-23
15.279,5.0164e-23
15.2926,5.0491e-23
15.3062,4.8924e-23
15.3198,4.994e-23
15.3334,5.0516e-23
15.347,5.2142e-23
15.3606,5.2051e-23
15.3742,5.231e-23
15.3878,5.1623e-23
15.4014,5.3611e-23
15.415,5.5945e-23
15.4286,5.4781e-23
15.4423,5.6541e-23
15.4559,5.6407e-23
15.4695,5.3906e-23
15.4831,5.2719e-23
15.4967,5.333e-23
15.5103,5.4731e-23
15.5239,5.3097e-23
15.5375,5.3865e-23
15.5511,5.4985e-23
15.5647,7.5373e-23
15.5783,5.8148e-23
15.5919,5.9014e-23
15.6055,6.0476e-23
15.6191,6.021e-23
15.6327,5.993e-23
15.6463,5.8405e-23
15.6599,6.184e-23
15.6735,6.3193e-23
15.6872,6.1391e-23
15.7008,6.1901e-23
15.7144,6.1117e-23
15.728,6.6832e-23
15.7416,7.2539e-23
15.7552,7.923e-23
15.7688,8.0626e-23
15.7824,7.6901e-23
15.796,7.7866e-23
15.8096,7.6519e-23
15.8232,7.7891e-23
15.8368,7.6199e-23
16.0001,7.8354e-23
17.5001,9.6492e-23
20.0001,1.1046e-22
25.0001,1.2777e-22
30.0001,1.5505e-22
40.0002,2.0189e-22
50.0002,2.3539e-22
60.0003,2.7368e-22
70.0003,2.9037e-22
80.0004,3.005e-22
90.0004,3.0266e-22
100.0005,3.0322e-22
125.0006,2.9386e-22
150.0007,2.7968e-22
175.0008,2.6527e-22
200.001,2.5183e-22
225.0011,2.3957e-22
250.0012,2.2823e-22
275.0013,2.1761e-22
300.0014,2.072e-22
