# Excitation rates (bsr, 31 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
0.500,4.171732e-25,7.843501e-43
0.550,3.512538e-24,6.622430e-42
0.600,2.086532e-23,3.945811e-41
0.650,9.476380e-23,1.797878e-40
0.700,3.485032e-22,6.634393e-40
0.750,1.082419e-21,2.067841e-39
0.800,2.930292e-21,5.618130e-39
0.850,7.083128e-21,1.362953e-38
0.900,1.557681e-20,3.008228e-38
0.950,3.162967e-20,6.130452e-38
1.000,6.000805e-20,1.167218e-37
1.050,1.073939e-19,2.096224e-37
1.100,1.827277e-19,3.578844e-37
1.150,2.975042e-19,5.846164e-37
1.200,4.660011e-19,9.186711e-37
1.250,7.054294e-19,1.395003e-36
1.300,1.035999e-18,2.054854e-36
1.350,1.480900e-18,2.945762e-36
1.400,2.066199e-18,4.121404e-36
1.450,2.820668e-18,5.641272e-36
1.500,3.775547e-18,7.570222e-36
1.550,4.964258e-18,9.977907e-36
1.600,6.422076e-18,1.293812e-35
1.650,8.185784e-18,1.652806e-35
1.700,1.029330e-17,2.082761e-35
1.750,1.278331e-17,2.591853e-35
1.800,1.569491e-17,3.188369e-35
1.850,1.906724e-17,3.880634e-35
1.900,2.293916e-17,4.676938e-35
1.950,2.734893e-17,5.585465e-35
2.000,3.233392e-17,6.614240e-35
2.050,3.793039e-17,7.771064e-35
2.100,4.417322e-17,9.063469e-35
2.150,5.109573e-17,1.049867e-34
2.200,5.872951e-17,1.208353e-34
2.250,6.710432e-17,1.382454e-34
2.300,7.624790e-17,1.572777e-34
2.350,8.618598e-17,1.779886e-34
2.400,9.694215e-17,2.004301e-34
2.450,1.085379e-16,2.246498e-34
2.500,1.209924e-16,2.506905e-34
2.550,1.343229e-16,2.785906e-34
2.600,1.485443e-16,3.083839e-34
2.650,1.636695e-16,3.400995e-34
2.700,1.797092e-16,3.737623e-34
2.750,1.966723e-16,4.093927e-34
2.800,2.145655e-16,4.470070e-34
2.850,2.333938e-16,4.866174e-34
2.900,2.531602e-16,5.282320e-34
2.950,2.738662e-16,5.718555e-34
3.000,2.955115e-16,6.174888e-34
3.050,3.180943e-16,6.651293e-34
3.100,3.416113e-16,7.147714e-34
3.150,3.660577e-16,7.664063e-34
3.200,3.914277e-16,8.200225e-34
3.250,4.177139e-16,8.756056e-34
3.300,4.449081e-16,9.331389e-34
3.350,4.730008e-16,9.926033e-34
3.400,5.019818e-16,1.053978e-33
3.450,5.318397e-16,1.117239e-33
3.500,5.625626e-16,1.182361e-33
3.550,5.941376e-16,1.249319e-33
3.600,6.265514e-16,1.318083e-33
3.650,6.597897e-16,1.388625e-33
3.700,6.938382e-16,1.460914e-33
3.750,7.286816e-16,1.534918e-33
3.800,7.643045e-16,1.610603e-33
3.850,8.006912e-16,1.687938e-33
3.900,8.378253e-16,1.766886e-33
3.950,8.756907e-16,1.847414e-33
4.000,9.142705e-16,1.929486e-33
