# E + Ar, Elastic
# Source: LXCat, COP (Complex Optical Potential)
# Target: Ar
# m/M: 0.0
# Comment: Elastic viscosity cross section.
# Updated: 2016-03-16 12:18:24
# Data points: 440
energy_eV,cross_section_m2
0.0,4.9933e-20
0.002,4.0224e-20
0.004,3.6478e-20
0.006,3.3744e-20
0.008,3.1538e-20
0.01,2.967e-20
0.02,2.3043e-20
0.03,1.8697e-20
0.04,1.5507e-20
0.05,1.3033e-20
0.06,1.1052e-20
0.07,9.43e-21
0.08,8.082e-21
0.09,6.95e-21
0.1,5.991e-21
0.11,5.175e-21
0.12,4.477e-21
0.13,3.879e-21
0.14,3.365e-21
0.15,2.925e-21
0.16,2.548e-21
0.17,2.226e-21
0.18,1.952e-21
0.19,1.72e-21
0.2,1.527e-21
0.21,1.367e-21
0.22,1.237e-21
0.23,1.133e-21
0.24,1.054e-21
0.25,9.97e-22
0.26,9.59e-22
0.27,9.39e-22
0.28,9.35e-22
0.29,9.46e-22
0.3,9.7e-22
0.31,1.006e-21
0.32,1.054e-21
0.33,1.112e-21
0.34,1.179e-21
0.35,1.255e-21
0.36,1.339e-21
0.37,1.43e-21
0.38,1.527e-21
0.39,1.631e-21
0.4,1.741e-21
0.45,2.362e-21
0.5,3.073e-21
0.55,3.848e-21
0.6,4.665e-21
0.65,5.513e-21
0.7,6.38e-21
0.75,7.261e-21
0.8,8.15e-21
0.85,9.044e-21
0.9,9.939e-21
0.95,1.0811e-20
1.0,1.1712e-20
1.05,1.2609e-20
1.1,1.3503e-20
1.15,1.4394e-20
1.2,1.528e-20
1.25,1.616e-20
1.3,1.7036e-20
1.35,1.7906e-20
1.4,1.8771e-20
1.45,1.9629e-20
1.5,2.0483e-20
1.55,2.1331e-20
1.6,2.2173e-20
1.65,2.301e-20
1.7,2.3841e-20
1.75,2.4666e-20
1.8,2.5486e-20
1.85,2.6301e-20
1.9,2.7111e-20
1.95,2.7915e-20
2.0,2.8713e-20
2.05,2.9506e-20
2.1,3.0294e-20
2.15,3.1076e-20
2.2,3.1854e-20
2.25,3.2626e-20
2.3,3.3393e-20
2.35,3.4155e-20
2.4,3.4913e-20
2.45,3.5665e-20
2.5,3.6413e-20
2.55,3.7155e-20
2.6,3.7893e-20
2.65,3.8626e-20
