# E + Ar -> E + Ar*(11.62ev), Excitation
# Source: LXCat, Hayashi database
# Target: Ar -> Ar*(11.62ev)
# Threshold: 11.62 eV
# Updated: 2014-02-15 15:27:56
# Data points: 63
energy_eV,cross_section_m2
11.62,0.0
11.68,1.04e-22
11.7,7.36e-23
11.74,5.68e-23
11.76,5.41e-23
11.8,4.99e-23
11.81,4.94e-23
11.85,4.9e-23
11.9,4.95e-23
11.94,5e-23
12.0,5.2e-23
12.04,5.3e-23
12.1,5.5e-23
12.2,5.7e-23
12.4,7.3e-23
12.5,7.9e-23
12.6,8.5e-23
12.65,8.6e-23
12.7,8.8e-23
12.74,9e-23
12.8,9.2e-23
12.9,9.7e-23
13.0,1.03e-22
13.05,1.47e-22
13.08,1.01e-22
13.1,9.4e-23
13.13,8.4e-23
13.16,1.03e-22
13.2,1.48e-22
13.23,1.39e-22
13.25,1.22e-22
13.29,1.12e-22
13.3,1.15e-22
13.4,1.38e-22
13.5,1.58e-22
13.82,2.19e-22
14.0,2.55e-22
14.25,2.92e-22
14.5,3.22e-22
15.0,3.73e-22
16.0,4.49e-22
17.0,5.2e-22
18.0,5.65e-22
19.0,6.08e-22
20.0,6.58e-22
22.0,7e-22
25.0,7.4e-22
30.0,7.6e-22
35.0,7.7e-22
40.0,7.65e-22
50.0,7.43e-22
60.0,7.15e-22
70.0,6.85e-22
80.0,6.5e-22
100.0,5.85e-22
150.0,4.8e-22
200.0,4.1e-22
300.0,3.2e-22
400.0,2.62e-22
500.0,2.22e-22
800.0,1.56e-22
1000.0,1.31e-22
10000.0,0.0
