# E + Ar -> E + Ar*(13.30eV), Excitation
# Source: LXCat, Hayashi database
# Target: Ar -> Ar*(13.30eV)
# Threshold: 13.3 eV
# Updated: 2014-02-15 15:30:24
# Data points: 24
energy_eV,cross_section_m2
13.3,0.0
14.0,1.55e-23
15.0,3.9e-23
16.0,6.2e-23
18.0,1.11e-22
19.0,1.34e-22
20.0,1.51e-22
21.0,1.62e-22
22.0,1.7e-22
25.0,1.82e-22
30.0,1.85e-22
35.0,1.76e-22
40.0,1.62e-22
50.0,1.33e-22
60.0,1.1e-22
80.0,8.2e-23
100.0,6.57e-23
150.0,4.35e-23
200.0,3.22e-23
300.0,2.12e-23
500.0,1.26e-23
800.0,7.8e-24
1000.0,6.3e-24
10000.0,0.0
