# Excitation rates (hayashi, 25 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
0.500,2.543799e-25,4.778502e-43
0.550,2.211053e-24,4.168293e-42
0.600,1.358680e-23,2.571771e-41
0.650,6.391515e-23,1.215117e-40
0.700,2.435857e-22,4.652059e-40
0.750,7.838667e-22,1.503976e-39
0.800,2.197056e-21,4.234755e-39
0.850,5.492209e-21,1.063346e-38
0.900,1.247334e-20,2.425388e-38
0.950,2.611560e-20,5.099024e-38
1.000,5.100344e-20,9.997373e-38
1.050,9.380568e-20,1.845539e-37
1.100,1.637569e-19,3.233034e-37
1.150,2.731138e-19,5.409810e-37
1.200,4.375564e-19,8.693915e-37
1.250,6.765118e-19,1.348091e-36
1.300,1.013381e-18,2.024899e-36
1.350,1.475661e-18,2.956196e-36
1.400,2.094956e-18,4.206993e-36
1.450,2.906890e-18,5.850783e-36
1.500,3.950907e-18,7.969185e-36
1.550,5.270005e-18,1.065140e-35
1.600,6.910380e-18,1.399353e-35
1.650,8.921022e-18,1.809772e-35
1.700,1.135327e-17,2.307128e-35
1.750,1.426033e-17,2.902570e-35
1.800,1.769681e-17,3.607562e-35
1.850,2.171818e-17,4.433781e-35
1.900,2.638037e-17,5.393019e-35
1.950,3.173923e-17,6.497081e-35
2.000,3.785014e-17,7.757700e-35
2.050,4.476762e-17,9.186441e-35
2.100,5.254491e-17,1.079463e-34
2.150,6.123368e-17,1.259329e-34
2.200,7.088371e-17,1.459305e-34
2.250,8.154267e-17,1.680411e-34
2.300,9.325588e-17,1.923621e-34
2.350,1.060661e-16,2.189856e-34
2.400,1.200135e-16,2.479981e-34
2.450,1.351354e-16,2.794806e-34
2.500,1.514664e-16,3.135079e-34
2.550,1.690380e-16,3.501490e-34
2.600,1.878790e-16,3.894666e-34
2.650,2.080151e-16,4.315175e-34
2.700,2.294692e-16,4.763522e-34
2.750,2.522613e-16,5.240153e-34
2.800,2.764088e-16,5.745456e-34
2.850,3.019260e-16,6.279758e-34
2.900,3.288248e-16,6.843333e-34
2.950,3.571145e-16,7.436399e-34
3.000,3.868020e-16,8.059122e-34
3.050,4.178917e-16,8.711618e-34
3.100,4.503858e-16,9.393954e-34
3.150,4.842844e-16,1.010615e-33
3.200,5.195855e-16,1.084819e-33
3.250,5.562852e-16,1.162000e-33
3.300,5.943779e-16,1.242149e-33
3.350,6.338561e-16,1.325252e-33
3.400,6.747108e-16,1.411291e-33
3.450,7.169317e-16,1.500246e-33
3.500,7.605068e-16,1.592093e-33
3.550,8.054231e-16,1.686806e-33
3.600,8.516662e-16,1.784357e-33
3.650,8.992209e-16,1.884714e-33
3.700,9.480707e-16,1.987844e-33
3.750,9.981984e-16,2.093711e-33
3.800,1.049586e-15,2.202279e-33
3.850,1.102215e-15,2.313509e-33
3.900,1.156065e-15,2.427360e-33
3.950,1.211117e-15,2.543792e-33
4.000,1.267350e-15,2.662761e-33
4.050,1.324743e-15,2.784224e-33
4.100,1.383274e-15,2.908137e-33
4.150,1.442923e-15,3.034453e-33
4.200,1.503667e-15,3.163128e-33
4.250,1.565483e-15,3.294114e-33
4.300,1.628349e-15,3.427365e-33
4.350,1.692244e-15,3.562833e-33
4.400,1.757143e-15,3.700472e-33
4.450,1.823025e-15,3.840233e-33
4.500,1.889867e-15,3.982068e-33
4.550,1.957645e-15,4.125930e-33
4.600,2.026339e-15,4.271771e-33
4.650,2.095924e-15,4.419544e-33
4.700,2.166379e-15,4.569201e-33
4.750,2.237680e-15,4.720695e-33
4.800,2.309807e-15,4.873978e-33
4.850,2.382737e-15,5.029005e-33
4.900,2.456448e-15,5.185730e-33
4.950,2.530918e-15,5.344105e-33
5.000,2.606127e-15,5.504087e-33
5.050,2.682052e-15,5.665630e-33
5.100,2.758673e-15,5.828689e-33
5.150,2.835970e-15,5.993221e-33
5.200,2.913922e-15,6.159183e-33
5.250,2.992509e-15,6.326531e-33
5.300,3.071711e-15,6.495223e-33
5.350,3.151508e-15,6.665218e-33
5.400,3.231881e-15,6.836475e-33
5.450,3.312812e-15,7.008953e-33
5.500,3.394282e-15,7.182612e-33
5.550,3.476272e-15,7.357414e-33
5.600,3.558764e-15,7.533319e-33
5.650,3.641741e-15,7.710291e-33
5.700,3.725185e-15,7.888291e-33
5.750,3.809079e-15,8.067283e-33
5.800,3.893406e-15,8.247232e-33
5.850,3.978151e-15,8.428102e-33
5.900,4.063296e-15,8.609858e-33
5.950,4.148826e-15,8.792466e-33
6.000,4.234725e-15,8.975894e-33
6.050,4.320979e-15,9.160108e-33
6.100,4.407572e-15,9.345077e-33
6.150,4.494490e-15,9.530769e-33
6.200,4.581718e-15,9.717153e-33
6.250,4.669243e-15,9.904200e-33
6.300,4.757050e-15,1.009188e-32
6.350,4.845126e-15,1.028016e-32
6.400,4.933459e-15,1.046902e-32
6.450,5.022036e-15,1.065843e-32
6.500,5.110843e-15,1.084836e-32
6.550,5.199868e-15,1.103878e-32
6.600,5.289100e-15,1.122967e-32
6.650,5.378528e-15,1.142101e-32
6.700,5.468138e-15,1.161276e-32
6.750,5.557921e-15,1.180491e-32
6.800,5.647865e-15,1.199743e-32
6.850,5.737960e-15,1.219030e-32
6.900,5.828195e-15,1.238349e-32
6.950,5.918559e-15,1.257699e-32
7.000,6.009045e-15,1.277076e-32
7.050,6.099640e-15,1.296480e-32
7.100,6.190336e-15,1.315908e-32
7.150,6.281125e-15,1.335358e-32
7.200,6.371996e-15,1.354828e-32
7.250,6.462940e-15,1.374316e-32
7.300,6.553951e-15,1.393820e-32
7.350,6.645018e-15,1.413339e-32
7.400,6.736134e-15,1.432870e-32
7.450,6.827291e-15,1.452413e-32
7.500,6.918481e-15,1.471965e-32
7.550,7.009697e-15,1.491524e-32
7.600,7.100932e-15,1.511090e-32
7.650,7.192177e-15,1.530660e-32
7.700,7.283427e-15,1.550232e-32
7.750,7.374674e-15,1.569807e-32
7.800,7.465912e-15,1.589381e-32
7.850,7.557134e-15,1.608954e-32
7.900,7.648335e-15,1.628525e-32
7.950,7.739507e-15,1.648091e-32
8.000,7.830646e-15,1.667652e-32
