# E + Ar <-> E + Ar*((3d)[1/2]3P0Â°), Excitation
# Source: LXCat, IAA (IAA)
# Target: Ar <-> Ar*((3d)[1/2]3P0Â°)
# Threshold: 0.0 eV
# Comment: distinguished from forbidden.
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
13.84,0.0
14.1409,3.799708e-23
14.44835,1.003789e-22
14.76248,1.707993e-22
15.08343,2.427569e-22
15.41137,3.126631e-22
15.74643,3.784061e-22
16.08879,4.387534e-22
16.43858,4.930374e-22
16.79598,5.409672e-22
17.16115,5.825081e-22
17.53426,6.177994e-22
17.91548,6.470975e-22
18.30499,6.707349e-22
18.70296,6.89091e-22
19.10959,7.025702e-22
19.52507,7.11587e-22
19.94957,7.165543e-22
20.3833,7.178754e-22
20.82646,7.159386e-22
21.27926,7.11113e-22
21.74191,7.037466e-22
22.21461,6.941644e-22
22.69759,6.826682e-22
23.19106,6.695363e-22
23.69527,6.550239e-22
24.21044,6.393641e-22
24.73681,6.227684e-22
25.27463,6.054282e-22
25.82414,5.875156e-22
26.38559,5.691848e-22
26.95925,5.505733e-22
27.54539,5.318033e-22
28.14427,5.129822e-22
28.75616,4.942048e-22
29.38136,4.755536e-22
30.02016,4.571e-22
30.67284,4.389056e-22
31.33971,4.210229e-22
32.02109,4.034961e-22
32.71727,3.86362e-22
33.42859,3.696508e-22
34.15538,3.53387e-22
34.89797,3.375893e-22
35.6567,3.222721e-22
36.43193,3.074455e-22
37.22402,2.931158e-22
38.03332,2.792861e-22
38.86022,2.659567e-22
39.7051,2.531255e-22
40.56835,2.407883e-22
41.45036,2.289387e-22
42.35156,2.175692e-22
43.27234,2.066708e-22
44.21315,1.962333e-22
45.17441,1.862457e-22
46.15656,1.766964e-22
47.16008,1.675729e-22
48.18541,1.588626e-22
49.23303,1.505524e-22
50.30343,1.42629e-22
51.3971,1.35079e-22
52.51455,1.27889e-22
53.65629,1.210457e-22
54.82286,1.145358e-22
56.01479,1.083461e-22
57.23263,1.024636e-22
58.47695,9.687584e-23
59.74833,9.157021e-23
61.04735,8.65346e-23
62.37461,8.175719e-23
63.73072,7.722648e-23
65.11632,7.293129e-23
66.53205,6.886082e-23
67.97855,6.500462e-23
69.45651,6.135259e-23
70.96659,5.789499e-23
72.50951,5.462246e-23
74.08598,5.152597e-23
75.69672,4.859687e-23
77.34247,4.582684e-23
79.02402,4.320792e-23
80.74211,4.073248e-23
82.49757,3.83932e-23
84.29119,3.618311e-23
86.1238,3.409554e-23
87.99626,3.212411e-23
89.90943,3.026274e-23
91.86419,2.850564e-23
93.86146,2.684728e-23
95.90214,2.528241e-23
97.9872,2.380603e-23
100.1176,2.241336e-23
102.2943,2.109988e-23
104.5183,1.986129e-23
106.7907,1.869351e-23
109.1125,1.759264e-23
111.4848,1.655502e-23
113.9086,1.557714e-23
116.3851,1.46557e-23
118.9155,1.378755e-23
121.5009,1.296971e-23
124.1425,1.219937e-23
126.8416,1.147385e-23
129.5993,1.079064e-23
132.417,1.014733e-23
135.2959,9.541658e-24
138.2375,8.97149e-24
141.2429,8.434799e-24
144.3138,7.92967e-24
147.4514,7.454294e-24
150.6572,7.006962e-24
153.9327,6.586057e-24
157.2794,6.190055e-24
160.6989,5.817515e-24
164.1927,5.467077e-24
167.7625,5.137457e-24
171.4099,4.827442e-24
175.1366,4.535891e-24
178.9444,4.261724e-24
182.8349,4.003924e-24
186.81,3.761531e-24
190.8715,3.53364e-24
195.0213,3.319399e-24
199.2614,3.118003e-24
203.5936,2.928695e-24
208.0201,2.750759e-24
212.5427,2.583524e-24
217.1637,2.426355e-24
221.8852,2.278655e-24
226.7093,2.13986e-24
231.6383,2.009442e-24
236.6744,1.886902e-24
241.8201,1.771769e-24
247.0776,1.663601e-24
252.4494,1.561983e-24
257.9381,1.466521e-24
263.546,1.376848e-24
269.2759,1.292616e-24
275.1304,1.213498e-24
281.1121,1.139188e-24
287.2239,1.069396e-24
293.4686,1.00385e-24
299.849,9.422949e-25
306.3682,8.84489e-25
313.0291,8.302065e-25
319.8348,7.792346e-25
326.7885,7.31373e-25
333.8933,6.864336e-25
341.1527,6.442395e-25
348.5698,6.046242e-25
356.1483,5.674315e-25
363.8914,5.325142e-25
371.803,4.997343e-25
379.8865,4.689618e-25
388.1458,4.400747e-25
396.5847,4.129583e-25
405.207,3.875047e-25
414.0168,3.636127e-25
423.0182,3.411871e-25
432.2152,3.201383e-25
441.6122,3.003825e-25
451.2135,2.818407e-25
461.0236,2.644386e-25
471.0469,2.481067e-25
481.2881,2.327795e-25
491.7521,2.183954e-25
502.4435,2.048969e-25
513.3673,1.922296e-25
524.5287,1.803426e-25
535.9327,1.691881e-25
547.5847,1.587211e-25
559.49,1.488995e-25
571.6541,1.396837e-25
584.0828,1.310365e-25
596.7816,1.229229e-25
609.7565,1.153101e-25
623.0135,1.081674e-25
636.5587,1.014659e-25
650.3985,9.517835e-26
664.5391,8.927936e-26
678.9872,8.374498e-26
693.7493,7.855276e-26
708.8325,7.368163e-26
724.2435,6.911179e-26
739.9897,6.482468e-26
756.0781,6.080286e-26
772.5164,5.702997e-26
789.312,5.349065e-26
806.4729,5.017048e-26
824.0068,4.705594e-26
841.9219,4.413433e-26
860.2265,4.139374e-26
878.9291,3.882297e-26
898.0383,3.641154e-26
917.563,3.41496e-26
937.5122,3.20279e-26
957.8951,3.003777e-26
978.7212,2.817108e-26
1000.0,2.642018e-26
