# E + Ar <-> E + Ar*((3d)[5/2]2Â°), Excitation
# Source: LXCat, IAA (IAA)
# Target: Ar <-> Ar*((3d)[5/2]2Â°)
# Threshold: 14.06 eV
# Statistical weight ratio: 5.0
# Comment: [Chilton&Lin, Phys. Rev. A 60, 3712 (1999)].
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
14.06,0.0
14.36455,2.005371e-23
14.67569,7.586987e-23
14.99357,1.442657e-22
15.31834,2.089475e-22
15.65015,2.622849e-22
15.98913,3.020134e-22
16.33547,3.286444e-22
16.6893,3.439021e-22
17.0508,3.49877e-22
17.42013,3.486067e-22
17.79746,3.418932e-22
18.18296,3.31246e-22
18.57681,3.178851e-22
18.9792,3.027715e-22
19.39029,2.866466e-22
19.8103,2.700716e-22
20.2394,2.53463e-22
20.6778,2.371234e-22
21.12569,2.212664e-22
21.58328,2.060374e-22
22.05079,1.915296e-22
22.52842,1.777969e-22
23.01639,1.64864e-22
23.51494,1.52734e-22
24.02429,1.41395e-22
24.54466,1.308237e-22
25.07631,1.209899e-22
25.61948,1.118583e-22
26.17441,1.033913e-22
26.74136,9.55497e-23
27.32059,8.829426e-23
27.91237,8.15863e-23
28.51697,7.538827e-23
29.13466,6.966411e-23
29.76573,6.437951e-23
30.41047,5.950201e-23
31.06918,5.500108e-23
31.74215,5.084812e-23
32.4297,4.701645e-23
33.13215,4.348126e-23
33.84981,4.021947e-23
34.58301,3.720975e-23
35.3321,3.443232e-23
36.09741,3.186895e-23
36.87929,2.950277e-23
37.67812,2.731825e-23
38.49425,2.530109e-23
39.32805,2.343809e-23
40.17992,2.171712e-23
41.05023,2.012701e-23
41.9394,1.865748e-23
42.84783,1.729909e-23
43.77594,1.604312e-23
44.72415,1.48816e-23
45.6929,1.380716e-23
46.68263,1.281304e-23
47.6938,1.189301e-23
48.72687,1.104135e-23
49.78232,1.025279e-23
50.86063,9.522474e-24
51.96229,8.84595e-24
53.08782,8.219105e-24
54.23773,7.638156e-24
55.41255,7.099619e-24
56.61281,6.600285e-24
57.83908,6.137195e-24
59.0919,5.707624e-24
60.37186,5.309058e-24
61.67954,4.93918e-24
63.01556,4.595851e-24
64.3805,4.277101e-24
65.77502,3.981107e-24
67.19974,3.706191e-24
68.65532,3.4508e-24
70.14243,3.213502e-24
71.66175,2.992971e-24
73.21398,2.787986e-24
74.79983,2.597415e-24
76.42003,2.420212e-24
78.07533,2.255409e-24
79.76648,2.102114e-24
81.49426,1.959497e-24
83.25947,1.826793e-24
85.06292,1.703292e-24
86.90542,1.588338e-24
88.78784,1.481322e-24
90.71103,1.38168e-24
92.67587,1.288891e-24
94.68328,1.20247e-24
96.73417,1.121968e-24
98.82948,1.04697e-24
100.9702,9.770889e-25
103.1572,9.119672e-25
105.3917,8.512726e-25
107.6745,7.946966e-25
110.0068,7.419531e-25
112.3896,6.927762e-25
114.824,6.46919e-25
117.3112,6.041525e-25
119.8522,5.642635e-25
122.4482,5.270541e-25
125.1005,4.923405e-25
127.8103,4.599517e-25
130.5787,4.297286e-25
133.4071,4.015236e-25
136.2968,3.751991e-25
139.249,3.506272e-25
142.2652,3.27689e-25
145.3468,3.062739e-25
148.4951,2.862787e-25
151.7115,2.676076e-25
154.9977,2.501714e-25
158.355,2.338869e-25
161.7851,2.186767e-25
165.2894,2.044687e-25
168.8697,1.911958e-25
172.5275,1.787954e-25
176.2645,1.672093e-25
180.0825,1.563832e-25
183.9832,1.462663e-25
187.9683,1.368117e-25
192.0398,1.279751e-25
196.1995,1.197158e-25
200.4493,1.119953e-25
204.7911,1.047781e-25
209.227,9.803095e-26
213.759,9.172275e-26
218.3891,8.582459e-26
223.1195,8.030948e-26
227.9524,7.515222e-26
232.89,7.03293e-26
237.9345,6.581878e-26
243.0883,6.160019e-26
248.3537,5.765441e-26
253.7331,5.396359e-26
259.2291,5.051108e-26
264.8442,4.728131e-26
270.5808,4.425976e-26
276.4417,4.143287e-26
282.4296,3.878796e-26
288.5472,3.63132e-26
294.7973,3.399753e-26
301.1827,3.183063e-26
307.7065,2.980284e-26
314.3716,2.790516e-26
321.181,2.612915e-26
328.138,2.446695e-26
335.2456,2.29112e-26
342.5072,2.145502e-26
349.9261,2.009199e-26
357.5056,1.881609e-26
365.2494,1.762172e-26
373.1609,1.650362e-26
381.2437,1.545688e-26
389.5017,1.447691e-26
397.9385,1.355942e-26
406.558,1.270041e-26
415.3643,1.189611e-26
424.3613,1.114301e-26
433.5532,1.043784e-26
442.9441,9.777521e-27
452.5385,9.159185e-27
462.3407,8.580143e-27
472.3553,8.037883e-27
482.5867,7.530055e-27
493.0398,7.054457e-27
503.7193,6.609034e-27
514.6301,6.191858e-27
525.7773,5.801128e-27
537.1659,5.435159e-27
548.8012,5.092373e-27
560.6885,4.771293e-27
572.8333,4.470538e-27
585.2411,4.188814e-27
597.9177,3.92491e-27
610.869,3.677695e-27
624.1007,3.446108e-27
637.619,3.229156e-27
651.4302,3.02591e-27
665.5405,2.8355e-27
679.9564,2.657111e-27
694.6846,2.489983e-27
709.7319,2.3334e-27
725.105,2.186694e-27
740.8111,2.049241e-27
756.8575,1.920454e-27
773.2514,1.799784e-27
790.0004,1.686718e-27
807.1122,1.580776e-27
824.5947,1.481506e-27
842.4558,1.388486e-27
860.7039,1.301323e-27
879.3472,1.219645e-27
898.3943,1.143107e-27
917.8539,1.071384e-27
937.7351,1.004173e-27
958.0469,9.411871e-28
978.7987,8.821615e-28
1000.0,8.268461e-28
