# E + Ar <-> E + Ar*((3d)[5/2]3Â°), Excitation
# Source: LXCat, IAA (IAA)
# Target: Ar <-> Ar*((3d)[5/2]3Â°)
# Threshold: 0.0 eV
# Comment: [Chilton&Lin, Phys. Rev. A 60, 3712 (1999)].
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
14.09,0.0
14.39504,3.278296e-24
14.70669,5.666934e-24
15.02508,7.778529e-24
15.35037,9.714014e-24
15.6827,1.151791e-23
16.02222,1.321517e-23
16.3691,1.482164e-23
16.72348,1.634825e-23
17.08554,1.780295e-23
17.45543,1.919177e-23
17.83333,2.051946e-23
18.21942,2.178981e-23
18.61386,2.300597e-23
19.01684,2.417056e-23
19.42855,2.528582e-23
19.84917,2.635369e-23
20.27889,2.737585e-23
20.71792,2.835383e-23
21.16645,2.928897e-23
21.6247,3.018249e-23
22.09286,3.103552e-23
22.57117,3.18491e-23
23.05982,3.262418e-23
23.55906,3.336169e-23
24.0691,3.406248e-23
24.59019,3.472736e-23
25.12255,3.535713e-23
25.66644,3.595253e-23
26.22211,3.651431e-23
26.78981,3.704316e-23
27.3698,3.75398e-23
27.96234,3.800489e-23
28.56771,3.843912e-23
29.18619,3.884313e-23
29.81806,3.921758e-23
30.46361,3.956311e-23
31.12313,3.988038e-23
31.79694,4.017e-23
32.48533,4.04326e-23
33.18862,4.066883e-23
33.90714,4.087929e-23
34.64121,4.106461e-23
35.39118,4.122541e-23
36.15738,4.13623e-23
36.94018,4.14759e-23
37.73992,4.156682e-23
38.55697,4.163566e-23
39.39171,4.168302e-23
40.24452,4.170953e-23
41.1158,4.171576e-23
42.00594,4.170232e-23
42.91535,4.16698e-23
43.84445,4.16188e-23
44.79366,4.154989e-23
45.76342,4.146366e-23
46.75418,4.136068e-23
47.76639,4.124152e-23
48.80051,4.110676e-23
49.85702,4.095695e-23
50.9364,4.079265e-23
52.03916,4.06144e-23
53.16578,4.042276e-23
54.3168,4.021825e-23
55.49273,4.00014e-23
56.69412,3.977274e-23
57.92153,3.953277e-23
59.1755,3.928202e-23
60.45663,3.902097e-23
61.76549,3.875011e-23
63.10268,3.846993e-23
64.46883,3.818091e-23
65.86455,3.788349e-23
67.29049,3.757815e-23
68.7473,3.726533e-23
70.23565,3.694545e-23
71.75622,3.661897e-23
73.30971,3.628628e-23
74.89683,3.59478e-23
76.51832,3.560393e-23
78.17491,3.525506e-23
79.86736,3.490156e-23
81.59645,3.454381e-23
83.36298,3.418218e-23
85.16775,3.3817e-23
87.0116,3.344861e-23
88.89536,3.307736e-23
90.81991,3.270356e-23
92.78612,3.232752e-23
94.7949,3.194955e-23
96.84717,3.156993e-23
98.94387,3.118894e-23
101.086,3.080687e-23
103.2744,3.042398e-23
105.5103,3.004051e-23
107.7945,2.965672e-23
110.1282,2.927284e-23
112.5125,2.88891e-23
114.9483,2.850571e-23
117.4369,2.812289e-23
119.9793,2.774084e-23
122.5768,2.735975e-23
125.2306,2.69798e-23
127.9418,2.660118e-23
130.7116,2.622405e-23
133.5415,2.584857e-23
136.4326,2.54749e-23
139.3863,2.510318e-23
142.404,2.473356e-23
145.487,2.436615e-23
148.6367,2.400109e-23
151.8546,2.36385e-23
155.1422,2.327849e-23
158.501,2.292116e-23
161.9324,2.256661e-23
165.4382,2.221494e-23
169.0199,2.186623e-23
172.6791,2.152056e-23
176.4175,2.117802e-23
180.2369,2.083866e-23
184.1389,2.050256e-23
188.1254,2.016977e-23
192.1983,1.984036e-23
196.3593,1.951437e-23
200.6104,1.919185e-23
204.9535,1.887284e-23
209.3907,1.855737e-23
213.9239,1.824549e-23
218.5552,1.793722e-23
223.2869,1.763259e-23
228.1209,1.733162e-23
233.0596,1.703433e-23
238.1053,1.674074e-23
243.2602,1.645085e-23
248.5266,1.616468e-23
253.9071,1.588223e-23
259.4041,1.560351e-23
265.0201,1.532851e-23
270.7577,1.505724e-23
276.6194,1.47897e-23
282.6081,1.452587e-23
288.7265,1.426574e-23
294.9773,1.400932e-23
301.3634,1.375657e-23
307.8878,1.35075e-23
314.5534,1.326208e-23
321.3634,1.302029e-23
328.3208,1.278211e-23
335.4288,1.254753e-23
342.6907,1.231653e-23
350.1098,1.208906e-23
357.6895,1.186512e-23
365.4333,1.164468e-23
373.3448,1.14277e-23
381.4275,1.121416e-23
389.6853,1.100403e-23
398.1218,1.079728e-23
406.7409,1.059388e-23
415.5467,1.039379e-23
424.5431,1.019699e-23
433.7343,1.000344e-23
443.1245,9.813099e-24
452.7179,9.625942e-24
462.5191,9.441932e-24
472.5324,9.261033e-24
482.7625,9.083209e-24
493.2141,8.908425e-24
503.892,8.736643e-24
514.801,8.567827e-24
525.9462,8.40194e-24
537.3327,8.238945e-24
548.9658,8.078806e-24
560.8506,7.921484e-24
572.9928,7.766942e-24
585.3979,7.615143e-24
598.0715,7.46605e-24
611.0195,7.319625e-24
624.2478,7.175831e-24
637.7625,7.03463e-24
651.5697,6.895986e-24
665.6759,6.75986e-24
680.0875,6.626217e-24
694.8111,6.49502e-24
709.8535,6.366232e-24
725.2215,6.239816e-24
740.9222,6.115736e-24
756.9629,5.993957e-24
773.3508,5.874443e-24
790.0935,5.757157e-24
807.1987,5.642066e-24
824.6742,5.529134e-24
842.528,5.418326e-24
860.7684,5.309609e-24
879.4037,5.202948e-24
898.4424,5.098309e-24
917.8933,4.995659e-24
937.7653,4.894966e-24
958.0675,4.796196e-24
978.8092,4.699317e-24
1000.0,4.604297e-24
