# E + Ar <-> E + Ar*((3d')[5/2]3Â°), Excitation
# Source: LXCat, IAA (IAA)
# Target: Ar <-> Ar*((3d')[5/2]3Â°)
# Threshold: 0.0 eV
# Comment: based on [Chilton&Lin, Phys. Rev. A 60, 3712 (1999)].
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
14.24,0.0
14.54752,8.230004e-23
14.86167,8.792746e-23
15.18261,9.092401e-23
15.51048,9.276843e-23
15.84544,9.395126e-23
16.18762,9.469997e-23
16.5372,9.513996e-23
16.89432,9.534825e-23
17.25916,9.537586e-23
17.63187,9.525846e-23
18.01264,9.502212e-23
18.40162,9.46865e-23
18.79901,9.426689e-23
19.20498,9.377543e-23
19.61971,9.322196e-23
20.0434,9.261458e-23
20.47625,9.196007e-23
20.91843,9.126417e-23
21.37017,9.053179e-23
21.83167,8.976718e-23
22.30313,8.897405e-23
22.78477,8.815565e-23
23.27681,8.731489e-23
23.77947,8.645433e-23
24.293,8.557629e-23
24.81761,8.468285e-23
25.35355,8.37759e-23
25.90106,8.285715e-23
26.4604,8.192817e-23
27.03182,8.09904e-23
27.61558,8.004516e-23
28.21194,7.909368e-23
28.82119,7.813706e-23
29.44358,7.717637e-23
30.07943,7.621256e-23
30.729,7.524655e-23
31.3926,7.427916e-23
32.07053,7.331118e-23
32.76309,7.234335e-23
33.47062,7.137634e-23
34.19342,7.041079e-23
34.93184,6.944731e-23
35.6862,6.848646e-23
36.45685,6.752876e-23
37.24414,6.65747e-23
38.04844,6.562474e-23
38.8701,6.467932e-23
39.70951,6.373885e-23
40.56704,6.280369e-23
41.4431,6.187422e-23
42.33807,6.095076e-23
43.25237,6.003361e-23
44.18641,5.912308e-23
45.14063,5.821943e-23
46.11545,5.732291e-23
47.11132,5.643377e-23
48.1287,5.555221e-23
49.16805,5.467843e-23
50.22984,5.381264e-23
51.31456,5.295498e-23
52.42271,5.210563e-23
53.55479,5.126474e-23
54.71132,5.043242e-23
55.89282,4.96088e-23
57.09984,4.879399e-23
58.33292,4.798809e-23
59.59263,4.719118e-23
60.87955,4.640334e-23
62.19425,4.562463e-23
63.53735,4.485512e-23
64.90945,4.409486e-23
66.31118,4.334387e-23
67.74319,4.260221e-23
69.20611,4.186988e-23
70.70063,4.114692e-23
72.22743,4.043332e-23
73.78719,3.97291e-23
75.38064,3.903425e-23
77.0085,3.834876e-23
78.67152,3.767262e-23
80.37045,3.700581e-23
82.10606,3.63483e-23
83.87916,3.570006e-23
85.69055,3.506107e-23
87.54105,3.443127e-23
89.43152,3.381064e-23
91.36281,3.319911e-23
93.33581,3.259665e-23
95.35141,3.200319e-23
97.41054,3.141868e-23
99.51415,3.084305e-23
101.6632,3.027626e-23
103.8586,2.971821e-23
106.1015,2.916886e-23
108.3927,2.862812e-23
110.7335,2.809593e-23
113.1248,2.75722e-23
115.5678,2.705687e-23
118.0635,2.654984e-23
120.6131,2.605105e-23
123.2177,2.55604e-23
125.8787,2.507781e-23
128.597,2.46032e-23
131.3741,2.413649e-23
134.2112,2.367757e-23
137.1095,2.322637e-23
140.0704,2.27828e-23
143.0952,2.234677e-23
146.1854,2.191818e-23
149.3423,2.149694e-23
152.5674,2.108297e-23
155.8621,2.067617e-23
159.228,2.027645e-23
162.6665,1.988371e-23
166.1794,1.949788e-23
169.768,1.911884e-23
173.4342,1.874652e-23
177.1796,1.838081e-23
181.0058,1.802163e-23
184.9146,1.766888e-23
188.9079,1.732248e-23
192.9874,1.698233e-23
197.155,1.664833e-23
201.4126,1.632041e-23
205.7622,1.599847e-23
210.2056,1.568242e-23
214.7451,1.537216e-23
219.3825,1.506762e-23
224.1201,1.476871e-23
228.9601,1.447533e-23
233.9045,1.418741e-23
238.9557,1.390484e-23
244.116,1.362756e-23
249.3878,1.335547e-23
254.7733,1.30885e-23
260.2752,1.282655e-23
265.8959,1.256955e-23
271.638,1.231741e-23
277.5041,1.207006e-23
283.4968,1.182741e-23
289.619,1.158939e-23
295.8734,1.135592e-23
302.2628,1.112692e-23
308.7902,1.090231e-23
315.4586,1.068202e-23
322.271,1.046598e-23
329.2305,1.025411e-23
336.3403,1.004634e-23
343.6037,9.842597e-24
351.0239,9.642812e-24
358.6043,9.446915e-24
366.3484,9.254836e-24
374.2598,9.066509e-24
382.342,8.881865e-24
390.5988,8.70084e-24
399.0338,8.523367e-24
407.651,8.349384e-24
416.4543,8.178826e-24
425.4477,8.011632e-24
434.6354,7.84774e-24
444.0214,7.687089e-24
453.6101,7.529621e-24
463.406,7.375276e-24
473.4133,7.223996e-24
483.6368,7.075726e-24
494.081,6.930408e-24
504.7508,6.787988e-24
515.651,6.648412e-24
526.7865,6.511626e-24
538.1626,6.377577e-24
549.7843,6.246215e-24
561.657,6.117488e-24
573.7861,5.991346e-24
586.1772,5.867741e-24
598.8358,5.746623e-24
611.7678,5.627946e-24
624.979,5.511663e-24
638.4755,5.397727e-24
652.2636,5.286094e-24
666.3493,5.176719e-24
680.7393,5.069559e-24
695.44,4.964571e-24
710.4581,4.861713e-24
725.8006,4.760942e-24
741.4744,4.66222e-24
757.4867,4.565505e-24
773.8448,4.47076e-24
790.5561,4.377944e-24
807.6284,4.28702e-24
825.0693,4.197952e-24
842.8868,4.110702e-24
861.0891,4.025235e-24
879.6845,3.941516e-24
898.6815,3.85951e-24
918.0887,3.779183e-24
937.915,3.700502e-24
958.1694,3.623435e-24
978.8613,3.547949e-24
1000.0,3.474012e-24
