# E + Ar <-> E + Ar*((4p)[1/2]1), Excitation
# Source: LXCat, IAA (IAA)
# Target: Ar <-> Ar*((4p)[1/2]1)
# Threshold: 0.0 eV
# Comment: based on renormalised [Chutjian&Cartwright, Phys. Rev. A 23, 2178 (1981)].
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
12.91,0.0
13.19529,6.099659e-27
13.48689,6.068346e-25
13.78494,5.373544e-24
14.08957,1.912039e-23
14.40093,4.306086e-23
14.71917,7.445085e-23
15.04444,1.089726e-22
15.3769,1.426953e-22
15.71671,1.728853e-22
16.06403,1.980501e-22
16.41903,2.176661e-22
16.78187,2.318521e-22
17.15272,2.410957e-22
17.53178,2.460574e-22
17.91921,2.474453e-22
18.3152,2.459403e-22
18.71994,2.421591e-22
19.13362,2.36637e-22
19.55645,2.298266e-22
19.98862,2.221019e-22
20.43035,2.137664e-22
20.88183,2.05063e-22
21.34329,1.961832e-22
21.81495,1.872758e-22
22.29703,1.784544e-22
22.78977,1.698043e-22
23.29339,1.613881e-22
23.80814,1.5325e-22
24.33427,1.454198e-22
24.87203,1.379163e-22
25.42167,1.307492e-22
25.98345,1.239217e-22
26.55766,1.174318e-22
27.14455,1.112738e-22
27.7444,1.054389e-22
28.35752,9.991668e-23
28.98418,9.469516e-23
29.62469,8.976155e-23
30.27936,8.510261e-23
30.9485,8.070489e-23
31.63242,7.655499e-23
32.33145,7.263974e-23
33.04594,6.894628e-23
33.77621,6.546218e-23
34.52262,6.217549e-23
35.28552,5.907475e-23
36.06529,5.614908e-23
36.86228,5.338812e-23
37.67689,5.078206e-23
38.5095,4.832162e-23
39.36051,4.599807e-23
40.23033,4.380317e-23
41.11936,4.172916e-23
42.02805,3.976876e-23
42.95681,3.791513e-23
43.9061,3.616185e-23
44.87637,3.450291e-23
45.86808,3.293267e-23
46.8817,3.144582e-23
47.91773,3.003742e-23
48.97665,2.870283e-23
50.05897,2.74377e-23
51.16521,2.623795e-23
52.29589,2.509977e-23
53.45156,2.401959e-23
54.63277,2.299405e-23
55.84008,2.202002e-23
57.07408,2.109456e-23
58.33534,2.021491e-23
59.62447,1.937849e-23
60.9421,1.858286e-23
62.28884,1.782576e-23
63.66534,1.710505e-23
65.07226,1.641873e-23
66.51027,1.576492e-23
67.98006,1.514184e-23
69.48233,1.454785e-23
71.0178,1.398138e-23
72.5872,1.344096e-23
74.19128,1.292522e-23
75.83081,1.243286e-23
77.50657,1.196265e-23
79.21937,1.151345e-23
80.97001,1.108417e-23
82.75934,1.067379e-23
84.58822,1.028136e-23
86.45751,9.90596e-24
88.3681,9.546741e-24
90.32093,9.202895e-24
92.3169,8.873662e-24
94.35698,8.558321e-24
96.44215,8.256196e-24
98.57339,7.966643e-24
100.7517,7.689056e-24
102.9782,7.422863e-24
105.2539,7.167521e-24
107.5799,6.922518e-24
109.9573,6.687367e-24
112.3872,6.461609e-24
114.8708,6.244809e-24
117.4093,6.036554e-24
120.0039,5.836454e-24
122.6558,5.644136e-24
125.3663,5.459251e-24
128.1367,5.281464e-24
130.9684,5.11046e-24
133.8626,4.945937e-24
136.8208,4.78761e-24
139.8444,4.635208e-24
142.9348,4.488474e-24
146.0934,4.347163e-24
149.3219,4.211041e-24
152.6217,4.079889e-24
155.9945,3.953494e-24
159.4417,3.831657e-24
162.9652,3.714187e-24
166.5665,3.600902e-24
170.2474,3.491629e-24
174.0097,3.386203e-24
177.855,3.284467e-24
181.7854,3.18627e-24
185.8026,3.091471e-24
189.9086,2.999932e-24
194.1054,2.911524e-24
198.3948,2.826123e-24
202.7791,2.74361e-24
207.2603,2.663871e-24
211.8404,2.586799e-24
216.5218,2.512291e-24
221.3067,2.440247e-24
226.1973,2.370573e-24
231.1959,2.30318e-24
236.3051,2.23798e-24
241.5271,2.174892e-24
246.8645,2.113836e-24
252.3199,2.054736e-24
257.8959,1.99752e-24
263.595,1.942119e-24
269.4201,1.888467e-24
275.374,1.836499e-24
281.4594,1.786155e-24
287.6792,1.737376e-24
294.0366,1.690107e-24
300.5344,1.644293e-24
307.1758,1.599883e-24
313.964,1.556827e-24
320.9022,1.515079e-24
327.9937,1.474592e-24
335.2419,1.435322e-24
342.6504,1.397228e-24
350.2225,1.36027e-24
357.9619,1.324408e-24
365.8724,1.289605e-24
373.9577,1.255826e-24
382.2217,1.223036e-24
390.6683,1.191202e-24
399.3016,1.160292e-24
408.1256,1.130276e-24
417.1447,1.101124e-24
426.363,1.072808e-24
435.7851,1.0453e-24
445.4154,1.018574e-24
455.2584,9.926055e-25
465.3191,9.673695e-25
475.602,9.428426e-25
486.1122,9.190023e-25
496.8546,8.958268e-25
507.8345,8.732951e-25
519.057,8.513869e-25
530.5274,8.300828e-25
542.2514,8.09364e-25
554.2344,7.892124e-25
566.4823,7.696103e-25
579.0008,7.50541e-25
591.796,7.319882e-25
604.8739,7.13936e-25
618.2408,6.963695e-25
631.9031,6.792738e-25
645.8674,6.62635e-25
660.1402,6.464391e-25
674.7284,6.306732e-25
689.639,6.153244e-25
704.8792,6.003804e-25
720.4561,5.858293e-25
736.3772,5.716596e-25
752.6502,5.578601e-25
769.2828,5.444201e-25
786.2829,5.313292e-25
803.6587,5.185773e-25
821.4185,5.061547e-25
839.5708,4.940519e-25
858.1242,4.822598e-25
877.0877,4.707697e-25
896.4702,4.595729e-25
916.281,4.486613e-25
936.5296,4.380267e-25
957.2257,4.276615e-25
978.3791,4.175581e-25
1000.0,4.077093e-25
