# E + Ar <-> E + Ar*((4p)[5/2]3D3), Excitation
# Source: LXCat, IAA (IAA)
# Target: Ar <-> Ar*((4p)[5/2]3D3)
# Threshold: 13.08 eV
# Statistical weight ratio: 7.0
# Comment: [Chutjian&Cartwright, Phys. Rev. A 23, 2178 (1981)].
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
13.08,0.0
13.36817,2.087252e-22
13.66269,2.767466e-22
13.9637,3.179639e-22
14.27134,3.4463e-22
14.58576,3.618824e-22
14.90711,3.725345e-22
15.23554,3.783483e-22
15.5712,3.805188e-22
15.91425,3.799e-22
16.26487,3.771242e-22
16.62321,3.72672e-22
16.98944,3.669154e-22
17.36375,3.60147e-22
17.74629,3.52599e-22
18.13727,3.444577e-22
18.53686,3.358734e-22
18.94526,3.269681e-22
19.36265,3.178412e-22
19.78924,3.08574e-22
20.22523,2.992334e-22
20.67082,2.898741e-22
21.12623,2.805414e-22
21.59167,2.712723e-22
22.06737,2.620974e-22
22.55354,2.530418e-22
23.05043,2.441262e-22
23.55827,2.353673e-22
24.07729,2.267787e-22
24.60775,2.183714e-22
25.1499,2.10154e-22
25.70399,2.021334e-22
26.27029,1.943146e-22
26.84906,1.867015e-22
27.44058,1.792966e-22
28.04514,1.721013e-22
28.66302,1.651164e-22
29.29451,1.583418e-22
29.93991,1.517765e-22
30.59953,1.454192e-22
31.27369,1.392681e-22
31.96269,1.333209e-22
32.66688,1.275748e-22
33.38658,1.220269e-22
34.12213,1.166738e-22
34.8739,1.11512e-22
35.64222,1.065378e-22
36.42747,1.017472e-22
37.23002,9.713607e-23
38.05026,9.270032e-23
38.88856,8.843562e-23
39.74533,8.43376e-23
40.62098,8.040183e-23
41.51593,7.662384e-23
42.43058,7.299914e-23
43.36539,6.952323e-23
44.3208,6.619162e-23
45.29725,6.299982e-23
46.29522,5.994339e-23
47.31517,5.701792e-23
48.3576,5.421902e-23
49.42299,5.15424e-23
50.51185,4.89838e-23
51.6247,4.653904e-23
52.76207,4.4204e-23
53.9245,4.197465e-23
55.11254,3.984705e-23
56.32675,3.781733e-23
57.56771,3.588172e-23
58.83602,3.403653e-23
60.13226,3.227818e-23
61.45707,3.060317e-23
62.81106,2.900811e-23
64.19488,2.748969e-23
65.60919,2.604472e-23
67.05466,2.46701e-23
68.53197,2.33628e-23
70.04183,2.211994e-23
71.58496,2.093869e-23
73.16209,1.981634e-23
74.77396,1.875027e-23
76.42134,1.773794e-23
78.10502,1.677693e-23
79.82579,1.586488e-23
81.58447,1.499953e-23
83.3819,1.417871e-23
85.21893,1.340033e-23
87.09643,1.266239e-23
89.01529,1.196296e-23
90.97643,1.13002e-23
92.98078,1.067233e-23
95.02929,1.007765e-23
97.12292,9.51455e-24
99.26269,8.981463e-24
101.4496,8.476904e-24
103.6847,7.999449e-24
105.969,7.547739e-24
108.3037,7.120474e-24
110.6898,6.716415e-24
113.1284,6.334376e-24
115.6208,5.97323e-24
118.1681,5.631898e-24
120.7715,5.309355e-24
123.4323,5.004621e-24
126.1517,4.716767e-24
128.931,4.444904e-24
131.7716,4.188188e-24
134.6747,3.945818e-24
137.6418,3.717028e-24
140.6742,3.501094e-24
143.7735,3.297325e-24
146.941,3.105066e-24
150.1784,2.923695e-24
153.487,2.75262e-24
156.8686,2.59128e-24
160.3246,2.439144e-24
163.8568,2.295706e-24
167.4668,2.160488e-24
171.1564,2.033036e-24
174.9272,1.912919e-24
178.7811,1.799731e-24
182.7199,1.693084e-24
186.7455,1.592614e-24
190.8598,1.497974e-24
195.0648,1.408836e-24
199.3623,1.32489e-24
203.7546,1.245843e-24
208.2436,1.171417e-24
212.8315,1.10135e-24
217.5205,1.035393e-24
222.3128,9.733116e-25
227.2107,9.148844e-25
232.2165,8.599017e-25
237.3326,8.081655e-25
242.5614,7.594887e-25
247.9054,7.136947e-25
253.3671,6.706167e-25
258.9491,6.300974e-25
264.6542,5.919881e-25
270.4849,5.561486e-25
276.4441,5.224465e-25
282.5346,4.907569e-25
288.7592,4.609622e-25
295.121,4.329512e-25
301.623,4.066192e-25
308.2682,3.818674e-25
315.0598,3.586028e-25
322.0011,3.367375e-25
329.0952,3.161889e-25
336.3457,2.96879e-25
343.7559,2.787344e-25
351.3293,2.616859e-25
359.0697,2.456684e-25
366.9805,2.306204e-25
375.0656,2.164842e-25
383.3289,2.032053e-25
391.7742,1.907325e-25
400.4056,1.790176e-25
409.2271,1.680151e-25
418.243,1.576822e-25
427.4575,1.479789e-25
436.8751,1.388671e-25
446.5001,1.303113e-25
456.3371,1.22278e-25
466.3909,1.147357e-25
476.6662,1.076546e-25
487.1679,1.01007e-25
497.9009,9.476653e-26
508.8705,8.890858e-26
520.0816,8.340995e-26
531.5398,7.824881e-26
543.2504,7.340468e-26
555.2191,6.885827e-26
567.4514,6.459146e-26
579.9532,6.058722e-26
592.7304,5.682954e-26
605.7892,5.330338e-26
619.1356,4.99946e-26
632.7761,4.688991e-26
646.7171,4.397684e-26
660.9653,4.124365e-26
675.5273,3.867934e-26
690.4102,3.627353e-26
705.621,3.401652e-26
721.1669,3.189918e-26
737.0552,2.991291e-26
753.2937,2.804967e-26
769.8899,2.630189e-26
786.8517,2.466247e-26
804.1872,2.312472e-26
821.9047,2.16824e-26
840.0125,2.032961e-26
858.5192,1.906083e-26
877.4337,1.787088e-26
896.7649,1.675489e-26
916.5219,1.570829e-26
936.7143,1.472679e-26
957.3515,1.380636e-26
978.4434,1.294323e-26
1000.0,1.213384e-26
