# E + Ar <-> E + Ar*((4p)[3/2]2), Excitation
# Source: LXCat, IAA (IAA)
# Target: Ar <-> Ar*((4p)[3/2]2)
# Threshold: 0.0 eV
# Comment: [Chutjian&Cartwright, Phys. Rev. A 23, 2178 (1981)].
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
13.17,0.0
13.45969,1.007763e-22
13.75575,1.258769e-22
14.05833,1.425585e-22
14.36756,1.550915e-22
14.68359,1.650412e-22
15.00658,1.731843e-22
15.33667,1.799721e-22
15.67402,1.856939e-22
16.01879,1.905484e-22
16.37114,1.946793e-22
16.73125,1.981945e-22
17.09927,2.011776e-22
17.47539,2.036952e-22
17.85978,2.058013e-22
18.25263,2.075406e-22
18.65412,2.089506e-22
19.06444,2.100631e-22
19.48379,2.109057e-22
19.91236,2.115022e-22
20.35036,2.118736e-22
20.79799,2.120385e-22
21.25547,2.120134e-22
21.72301,2.118131e-22
22.20084,2.114511e-22
22.68918,2.109394e-22
23.18825,2.102891e-22
23.69831,2.095105e-22
24.21958,2.086127e-22
24.75232,2.076045e-22
25.29678,2.064937e-22
25.85322,2.052878e-22
26.42189,2.039937e-22
27.00308,2.026177e-22
27.59705,2.01166e-22
28.20408,1.99644e-22
28.82446,1.980572e-22
29.45849,1.964104e-22
30.10647,1.947084e-22
30.7687,1.929556e-22
31.4455,1.911561e-22
32.13718,1.89314e-22
32.84408,1.874328e-22
33.56653,1.855162e-22
34.30487,1.835674e-22
35.05945,1.815897e-22
35.83063,1.79586e-22
36.61877,1.775593e-22
37.42424,1.755121e-22
38.24744,1.734471e-22
39.08874,1.713667e-22
39.94855,1.692732e-22
40.82727,1.671689e-22
41.72531,1.650557e-22
42.64312,1.629357e-22
43.58111,1.608107e-22
44.53973,1.586825e-22
45.51944,1.565529e-22
46.5207,1.544233e-22
47.54398,1.522954e-22
48.58977,1.501706e-22
49.65856,1.480501e-22
50.75087,1.459354e-22
51.8672,1.438276e-22
53.00808,1.417278e-22
54.17406,1.396372e-22
55.36569,1.375568e-22
56.58353,1.354875e-22
57.82816,1.334302e-22
59.10017,1.313857e-22
60.40015,1.29355e-22
61.72873,1.273386e-22
63.08653,1.253374e-22
64.4742,1.233519e-22
65.89239,1.213828e-22
67.34178,1.194307e-22
68.82305,1.174959e-22
70.3369,1.155791e-22
71.88405,1.136807e-22
73.46524,1.11801e-22
75.0812,1.099406e-22
76.7327,1.080996e-22
78.42054,1.062784e-22
80.1455,1.044773e-22
81.9084,1.026965e-22
83.71009,1.009363e-22
85.5514,9.919685e-23
87.43321,9.747832e-23
89.35641,9.578086e-23
91.32192,9.41046e-23
93.33067,9.244963e-23
95.38359,9.081603e-23
97.48168,8.920388e-23
99.62592,8.76132e-23
101.8173,8.604403e-23
104.0569,8.449636e-23
106.3458,8.29702e-23
108.685,8.146551e-23
111.0757,7.998226e-23
113.5189,7.852039e-23
116.0159,7.707983e-23
118.5678,7.566052e-23
121.1759,7.426235e-23
123.8413,7.288523e-23
126.5653,7.152904e-23
129.3493,7.019367e-23
132.1945,6.887898e-23
135.1023,6.758484e-23
138.0741,6.631109e-23
141.1112,6.505759e-23
144.2151,6.382417e-23
147.3873,6.261066e-23
150.6293,6.14169e-23
153.9426,6.024269e-23
157.3287,5.908787e-23
160.7894,5.795223e-23
164.3261,5.683558e-23
167.9407,5.573774e-23
171.6348,5.465849e-23
175.4101,5.359763e-23
179.2685,5.255495e-23
183.2117,5.153025e-23
187.2417,5.052332e-23
191.3603,4.953393e-23
195.5695,4.856188e-23
199.8713,4.760695e-23
204.2678,4.666891e-23
208.7609,4.574755e-23
213.3528,4.484265e-23
218.0458,4.395399e-23
222.842,4.308135e-23
227.7437,4.22245e-23
232.7532,4.138323e-23
237.8729,4.055731e-23
243.1053,3.974653e-23
248.4527,3.895065e-23
253.9177,3.816947e-23
259.503,3.740277e-23
265.2111,3.665032e-23
271.0447,3.591192e-23
277.0067,3.518734e-23
283.0998,3.447637e-23
289.327,3.377879e-23
295.6911,3.309441e-23
302.1952,3.2423e-23
308.8423,3.176435e-23
315.6357,3.111827e-23
322.5785,3.048455e-23
329.6741,2.986298e-23
336.9257,2.925336e-23
344.3368,2.865549e-23
351.9109,2.806918e-23
359.6517,2.749423e-23
367.5627,2.693044e-23
375.6477,2.637764e-23
383.9105,2.583562e-23
392.3551,2.530419e-23
400.9855,2.478319e-23
409.8057,2.427242e-23
418.8199,2.37717e-23
428.0324,2.328086e-23
437.4475,2.279971e-23
447.0697,2.23281e-23
456.9036,2.186584e-23
466.9538,2.141277e-23
477.225,2.096871e-23
487.7222,2.053352e-23
498.4503,2.010702e-23
509.4143,1.968905e-23
520.6195,1.927946e-23
532.0712,1.88781e-23
543.7748,1.848481e-23
555.7359,1.809944e-23
567.96,1.772184e-23
580.453,1.735187e-23
593.2208,1.698938e-23
606.2695,1.663424e-23
619.6051,1.628629e-23
633.2341,1.594542e-23
647.163,1.561148e-23
661.3981,1.528434e-23
675.9464,1.496386e-23
690.8147,1.464993e-23
706.0101,1.434242e-23
721.5397,1.404119e-23
737.4109,1.374614e-23
753.6312,1.345713e-23
770.2083,1.317406e-23
787.15,1.28968e-23
804.4644,1.262525e-23
822.1596,1.235929e-23
840.2441,1.209881e-23
858.7263,1.184371e-23
877.6151,1.159387e-23
896.9194,1.13492e-23
916.6483,1.110958e-23
936.8111,1.087493e-23
957.4175,1.064514e-23
978.4771,1.042012e-23
1000.0,1.019977e-23
