# E + Ar <-> E + Ar*((4s)[3/2]3P2Â°), Excitation
# Source: LXCat, IAA (IAA)
# Target: Ar <-> Ar*((4s)[3/2]3P2Â°)
# Threshold: 0.0 eV
# Comment: J. Phys. B: At. Mol. Opt. Phys. 37, 247 (2004)].
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
11.55,0.0
11.81184,9.19825e-25
12.07963,1.119201e-23
12.35348,4.096685e-23
12.63354,9.267896e-23
12.91995,1.621923e-22
13.21285,2.424686e-22
13.5124,3.262856e-22
13.81873,4.076252e-22
14.13201,4.821313e-22
14.45239,5.470581e-22
14.78003,6.010001e-22
15.11511,6.435643e-22
15.45777,6.750649e-22
15.80821,6.962707e-22
16.16659,7.082117e-22
16.5331,7.120377e-22
16.90791,7.089219e-22
17.29123,6.999967e-22
17.68323,6.863158e-22
18.08412,6.688331e-22
18.4941,6.483942e-22
18.91337,6.25736e-22
19.34215,6.014913e-22
19.78064,5.761963e-22
20.22908,5.502999e-22
20.68769,5.241732e-22
21.15669,4.981191e-22
21.63633,4.723815e-22
22.12683,4.471534e-22
22.62846,4.225846e-22
23.14146,3.987884e-22
23.66609,3.758478e-22
24.20262,3.538202e-22
24.75131,3.327421e-22
25.31243,3.126329e-22
25.88628,2.934982e-22
26.47314,2.753323e-22
27.0733,2.581208e-22
27.68707,2.418427e-22
28.31475,2.264713e-22
28.95666,2.119765e-22
29.61313,1.983251e-22
30.28448,1.854822e-22
30.97104,1.734118e-22
31.67317,1.620773e-22
32.39122,1.514423e-22
33.12555,1.414707e-22
33.87653,1.321268e-22
34.64453,1.233761e-22
35.42994,1.151851e-22
36.23316,1.075214e-22
37.05459,1.00354e-22
37.89464,9.365327e-23
38.75373,8.739077e-23
39.6323,8.153957e-23
40.53079,7.607409e-23
41.44964,7.097008e-23
42.38933,6.620462e-23
43.35032,6.175608e-23
44.3331,5.760407e-23
45.33816,5.372937e-23
46.366,5.011394e-23
47.41715,4.674079e-23
48.49212,4.359402e-23
49.59147,4.065866e-23
50.71574,3.792074e-23
51.86549,3.536712e-23
53.04131,3.298553e-23
54.24379,3.076448e-23
55.47353,2.869323e-23
56.73115,2.676173e-23
58.01728,2.496059e-23
59.33256,2.328105e-23
60.67767,2.171492e-23
62.05327,2.025454e-23
63.46005,1.889279e-23
64.89873,1.762299e-23
66.37002,1.643894e-23
67.87467,1.533483e-23
69.41343,1.430525e-23
70.98707,1.334517e-23
72.59639,1.244987e-23
74.24219,1.161496e-23
75.92531,1.083636e-23
77.64658,1.011026e-23
79.40688,9.433088e-24
81.20708,8.801542e-24
83.04809,8.212529e-24
84.93084,7.66317e-24
86.85627,7.15078e-24
88.82536,6.672856e-24
90.83908,6.227068e-24
92.89846,5.811241e-24
95.00452,5.423349e-24
97.15833,5.061503e-24
99.36096,4.723945e-24
101.6135,4.409033e-24
103.9172,4.115239e-24
106.273,3.841137e-24
108.6823,3.585399e-24
111.1462,3.346786e-24
113.666,3.124145e-24
116.2428,2.916399e-24
118.8781,2.722546e-24
121.5732,2.54165e-24
124.3293,2.37284e-24
127.1479,2.215304e-24
130.0304,2.068283e-24
132.9783,1.931071e-24
135.993,1.80301e-24
139.076,1.683485e-24
142.229,1.571925e-24
145.4534,1.467795e-24
148.7509,1.370597e-24
152.1232,1.279868e-24
155.5719,1.195174e-24
159.0988,1.11611e-24
162.7057,1.042302e-24
166.3943,9.733974e-25
170.1666,9.090686e-25
174.0244,8.490101e-25
177.9696,7.929369e-25
182.0043,7.405832e-25
186.1304,6.917009e-25
190.3501,6.460586e-25
194.6654,6.034405e-25
199.0786,5.636451e-25
203.5919,5.264846e-25
208.2074,4.917836e-25
212.9276,4.593786e-25
217.7548,4.291169e-25
222.6914,4.008561e-25
227.74,3.744633e-25
232.903,3.498144e-25
238.183,3.267937e-25
243.5828,3.052932e-25
249.1049,2.852121e-25
254.7523,2.664562e-25
260.5277,2.489377e-25
266.434,2.325747e-25
272.4742,2.172906e-25
278.6514,2.03014e-25
284.9686,1.896783e-25
291.429,1.772212e-25
298.0358,1.655845e-25
304.7925,1.547142e-25
311.7023,1.445594e-25
318.7688,1.35073e-25
325.9955,1.262107e-25
333.386,1.179315e-25
340.944,1.101968e-25
348.6734,1.029706e-25
356.5781,9.621948e-26
364.6619,8.991205e-26
372.929,8.401908e-26
381.3835,7.851323e-26
390.0297,7.336902e-26
398.8719,6.856261e-26
407.9146,6.407176e-26
417.1623,5.987569e-26
426.6196,5.5955e-26
436.2913,5.229157e-26
446.1823,4.886847e-26
456.2975,4.566989e-26
466.642,4.268108e-26
477.2211,3.988824e-26
488.04,3.727849e-26
499.1041,3.483979e-26
510.4191,3.256092e-26
521.9906,3.043136e-26
533.8245,2.844132e-26
545.9266,2.658164e-26
558.3031,2.484375e-26
570.9601,2.321967e-26
583.9041,2.170193e-26
597.1416,2.028354e-26
610.6791,1.8958e-26
624.5236,1.77192e-26
638.6819,1.656148e-26
653.1612,1.54795e-26
667.9688,1.446831e-26
683.112,1.352326e-26
698.5986,1.264002e-26
714.4362,1.181455e-26
730.6329,1.104305e-26
747.1968,1.032199e-26
764.1362,9.648075e-27
781.4596,9.01821e-27
799.1758,8.429512e-27
817.2936,7.879288e-27
835.8221,7.365019e-27
854.7707,6.884352e-27
874.1488,6.435089e-27
893.9663,6.015174e-27
914.2331,5.622689e-27
934.9593,5.255839e-27
956.1554,4.912947e-27
977.832,4.592447e-27
1000.0,4.292875e-27
