# E + Ar <-> E + Ar*((4s')[1/2]1P1Â°), Excitation
# Source: LXCat, IAA (IAA)
# Target: Ar <-> Ar*((4s')[1/2]1P1Â°)
# Threshold: 0.0 eV
# Comment: Source: Fit based on [Khakoo et al, J. Phys. B: At. Mol. Opt. Phys. 37, 247 (2004)].
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
11.83,0.0
12.09674,9.901913e-23
12.36949,2.129645e-22
12.64839,3.259039e-22
12.93358,4.345944e-22
13.2252,5.379843e-22
13.52339,6.358089e-22
13.82831,7.281381e-22
14.14011,8.151899e-22
14.45893,8.972442e-22
14.78494,9.746006e-22
15.11831,1.047557e-21
15.45919,1.116397e-21
15.80775,1.181389e-21
16.16418,1.242781e-21
16.52864,1.300801e-21
16.90132,1.355658e-21
17.2824,1.407543e-21
17.67208,1.456633e-21
18.07054,1.503087e-21
18.47799,1.547052e-21
18.89462,1.588662e-21
19.32064,1.628039e-21
19.75628,1.665298e-21
20.20173,1.700542e-21
20.65723,1.733866e-21
21.123,1.765359e-21
21.59927,1.795103e-21
22.08628,1.823174e-21
22.58427,1.849641e-21
23.09349,1.87457e-21
23.61419,1.898022e-21
24.14663,1.920054e-21
24.69108,1.94072e-21
25.2478,1.960069e-21
25.81707,1.978148e-21
26.39918,1.995002e-21
26.99442,2.010672e-21
27.60308,2.025198e-21
28.22546,2.038618e-21
28.86187,2.050967e-21
29.51263,2.062279e-21
30.17807,2.072586e-21
30.85851,2.08192e-21
31.55429,2.090309e-21
32.26577,2.097783e-21
32.99328,2.104368e-21
33.73719,2.110091e-21
34.49788,2.114977e-21
35.27572,2.11905e-21
36.0711,2.122334e-21
36.88442,2.124853e-21
37.71607,2.126628e-21
38.56647,2.12768e-21
39.43605,2.128032e-21
40.32523,2.127703e-21
41.23447,2.126713e-21
42.1642,2.125082e-21
43.1149,2.122828e-21
44.08703,2.119971e-21
45.08109,2.116528e-21
46.09755,2.112518e-21
47.13694,2.107957e-21
48.19976,2.102863e-21
49.28654,2.097252e-21
50.39783,2.091141e-21
51.53417,2.084546e-21
52.69614,2.077484e-21
53.88431,2.069968e-21
55.09927,2.062015e-21
56.34162,2.05364e-21
57.61198,2.044857e-21
58.91099,2.035682e-21
60.23928,2.026127e-21
61.59753,2.016207e-21
62.9864,2.005937e-21
64.40659,1.995328e-21
65.85879,1.984395e-21
67.34374,1.973151e-21
68.86218,1.961609e-21
70.41485,1.94978e-21
72.00253,1.937678e-21
73.626,1.925314e-21
75.28609,1.912701e-21
76.9836,1.899849e-21
78.71939,1.886771e-21
80.49432,1.873478e-21
82.30926,1.85998e-21
84.16513,1.846289e-21
86.06284,1.832415e-21
88.00334,1.818368e-21
89.9876,1.804158e-21
92.0166,1.789796e-21
94.09134,1.775291e-21
96.21287,1.760652e-21
98.38223,1.745889e-21
100.6005,1.731011e-21
102.8688,1.716026e-21
105.1882,1.700944e-21
107.56,1.685772e-21
109.9852,1.670519e-21
112.4651,1.655192e-21
115.0009,1.639801e-21
117.5938,1.624351e-21
120.2453,1.608851e-21
122.9565,1.593308e-21
125.7289,1.577729e-21
128.5638,1.56212e-21
131.4626,1.546488e-21
134.4267,1.53084e-21
137.4577,1.515182e-21
140.557,1.499519e-21
143.7262,1.483858e-21
146.9669,1.468205e-21
150.2806,1.452565e-21
153.6691,1.436942e-21
157.1339,1.421343e-21
160.6769,1.405772e-21
164.2998,1.390235e-21
168.0043,1.374735e-21
171.7924,1.359277e-21
175.6659,1.343866e-21
179.6267,1.328506e-21
183.6769,1.3132e-21
187.8183,1.297953e-21
192.0532,1.282769e-21
196.3835,1.26765e-21
200.8114,1.2526e-21
205.3392,1.237623e-21
209.9691,1.222722e-21
214.7034,1.207899e-21
219.5444,1.193158e-21
224.4946,1.178501e-21
229.5564,1.163931e-21
234.7323,1.14945e-21
240.025,1.135062e-21
245.4369,1.120767e-21
250.9709,1.106569e-21
256.6297,1.092468e-21
262.416,1.078468e-21
268.3329,1.06457e-21
274.3831,1.050776e-21
280.5698,1.037087e-21
286.8959,1.023505e-21
293.3647,1.010031e-21
299.9793,9.966662e-22
306.7431,9.834125e-22
313.6594,9.702708e-22
320.7317,9.572421e-22
327.9633,9.443274e-22
335.3581,9.315276e-22
342.9196,9.188434e-22
350.6516,9.062757e-22
358.5579,8.938252e-22
366.6425,8.814923e-22
374.9094,8.692777e-22
383.3626,8.571818e-22
392.0065,8.45205e-22
400.8453,8.333477e-22
409.8833,8.2161e-22
419.1252,8.099923e-22
428.5754,7.984947e-22
438.2387,7.871173e-22
448.1199,7.758601e-22
458.2239,7.647232e-22
468.5557,7.537065e-22
479.1204,7.428098e-22
489.9234,7.320331e-22
500.97,7.213762e-22
512.2656,7.108389e-22
523.8159,7.004208e-22
535.6266,6.901217e-22
547.7037,6.799412e-22
560.053,6.69879e-22
572.6808,6.599346e-22
585.5934,6.501076e-22
598.797,6.403975e-22
612.2984,6.308038e-22
626.1042,6.213259e-22
640.2213,6.119633e-22
654.6567,6.027155e-22
669.4176,5.935817e-22
684.5113,5.845613e-22
699.9453,5.756537e-22
715.7273,5.668582e-22
731.8652,5.581741e-22
748.3669,5.496006e-22
765.2407,5.411371e-22
782.495,5.327827e-22
800.1383,5.245366e-22
818.1794,5.163982e-22
836.6273,5.083665e-22
855.4912,5.004407e-22
874.7804,4.926201e-22
894.5045,4.849037e-22
914.6733,4.772908e-22
935.297,4.697804e-22
956.3856,4.623716e-22
977.9497,4.550637e-22
1000.0,4.478556e-22
