# E + Ar <-> E + Ar*((5s)[3/2]3P2Â°), Excitation
# Source: LXCat, IAA (IAA)
# Target: Ar <-> Ar*((5s)[3/2]3P2Â°)
# Threshold: 14.07 eV
# Statistical weight ratio: 5.0
# Comment: al, Phys. Rev. A 65, 032704 (2002)].
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
14.07,0.0
14.37471,1.376016e-22
14.68602,1.892707e-22
15.00408,2.23268e-22
15.32902,2.472763e-22
15.661,2.645317e-22
16.00016,2.768238e-22
16.34668,2.852919e-22
16.70069,2.907269e-22
17.06238,2.937108e-22
17.4319,2.946895e-22
17.80942,2.940154e-22
18.19511,2.919732e-22
18.58916,2.887971e-22
18.99175,2.846821e-22
19.40305,2.797928e-22
19.82325,2.742686e-22
20.25257,2.682288e-22
20.69117,2.617758e-22
21.13928,2.54998e-22
21.59709,2.479717e-22
22.06481,2.407628e-22
22.54267,2.334287e-22
23.03087,2.260188e-22
23.52965,2.185761e-22
24.03922,2.111377e-22
24.55984,2.037356e-22
25.09173,1.963972e-22
25.63514,1.89146e-22
26.19031,1.820021e-22
26.75751,1.749824e-22
27.337,1.681011e-22
27.92903,1.613699e-22
28.53389,1.547984e-22
29.15184,1.483944e-22
29.78318,1.421637e-22
30.42819,1.36111e-22
31.08716,1.302394e-22
31.76042,1.24551e-22
32.44825,1.190468e-22
33.15097,1.13727e-22
33.86892,1.085907e-22
34.60241,1.036369e-22
35.35179,9.886339e-23
36.1174,9.426788e-23
36.89959,8.984747e-23
37.69872,8.559891e-23
38.51516,8.151867e-23
39.34927,7.760292e-23
40.20146,7.384767e-23
41.07209,7.02487e-23
41.96159,6.680173e-23
42.87034,6.350232e-23
43.79878,6.0346e-23
44.74732,5.732826e-23
45.71641,5.444455e-23
46.70648,5.169034e-23
47.718,4.906112e-23
48.75142,4.655242e-23
49.80722,4.41598e-23
50.88589,4.187892e-23
51.98792,3.970549e-23
53.11382,3.76353e-23
54.26409,3.566423e-23
55.43928,3.378826e-23
56.63992,3.200347e-23
57.86657,3.030605e-23
59.11977,2.869228e-23
60.40012,2.715855e-23
61.7082,2.570139e-23
63.04461,2.431741e-23
64.40995,2.300334e-23
65.80487,2.175603e-23
67.23,2.057242e-23
68.68599,1.944959e-23
70.17351,1.83847e-23
71.69325,1.737504e-23
73.2459,1.641799e-23
74.83218,1.551104e-23
76.4528,1.465177e-23
78.10853,1.383788e-23
79.80012,1.306716e-23
81.52834,1.233746e-23
83.29399,1.164677e-23
85.09787,1.099315e-23
86.94082,1.037472e-23
88.82369,9.789713e-24
90.74733,9.236438e-24
92.71263,8.713271e-24
94.7205,8.218668e-24
96.77185,7.751155e-24
98.86762,7.309328e-24
101.0088,6.89185e-24
103.1963,6.497445e-24
105.4312,6.124901e-24
107.7145,5.773063e-24
110.0473,5.440833e-24
112.4306,5.127166e-24
114.8655,4.831072e-24
117.3531,4.551605e-24
119.8946,4.287871e-24
122.4911,4.039019e-24
125.1439,3.804241e-24
127.8541,3.582771e-24
130.623,3.373882e-24
133.4519,3.176884e-24
136.3421,2.991125e-24
139.2948,2.815983e-24
142.3115,2.650872e-24
145.3935,2.495236e-24
148.5423,2.348547e-24
151.7593,2.210307e-24
155.0459,2.080042e-24
158.4037,1.957307e-24
161.8342,1.841677e-24
165.339,1.732752e-24
168.9198,1.630154e-24
172.578,1.533525e-24
176.3155,1.442525e-24
180.134,1.356835e-24
184.0351,1.276153e-24
188.0207,1.200192e-24
192.0927,1.128682e-24
196.2528,1.061369e-24
200.503,9.980104e-25
204.8453,9.383795e-25
209.2816,8.822612e-25
213.814,8.294528e-25
218.4445,7.797628e-25
223.1753,7.330104e-25
228.0086,6.890252e-25
232.9465,6.476463e-25
237.9914,6.08722e-25
243.1456,5.721091e-25
248.4114,5.376726e-25
253.7912,5.052852e-25
259.2875,4.74827e-25
264.9028,4.461848e-25
270.6398,4.192519e-25
276.501,3.939279e-25
282.4891,3.701179e-25
288.607,3.477328e-25
294.8573,3.266884e-25
301.243,3.069055e-25
307.767,2.883095e-25
314.4322,2.7083e-25
321.2418,2.544009e-25
328.1989,2.389598e-25
335.3067,2.244479e-25
342.5684,2.108101e-25
349.9873,1.979942e-25
357.567,1.859513e-25
365.3107,1.746352e-25
373.2222,1.640026e-25
381.305,1.540125e-25
389.5629,1.446266e-25
397.9996,1.358087e-25
406.619,1.275247e-25
415.4251,1.197425e-25
424.4219,1.124322e-25
433.6136,1.055653e-25
443.0043,9.911508e-26
452.5984,9.305659e-26
462.4002,8.73662e-26
472.4144,8.202172e-26
482.6454,7.700229e-26
493.0979,7.228831e-26
503.7769,6.786131e-26
514.6871,6.370397e-26
525.8336,5.979997e-26
537.2215,5.613398e-26
548.8561,5.269161e-26
560.7426,4.945929e-26
572.8865,4.64243e-26
585.2934,4.357467e-26
597.969,4.089914e-26
610.9192,3.838716e-26
624.1497,3.602877e-26
637.6669,3.381466e-26
651.4767,3.173603e-26
665.5857,2.978465e-26
680.0002,2.795277e-26
694.7268,2.623312e-26
709.7724,2.461885e-26
725.1439,2.310353e-26
740.8482,2.168115e-26
756.8927,2.034601e-26
773.2846,1.90928e-26
790.0315,1.791652e-26
807.1411,1.681246e-26
824.6212,1.57762e-26
842.4799,1.480362e-26
860.7254,1.38908e-26
879.366,1.303409e-26
898.4103,1.223006e-26
917.8671,1.147548e-26
937.7452,1.076732e-26
958.0538,1.010273e-26
978.8022,9.479055e-27
1000.0,8.893775e-27
