# E + Ar -> E + E + Ar+, Ionization
# Source: LXCat, IAA (IAA)
# Target: Ar -> Ar+
# Threshold: 15.76 eV
# Comment: 94 (1965)].
# Updated: 2023-12-23 21:19:17
# Data points: 200
energy_eV,cross_section_m2
15.76,0.0
16.09214,6.03971e-22
16.43127,1.215248e-21
16.77756,1.832351e-21
17.13114,2.453896e-21
17.49217,3.078592e-21
17.86081,3.705229e-21
18.23722,4.332682e-21
18.62157,4.959897e-21
19.01401,5.585895e-21
19.41473,6.20976e-21
19.82389,6.830642e-21
20.24167,7.447748e-21
20.66825,8.060341e-21
21.10383,8.667737e-21
21.54859,9.269299e-21
22.00272,9.86444e-21
22.46642,1.045261e-20
22.93989,1.103331e-20
23.42334,1.160607e-20
23.91698,1.217045e-20
24.42102,1.272607e-20
24.93569,1.327255e-20
25.4612,1.380956e-20
25.99779,1.43368e-20
26.54568,1.485398e-20
27.10512,1.536086e-20
27.67636,1.585719e-20
28.25962,1.634276e-20
28.85519,1.68174e-20
29.4633,1.728568e-20
30.08423,1.77582e-20
30.71825,1.822291e-20
31.36562,1.867939e-20
32.02664,1.912725e-20
32.70159,1.956614e-20
33.39077,1.999572e-20
34.09447,2.04157e-20
34.813,2.08258e-20
35.54667,2.122579e-20
36.29581,2.161543e-20
37.06073,2.199453e-20
37.84177,2.236292e-20
38.63928,2.272043e-20
39.45359,2.306693e-20
40.28506,2.340231e-20
41.13405,2.372646e-20
42.00094,2.403931e-20
42.8861,2.434079e-20
43.78991,2.463084e-20
44.71277,2.490944e-20
45.65507,2.517655e-20
46.61724,2.543218e-20
47.59968,2.567633e-20
48.60283,2.5909e-20
49.62712,2.613024e-20
50.673,2.634008e-20
51.74091,2.653857e-20
52.83134,2.672577e-20
53.94474,2.690175e-20
55.08161,2.706658e-20
56.24243,2.722036e-20
57.42773,2.736318e-20
58.638,2.749513e-20
59.87377,2.761633e-20
61.13559,2.77269e-20
62.42401,2.782695e-20
63.73957,2.791663e-20
65.08286,2.799605e-20
66.45446,2.806537e-20
67.85497,2.812473e-20
69.28499,2.817427e-20
70.74515,2.821416e-20
72.23608,2.824455e-20
73.75844,2.826561e-20
75.31287,2.82775e-20
76.90006,2.828039e-20
78.52071,2.827446e-20
80.17551,2.825988e-20
81.86518,2.823683e-20
83.59046,2.820549e-20
85.3521,2.816604e-20
87.15087,2.811867e-20
88.98755,2.806357e-20
90.86293,2.800091e-20
92.77784,2.79309e-20
94.7331,2.785371e-20
96.72957,2.776955e-20
98.76812,2.767859e-20
100.8496,2.758103e-20
102.975,2.747707e-20
105.1452,2.736688e-20
107.3611,2.725067e-20
109.6237,2.712862e-20
111.9339,2.700092e-20
114.2929,2.686776e-20
116.7016,2.672932e-20
119.1611,2.65858e-20
121.6723,2.643737e-20
124.2365,2.628423e-20
126.8548,2.612655e-20
129.5282,2.596452e-20
132.258,2.57983e-20
135.0453,2.562809e-20
137.8913,2.545405e-20
140.7973,2.527636e-20
143.7646,2.509518e-20
146.7944,2.491069e-20
149.888,2.472305e-20
153.0469,2.453243e-20
156.2723,2.433898e-20
159.5657,2.414286e-20
162.9285,2.394423e-20
166.3621,2.374324e-20
169.8681,2.354005e-20
173.4481,2.333479e-20
177.1034,2.312761e-20
180.8358,2.291866e-20
184.6469,2.270807e-20
188.5383,2.249598e-20
192.5116,2.228251e-20
196.5688,2.206781e-20
200.7114,2.185199e-20
204.9413,2.163518e-20
209.2604,2.14175e-20
213.6705,2.119906e-20
218.1735,2.097999e-20
222.7715,2.076039e-20
227.4663,2.054036e-20
232.2601,2.032002e-20
237.1549,2.009947e-20
242.1528,1.987881e-20
247.2561,1.965812e-20
252.467,1.943735e-20
257.7876,1.921678e-20
263.2204,1.899661e-20
268.7677,1.877691e-20
274.4319,1.855776e-20
280.2155,1.833922e-20
286.1209,1.812136e-20
292.1508,1.790425e-20
298.3078,1.768795e-20
304.5946,1.747252e-20
311.0138,1.725802e-20
317.5683,1.704451e-20
324.2609,1.683203e-20
331.0946,1.66206e-20
338.0724,1.641033e-20
345.1971,1.620127e-20
352.472,1.599348e-20
359.9003,1.578699e-20
367.4851,1.558184e-20
375.2297,1.537807e-20
383.1375,1.517572e-20
391.212,1.497482e-20
399.4567,1.477539e-20
407.8751,1.457748e-20
416.471,1.43811e-20
425.248,1.418629e-20
434.2099,1.399308e-20
443.3608,1.380147e-20
452.7044,1.361151e-20
462.245,1.34232e-20
471.9867,1.323656e-20
481.9337,1.305162e-20
492.0903,1.286839e-20
502.4609,1.268688e-20
513.0501,1.250711e-20
523.8625,1.232909e-20
534.9027,1.215283e-20
546.1756,1.197834e-20
557.6861,1.180563e-20
569.4392,1.16347e-20
581.4399,1.146556e-20
593.6936,1.129822e-20
606.2055,1.113268e-20
618.981,1.096895e-20
632.0259,1.080702e-20
645.3456,1.064689e-20
658.9461,1.048857e-20
672.8331,1.033206e-20
687.0129,1.017735e-20
701.4915,1.002444e-20
716.2752,9.873331e-21
731.3704,9.724015e-21
746.7838,9.57649e-21
762.5221,9.430749e-21
778.592,9.286787e-21
795.0005,9.144597e-21
811.7549,9.004171e-21
828.8624,8.865503e-21
846.3304,8.728584e-21
864.1666,8.593405e-21
882.3786,8.459956e-21
900.9744,8.328229e-21
919.9622,8.198212e-21
939.3501,8.069896e-21
959.1466,7.943269e-21
979.3603,7.818319e-21
1000.0,7.695036e-21
